,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,0.1435764,1.327824,-0.45012013702639314,0.9903218063397072,-1.010444,1.634424,False,12,"[-0.0441792, -0.0086166, 0.9197346]","[-0.0193766, 0.0313476, 1.098611]"
1,1,99,0.01630000000000109,0.1049043,1.285877,-0.48626877795713064,0.9518446251452979,-0.9497316,2.173208,False,12,"[-0.0457373, -0.0114115, 0.9186667]","[-0.0181388, 0.0415219, 1.094182]"
2,2,99,0.03440000000000509,-0.2584534,2.060425,-0.9063263421120997,1.733635128396244,-1.699642,2.676632,False,12,"[-0.0421624, -0.0120875, 0.8488559]","[-0.0326183, 0.0513903, 1.099256]"
3,3,99,0.049699999999916145,0.04513721,2.234425,-0.6118605467632035,1.8837656329378079,-2.499923,2.705384,False,12,"[-0.0435512, -0.0123661, 0.8484544]","[-0.0480282, 0.0519812, 1.100061]"
4,4,99,0.06619999999998072,-0.1915017,2.555453,-0.8728068059906854,2.2134900291093036,-2.540434,2.84725,False,12,"[-0.0347886, -0.0039517, 0.842858]","[-0.0487671, 0.054666, 1.09915]"
5,5,99,0.08299999999996999,-0.2152843,2.843518,-0.9166325515587279,2.4968783298980197,-2.753575,2.946758,False,12,"[-0.0331081, -0.0031493, 0.8418377]","[-0.0529828, 0.0567062, 1.101604]"
6,6,99,0.10000000000002274,-0.1782099,1.623245,-0.7952504435838073,1.3006305256017003,-2.205245,2.964231,False,12,"[-0.0282746, -0.0005305, 0.9013561]","[-0.0424184, 0.0570404, 1.101553]"
7,7,99,0.11619999999993524,-0.3876873,3.044283,-1.1044658736379693,2.7046977500440863,-1.284296,3.124288,False,12,"[-0.0305182, -0.0011234, 0.90145]","[-0.0246954, 0.0601256, 1.10154]"
8,8,99,0.13350000000002638,-0.2362584,3.283948,-0.9681068240727646,2.9291395328254084,-0.8564666,3.141207,False,12,"[-0.0180873, 0.040565, 0.9379854]","[-0.0164257, 0.0602995, 1.098764]"
9,9,99,0.14959999999996398,-0.5124208,2.491145,-1.1923108814369399,2.171818211666725,-1.281533,2.268848,False,12,"[-0.0179381, 0.0047488, 0.9383427]","[-0.024655, 0.0436652, 1.102111]"
10,10,99,0.16679999999996653,-2.276613,3.471505,-3.0405009923502875,3.2476720927146916,-1.483979,3.604549,False,12,"[-0.0110512, 0.018766, 0.9303521]","[-0.0285581, 0.069443, 1.102369]"
11,11,99,0.1834999999999809,-2.487704,3.701873,-3.2694219514038747,3.4870128004472445,-2.082488,4.381679,False,12,"[-0.0089269, 0.0164033, 0.9309152]","[-0.0398913, 0.0840607, 1.097052]"
12,12,99,0.20010000000002037,-2.684537,3.502332,-3.454371612767185,3.3048295271429273,-2.592674,5.130443,False,12,"[0.0020731, 0.0191754, 0.8272721]","[-0.0494736, 0.0980951, 1.092577]"
13,13,99,0.21640000000002146,-2.652504,3.495073,-3.4215387507264206,3.2956078668014723,-3.093112,5.720009,False,12,"[0.0015154, 0.0185778, 0.8276456]","[-0.0589582, 0.1092872, 1.091061]"
14,14,99,0.2338999999999487,-2.525195,3.376133,-3.2848522399533078,3.170822549732915,-4.039475,6.226317,False,12,"[-0.0039094, 0.0311796, 0.8666597]","[-0.0770608, 0.1190511, 1.091216]"
15,15,99,0.2501999999999498,-2.457542,3.398395,-3.2180964980647624,3.188123715892589,-3.901028,6.264954,False,12,"[0.0006794, 0.0336495, 0.8624137]","[-0.0740351, 0.1191902, 1.085699]"
16,16,99,0.2678999999999405,-2.349555,3.258683,-3.0994839900577675,3.0442960058910598,-3.776121,6.519823,False,12,"[-0.0031564, 0.0421476, 0.9443644]","[-0.0715576, 0.1239072, 1.084185]"
17,17,99,0.2840999999999667,-2.224432,3.612487,-2.9975307951626555,3.382141168935261,-3.507262,6.358733,False,12,"[-0.0035486, 0.0469088, 0.9444183]","[-0.066434, 0.120792, 1.083932]"
18,18,99,0.3007999999999811,-4.092824,3.926005,-4.9050163218847,3.8125197380642852,-3.962569,5.995078,False,12,"[-0.0025922, 0.0236179, 0.83342]","[-0.0749632, 0.113648, 1.082183]"
19,19,99,0.31759999999997035,-3.937127,3.680274,-4.730951818229221,3.561815771618927,-4.540756,6.555463,False,12,"[-0.0056283, 0.0442367, 0.8317844]","[-0.0858238, 0.1241861, 1.080666]"
20,20,99,0.33409999999992124,-4.123845,3.652737,-4.917526232207099,3.5472346512922277,-4.808257,6.556049,False,12,"[-0.0035598, 0.0495349, 0.8633002]","[-0.0908383, 0.1241091, 1.079899]"
21,21,99,0.3566999999999325,-3.847857,3.529259,-4.630454147000197,3.408169154915253,-5.149673,6.027286,False,12,"[-0.0077621, 0.0377586, 0.8678916]","[-0.0976002, 0.1143477, 1.082984]"
22,22,99,0.36829999999997654,-3.552231,3.340749,-4.319085412241587,3.2041830214631166,-4.721013,6.243014,False,12,"[-0.0367342, 0.0560535, 0.9240072]","[-0.0890326, 0.1179362, 1.078083]"
23,23,99,0.3846999999999525,-3.523509,3.327053,-4.289151708189516,3.188883185304025,-5.293577,5.918543,False,12,"[-0.0400684, 0.0596701, 0.9222593]","[-0.1003028, 0.1122249, 1.082551]"
24,24,99,0.4009999999999536,-3.216896,3.214757,-3.971936785346528,3.0587300637491537,-5.4155,5.1653,False,12,"[-0.0436091, 0.0569231, 0.9300628]","[-0.1027877, 0.0980124, 1.084249]"
25,25,99,0.4189999999999827,-3.098603,3.369991,-3.863215175707187,3.202766111890766,-5.465051,5.036338,False,12,"[-0.043092, 0.0568102, 0.9301506]","[-0.103765, 0.0955811, 1.084574]"
26,26,99,0.43509999999992033,-3.107774,3.660755,-3.892477993627745,3.487827745039872,-5.315703,5.138449,False,12,"[-0.0379587, 0.0507759, 0.860712]","[-0.1006613, 0.0972864, 1.081872]"
27,27,99,0.4517999999999347,-3.107466,3.608317,-3.8885591457989053,3.4365072263008383,-5.442163,4.783914,False,12,"[-0.0369714, 0.0511542, 0.8614314]","[-0.1034392, 0.0908655, 1.085744]"
28,28,99,0.46889999999996235,-2.931659,3.669315,-3.7153003176389756,3.484545435795373,-5.405107,4.640167,False,12,"[-0.0395501, 0.0548819, 0.9639194]","[-0.1027185, 0.0881126, 1.085616]"
29,29,99,0.4855000000000018,-3.111475,3.62314,-3.8936256289669986,3.4512739224412154,-5.180899,4.270576,False,12,"[-0.0373952, 0.0607799, 0.962721]","[-0.0982991, 0.0809562, 1.084129]"
30,30,99,0.5025999999999158,-3.085318,3.373353,-3.850036906416502,3.2051758616021466,-5.06715,3.857813,False,12,"[-0.0611936, 0.0586914, 0.8551961]","[-0.0961285, 0.0731058, 1.084118]"
31,31,99,0.5194999999999936,-3.045163,3.3789,-3.80988698241503,3.2079447476073666,-5.142076,3.745802,False,12,"[-0.0588437, 0.0549938, 0.8549852]","[-0.0978458, 0.0711868, 1.087322]"
32,32,99,0.5412000000000035,-4.764706,3.257966,-5.537235412994436,3.2034467105343825,-5.267252,3.834367,False,12,"[-0.066998, 0.059322, 0.9292474]","[-0.1003217, 0.0729336, 1.088197]"
33,33,99,0.5522999999999456,-4.867505,3.358089,-5.647887373902625,3.3082010940627447,-4.950133,4.01338,False,12,"[-0.0622287, 0.0570626, 0.9252115]","[-0.0939162, 0.0760786, 1.084336]"
34,34,99,0.5692999999999984,-4.571717,3.375154,-5.350499561738153,3.3053184084721057,-4.707519,4.211174,False,12,"[-0.0567538, 0.053367, 0.9142376]","[-0.0892261, 0.0797824, 1.083537]"
