,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-2.204766,-1.377562,-2.634343586418985,-1.5009289907847831,14.38331,13.00768,False,0,"[-0.0265613, -0.0165908, 0.6899133]","[0.2218, 0.1998, 0.8649]"
1,1,99,0.016099999999994452,-2.146042,-1.467719,-2.5688656729809747,-1.5930164273454264,14.38331,13.00768,False,0,"[-0.0258634, -0.0176841, 0.6901876]","[0.2218001, 0.1998, 0.8649002]"
2,2,99,0.03290000000001214,-1.838166,-1.461077,-2.258559350090576,-1.6068960125181897,14.38331,13.00768,False,0,"[-0.0224859, -0.0178708, 0.7006452]","[0.2218001, 0.1998, 0.8649002]"
3,3,99,0.04939999999999145,-1.768488,-1.586238,-2.179616282553201,-1.733952902305952,14.3833,13.00768,False,0,"[-0.0216342, -0.0194035, 0.7006866]","[0.2217999, 0.1998, 0.8649]"
4,4,99,0.066599999999994,-1.658119,-1.302697,-2.0877210577290115,-1.463869556301401,14.38331,13.00768,False,0,"[-0.0216779, -0.0170294, 0.7488652]","[0.2218001, 0.1998, 0.8649]"
5,5,99,0.08250000000001023,-1.617839,-1.128515,-2.0590477728521765,-1.2961332020462768,14.3833,13.00767,False,0,"[-0.0211569, -0.0147559, 0.7490739]","[0.2218, 0.1998, 0.8649005]"
6,6,99,0.10009999999999764,-1.270322,-1.349676,-1.6930548653432949,-1.5354963536261121,14.38331,13.00768,False,0,"[-0.0148973, -0.0158282, 0.6718059]","[0.2218, 0.1998, 0.8648999]"
7,7,99,0.11599999999998545,-1.272627,-1.354424,-1.695054799313768,-1.5399887638801668,14.38331,13.00768,False,0,"[-0.0149237, -0.0158833, 0.6717802]","[0.2218, 0.1998, 0.8649001]"
8,8,99,0.13339999999999463,-0.4704545,0.9421279,-1.0433719919687234,0.65363603686598,14.38331,13.00768,False,0,"[-0.006031, 0.0120785, 0.7344886]","[0.2218, 0.1998, 0.8648999]"
9,9,99,0.14939999999998577,-0.4749863,0.8789299,-1.0435979985676833,0.5921093353353846,14.3833,13.00768,False,0,"[-0.0060892, 0.0112682, 0.7344942]","[0.2218, 0.1998, 0.8649001]"
10,10,99,0.1664000000000101,-0.6148531,0.4613892,-1.1560479053122128,0.19288636412054122,14.3833,13.00768,False,0,"[-0.0074225, 0.0055698, 0.6916481]","[0.2218, 0.1998, 0.8649001]"
11,11,99,0.18299999999999272,-0.5977851,0.5253991,-1.143223993995298,0.25437761169563766,14.3833,13.00768,False,0,"[-0.0072179, 0.0063438, 0.6917887]","[0.2217999, 0.1998, 0.8648999]"
12,12,99,0.20060000000000855,-0.8352893,0.4925644,-1.3806963863445114,0.23797514537514575,14.38331,13.00768,False,0,"[-0.0108372, 0.0063903, 0.7433134]","[0.2218001, 0.1998, 0.8649002]"
13,13,99,0.21569999999999823,-0.9168479,0.4329603,-1.4589188409856753,0.18506254905437536,14.38331,13.00768,False,0,"[-0.0118951, 0.0056168, 0.7432861]","[0.2218, 0.1998, 0.8649]"
14,14,99,0.23390000000000555,-0.9468188,0.1181928,-1.4675134596443937,-0.12089103158890116,14.38331,13.00768,False,0,"[-0.011819, 0.0014753, 0.7151518]","[0.2218001, 0.1998, 0.8649002]"
