,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-9.679573,0.5837952,-14.02274947115015,7.083508852773912,-14.41455,12.94426,False,0,"[-0.063897, 0.0038172, 0.3746169]","[-0.2222, 0.1987, 0.8645001]"
1,1,99,0.01639999999997599,-9.699669,0.6470078,-14.039072726707067,7.17004174110349,-14.41455,12.94427,False,0,"[-0.064249, 0.0042448, 0.3758854]","[-0.2222, 0.1987, 0.8645]"
2,2,99,0.03289999999998372,-9.135801,1.159706,-13.247221352121514,7.863313389331455,-14.41454,12.94427,False,0,"[-0.0562633, 0.0070824, 0.3498634]","[-0.2221998, 0.1987, 0.8645]"
3,3,99,0.04959999999999809,-9.108907,1.288316,-13.194245204119127,8.038570786011839,-14.41456,12.94426,False,0,"[-0.0560128, 0.0078566, 0.3493516]","[-0.2222001, 0.1987, 0.8645002]"
4,4,99,0.0665000000000191,-8.579824,0.100809,-12.694879268695967,6.411183619255987,-14.41455,12.94426,False,0,"[-0.0509148, 0.0005937, 0.3374619]","[-0.2222, 0.1987, 0.8645004]"
5,5,99,0.08279999999996335,-8.736539,-0.3449869,-12.959243858097883,5.804444283783006,-14.41455,12.94427,False,0,"[-0.0521805, -0.0020445, 0.3395527]","[-0.2221999, 0.1987, 0.8644999]"
6,6,99,0.0999999999999659,-8.660893,-0.3803567,-12.868220184550687,5.755266564364162,-14.41455,12.94426,False,0,"[-0.0506777, -0.0022086, 0.3326989]","[-0.2222, 0.1987, 0.8645003]"
7,7,99,0.11700000000001864,-8.346661,-0.05140933,-12.420625373176504,6.200630539450552,-14.41454,12.94426,False,0,"[-0.0490877, -0.0003002, 0.3345761]","[-0.2221999, 0.1987, 0.8645004]"
8,8,99,0.1342999999999961,-8.216424,0.2541501,-12.210405595584417,6.616235466362376,-14.41455,12.94427,False,0,"[-0.0486209, 0.0014936, 0.3367218]","[-0.2221999, 0.1987, 0.8645]"
9,9,99,0.14979999999997062,-8.176332,-0.06120661,-12.205472950115828,6.185247258402011,-14.41455,12.94426,False,0,"[-0.0485739, -0.0003611, 0.3380689]","[-0.2221999, 0.1987, 0.8645002]"
10,10,99,0.16699999999997317,-8.716233,0.1315335,-12.863844817178043,6.454736164364666,-14.41457,12.94426,False,0,"[-0.0495844, 0.0007425, 0.3234226]","[-0.2222002, 0.1987, 0.8645003]"
11,11,99,0.18369999999998754,-8.699592,0.02769821,-12.857846285043562,6.312787139938829,-14.41455,12.94427,False,0,"[-0.0495542, 0.0001566, 0.3238539]","[-0.2222, 0.1987, 0.8645]"
12,12,99,0.20069999999998345,-8.376111,0.4149581,-12.389976382352257,6.837648558176796,-14.41456,12.94427,False,0,"[-0.0511299, 0.002515, 0.3472531]","[-0.2222, 0.1987, 0.8644999]"
13,13,99,0.21710000000001628,-8.33887,0.1907392,-12.375361517494312,6.53111256087957,-14.41456,12.94426,False,0,"[-0.0510982, 0.0011605, 0.3486099]","[-0.2222001, 0.1987, 0.8645]"
14,14,99,0.23390000000000555,-8.25691,0.5574398,-12.217601190875419,7.030754801109934,-14.41455,12.94426,False,0,"[-0.0498094, 0.0033395, 0.3432382]","[-0.2222, 0.1987, 0.8645005]"
15,15,99,0.25020000000000664,-8.386941,0.6444914,-12.370232186871672,7.151128205374642,-14.41456,12.94427,False,0,"[-0.0507771, 0.0038742, 0.3444046]","[-0.2222001, 0.1987, 0.8645]"
16,16,99,0.26729999999997744,-7.338461,1.78471,-10.87054224077216,8.695357811205414,-14.41455,12.94426,False,0,"[-0.1340339, 0.032429, 1.040755]","[-0.2222, 0.1987, 0.8645004]"
17,17,99,0.2837999999999852,-7.291801,1.773709,-10.812817712947906,8.67978941455003,-14.41456,12.94426,False,0,"[-0.1332937, 0.0322584, 1.041703]","[-0.2222002, 0.1987, 0.8645004]"
18,18,99,0.30049999999999955,-9.779135,2.72382,-13.83687387917603,10.006180216338127,-14.41455,12.94426,False,0,"[-0.0888265, 0.0245189, 0.5153692]","[-0.2222001, 0.1987, 0.8645004]"
19,19,99,0.31680000000000064,-9.663134,2.750845,-13.685426002862297,10.041706178640293,-14.41455,12.94427,False,0,"[-0.0879498, 0.0248183, 0.5165285]","[-0.2221999, 0.1987, 0.8644999]"
20,20,99,0.33459999999996626,-10.12597,1.535461,-14.451411673886946,8.387957771441808,-14.41456,12.94427,False,0,"[-0.0655025, 0.0098313, 0.3667663]","[-0.2222, 0.1987, 0.8644999]"
21,21,99,0.35840000000001737,-10.35987,1.513042,-14.752102261337393,8.360109915002706,-14.41455,12.94426,False,0,"[-0.0681878, 0.0098522, 0.3729973]","[-0.2222, 0.1987, 0.8645003]"
22,22,99,0.36700000000001864,-9.319309,1.382053,-13.448096312433721,8.169018542171793,-14.41456,12.94426,False,0,"[-0.061457, 0.0090353, 0.3745041]","[-0.2222001, 0.1987, 0.8645002]"
23,23,99,0.38369999999997617,-9.228632,1.189481,-13.360913647111003,7.905055882523939,-14.41456,12.94426,False,0,"[-0.0609706, 0.0077916, 0.3752558]","[-0.2222001, 0.1987, 0.8645002]"
24,24,99,0.40049999999996544,-8.585186,0.5553253,-12.635331457102748,7.031738813250756,-14.41456,12.94427,False,0,"[-0.0548192, 0.0035195, 0.3631103]","[-0.2222001, 0.1987, 0.8645]"
25,25,99,0.41679999999996653,-8.675347,0.4815333,-12.76075096321944,6.932063273875275,-14.41455,12.94426,False,0,"[-0.0555256, 0.0030585, 0.3639088]","[-0.2221999, 0.1987, 0.8645004]"
26,26,99,0.43369999999998754,-6.160101,3.784263,-9.080227375317438,11.411193473053931,-14.41457,12.94427,False,0,"[-0.0330414, 0.0202491, 0.3061363]","[-0.2222001, 0.1987, 0.8644999]"
27,27,99,0.45029999999997017,-6.21306,3.821012,-9.142201860991225,11.461986535035694,-14.41455,12.94426,False,0,"[-0.0333994, 0.0204903, 0.3067952]","[-0.2221999, 0.1987, 0.8645003]"
28,28,99,0.4673999999999978,-5.876732,6.010518,-8.394842491868264,14.447068615427277,-14.41457,12.94426,True,0,"[-0.0316035, 0.0323283, 0.3070406]","[-0.2222003, 0.1987, 0.8645005]"
29,29,99,0.48359999999996717,-6.02424,6.034185,-8.578951543418984,14.481117340984955,-14.41456,12.94426,True,0,"[-0.0325427, 0.0325968, 0.3083677]","[-0.2222001, 0.1987, 0.8645002]"
30,30,99,0.5004999999999882,-10.54959,4.864592,-14.50396761648774,12.937782055686876,-14.41455,12.94426,True,0,"[-0.0692178, 0.031632, 0.3716703]","[-0.2222, 0.1987, 0.8645003]"
31,31,99,0.5169999999999959,-10.52079,4.598928,-14.506137539982317,12.574765982259304,-14.41455,12.94426,True,0,"[-0.0692909, 0.0300123, 0.3731045]","[-0.2222, 0.1987001, 0.8645005]"
32,32,99,0.5339000000000169,-12.57492,0.7507012,-17.679976428163137,7.34550259748706,-14.41456,12.94426,False,0,"[-0.1186004, 0.0069666, 0.5316808]","[-0.2222001, 0.1987, 0.8645]"
33,33,99,0.5503999999999678,-12.50454,0.6015916,-17.612256413720264,7.141112817600698,-14.41455,12.94426,False,0,"[-0.1179914, 0.0055863, 0.5320253]","[-0.2222, 0.1987, 0.8645002]"
