,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-12.48819,10.89211,-13.142552505595969,11.73342702617122,-14.41455,12.94427,False,8,"[-0.2173973, 0.1737197, 0.918004]","[-0.2221999, 0.1987, 0.8645]"
1,1,99,0.01710000000002765,-12.59083,10.93979,-13.247534273604582,11.801116451806047,-14.41456,12.94427,False,8,"[-0.2275764, 0.1855686, 0.9712034]","[-0.2222001, 0.1987, 0.8645]"
2,2,99,0.03350000000000364,-12.53374,11.31804,-13.172390888155874,12.19969527097089,-14.41455,12.94427,False,8,"[-0.2274685, 0.1853847, 0.9714894]","[-0.2222, 0.1987, 0.8645001]"
3,3,99,0.05040000000002465,-12.47261,11.27056,-13.110655904674719,12.138815016486646,-14.41456,12.94426,False,8,"[-0.2232503, 0.1941164, 0.9848873]","[-0.2222, 0.1987, 0.8645002]"
4,4,99,0.06700000000000728,-12.81172,11.24175,-13.465214194246581,12.16163162406486,-14.41455,12.94427,False,8,"[-0.2232986, 0.1938736, 0.9848316]","[-0.2222, 0.1987, 0.8645001]"
5,5,99,0.083500000000015,-13.00021,11.42881,-13.653887009929413,12.393170318715862,-14.41456,12.94426,False,8,"[-0.1920313, 0.1751002, 0.8601613]","[-0.2222, 0.1987, 0.8645]"
6,6,99,0.10130000000003747,-13.26855,10.88804,-13.955886911223892,11.852996455788904,-14.41455,12.94427,False,8,"[-0.1906743, 0.1756701, 0.860106]","[-0.2222, 0.1987, 0.8645]"
7,7,99,0.12360000000001037,-13.27985,10.88622,-13.967737276169498,11.852829947779213,-14.41456,12.94426,False,8,"[-0.1877074, 0.1746698, 0.8565809]","[-0.2222, 0.1987, 0.8645]"
8,8,99,0.13960000000002992,-13.82879,12.21078,-14.48493939407205,13.367529524246613,-14.41455,12.94426,False,8,"[-0.2300547, 0.1998782, 1.038723]","[-0.2222, 0.1987, 0.8645002]"
9,9,99,0.1519999999999868,-13.86613,12.27596,-14.521151767139699,13.443706500242616,-14.41455,12.94427,False,8,"[-0.2320731, 0.2008315, 1.039017]","[-0.2221999, 0.1987, 0.8645]"
10,10,99,0.1693000000000211,-13.57178,11.33573,-14.253337534874554,12.383646869672194,-14.41456,12.94427,False,8,"[-0.1920469, 0.1728991, 0.8638601]","[-0.2222, 0.1987, 0.8645]"
11,11,99,0.18650000000002365,-13.59021,11.44444,-14.268043511987518,12.503733211173813,-14.41455,12.94427,False,8,"[-0.1911301, 0.1722, 0.8640868]","[-0.2222, 0.1987, 0.8645001]"
12,12,99,0.20390000000003283,-13.60986,11.67555,-14.278955424215855,12.75592615775429,-14.41455,12.94426,False,8,"[-0.1851735, 0.1618472, 0.8142734]","[-0.2222, 0.1987, 0.8645001]"
13,13,99,0.21989999999999554,-13.78808,11.80401,-14.459351573027668,12.92267918342505,-14.41456,12.94426,False,8,"[-0.1879806, 0.1646016, 0.8142197]","[-0.2222, 0.1987, 0.8645001]"
14,14,99,0.23610000000002174,-13.85854,11.79402,-14.533187101122369,12.92310493997481,-14.41456,12.94427,False,8,"[-0.1868173, 0.1523889, 0.792235]","[-0.2222, 0.1987, 0.8645]"
15,15,99,0.2529999999999859,-13.96924,11.92625,-14.64306872409951,13.083195798710438,-14.41455,12.94426,False,8,"[-0.1869502, 0.1523366, 0.7920991]","[-0.2221999, 0.1987, 0.8645]"
16,16,99,0.2699000000000069,-14.08123,11.49102,-14.77777811797089,12.631929099195265,-14.41455,12.94426,False,8,"[-0.1844977, 0.1621983, 0.749514]","[-0.2222, 0.1987, 0.8645002]"
17,17,99,0.28630000000003974,-14.28832,11.5842,-14.989717961809607,12.765246031079426,-14.41456,12.94427,False,8,"[-0.1850041, 0.1630808, 0.7494667]","[-0.2222, 0.1987, 0.8645]"
18,18,99,0.30400000000003047,-14.16042,12.99418,-14.798091050942315,14.264492187878577,-14.41456,12.94427,False,8,"[-0.2250567, 0.186893, 0.9322816]","[-0.2222, 0.1987, 0.8645]"
19,19,99,0.3199999999999932,-14.24523,12.99332,-14.88650201411232,14.277036935458845,-14.41456,12.94426,False,8,"[-0.2253139, 0.1886832, 0.9320326]","[-0.2222001, 0.1987, 0.8645002]"
20,20,99,0.3371999999999957,-13.33708,12.47168,-13.961761150268842,13.570601095434377,-14.41456,12.94426,False,8,"[-0.2353076, 0.2008411, 0.9719131]","[-0.2222, 0.1987, 0.8645002]"
21,21,99,0.3586999999999989,-13.3412,12.48278,-13.965594995164285,13.583218215748518,-14.41456,12.94426,False,8,"[-0.2379149, 0.202607, 0.9694862]","[-0.2222001, 0.1987, 0.8645001]"
22,22,99,0.369700000000023,-12.15429,12.24603,-12.738585414608963,13.139534323521561,-14.41456,12.94426,False,8,"[-0.2568099, 0.2173525, 1.04095]","[-0.2222, 0.1987, 0.8645]"
23,23,99,0.38690000000002556,-12.00972,12.16646,-12.591230651875396,13.030816094576824,-14.41456,12.94427,False,8,"[-0.2587262, 0.2196754, 1.040073]","[-0.2222, 0.1987, 0.8645]"
24,24,99,0.4034000000000333,-12.7376,13.74303,-13.2844662427913,14.845535256577023,-14.41456,12.94427,False,8,"[-0.2741082, 0.2221514, 1.092786]","[-0.2222, 0.1987, 0.8645]"
25,25,99,0.4200999999999908,-12.64102,13.74626,-13.18369239511037,14.833675105672768,-14.41456,12.94426,False,8,"[-0.277953, 0.2237149, 1.091383]","[-0.2222001, 0.1987, 0.8645003]"
26,26,99,0.43659999999999854,-12.08446,15.35694,-12.537079126306992,16.48112927901336,-14.41455,12.94427,False,8,"[-0.2061885, 0.1885832, 0.8172222]","[-0.2222, 0.1987, 0.8645]"
27,27,99,0.4533000000000129,-11.96988,15.41736,-12.41518183862176,16.528044684528684,-14.41456,12.94427,False,8,"[-0.2074209, 0.1885205, 0.8170067]","[-0.2222, 0.1987, 0.8645]"
28,28,99,0.47059999999999036,-12.0982,15.91478,-12.528311319948127,17.084506609732923,-14.41455,12.94426,False,8,"[-0.1656762, 0.1545667, 0.6988394]","[-0.2222, 0.1987, 0.8645]"
29,29,99,0.486500000000035,-11.86269,15.79569,-12.287828961599718,16.918751621255986,-14.41455,12.94426,False,8,"[-0.1657342, 0.1547131, 0.6988597]","[-0.2222, 0.1987, 0.8645001]"
30,30,99,0.5044000000000324,-10.79145,11.86997,-11.334014967887981,12.517767907110228,-14.41456,12.94426,False,8,"[-0.1893409, 0.1908143, 0.8791317]","[-0.2222, 0.1987, 0.8645001]"
31,31,99,0.5201999999999884,-10.50649,11.97858,-11.032580707738482,12.589554701295237,-14.41455,12.94426,False,8,"[-0.1871922, 0.1897098, 0.8799357]","[-0.2222, 0.1987, 0.8645001]"
32,32,99,0.5378000000000043,-10.50528,11.5194,-11.050322363151992,12.094495453920995,-14.41456,12.94427,False,8,"[-0.1602324, 0.1733601, 0.7088377]","[-0.2222, 0.1987, 0.8645]"
33,33,99,0.554300000000012,-10.37595,11.48533,-10.916965329007958,12.037234230272272,-14.41456,12.94427,False,8,"[-0.1589466, 0.1733694, 0.7087029]","[-0.2222, 0.1987, 0.8645]"
34,34,99,0.5708999999999946,-10.06151,10.89397,-10.613779024506794,11.349967271879764,-14.41456,12.94426,True,8,"[-0.1523935, 0.1954854, 0.711794]","[-0.2222001, 0.1987, 0.8645001]"
35,35,99,0.5875000000000341,-9.951578,10.87059,-10.500193082606899,11.307308127101779,-14.41456,12.94427,True,8,"[-0.1508585, 0.1962317, 0.7115723]","[-0.2222, 0.1987, 0.8645]"
36,36,99,0.6043999999999983,-9.982447,10.50807,-10.547362185223463,10.92151677234789,-14.41456,12.94427,True,8,"[-0.1701527, 0.226345, 0.7938128]","[-0.2222001, 0.1987, 0.8645]"
37,37,99,0.6213000000000193,-10.09172,10.44457,-10.663856830577345,10.870439005318897,-14.41456,12.94426,True,8,"[-0.1670078, 0.2249188, 0.7950743]","[-0.2222001, 0.1987, 0.8645001]"
38,38,99,0.6383000000000152,-10.6546,10.11558,-11.264014837936344,10.605290491770097,-14.41455,12.94426,False,8,"[-0.1674063, 0.1846033, 0.8782864]","[-0.2222, 0.1987, 0.8645002]"
39,39,99,0.6544000000000096,-10.61263,10.07322,-11.222033447963053,10.552971615951993,-14.41456,12.94427,False,8,"[-0.1629511, 0.1864195, 0.8786501]","[-0.2222, 0.1987, 0.8645]"
40,40,99,0.6711999999999989,-14.76916,11.12107,-15.509938242051916,12.34250069330131,-14.41455,12.94426,False,8,"[-0.1478447, 0.1624913, 0.7972885]","[-0.2222, 0.1987, 0.8645001]"
41,41,99,0.6878000000000384,-14.85079,11.00034,-15.599996172092887,12.225354130218543,-14.41456,12.94427,False,8,"[-0.146008, 0.1620244, 0.7974201]","[-0.2222, 0.1987, 0.8644999]"
42,42,99,0.7051999999999907,-15.05638,9.913971,-15.859186945262536,11.087210336128,-14.41455,12.94426,False,8,"[-0.160734, 0.1743459, 0.9058793]","[-0.2222, 0.1987, 0.8645]"
43,43,99,0.7216000000000236,-15.14929,9.889537,-15.957014005774575,11.075635573104307,-14.41456,12.94426,False,8,"[-0.1589941, 0.1740201, 0.9061781]","[-0.2222, 0.1987, 0.8645001]"
44,44,99,0.7384000000000128,-15.49161,10.24395,-16.299058093414327,11.51196880874944,-14.41455,12.94427,False,8,"[-0.1514619, 0.1596143, 0.8605248]","[-0.2222, 0.1987, 0.8645001]"
45,45,99,0.7549000000000206,-15.46379,10.26,-16.269404346606663,11.524847151212288,-14.41455,12.94427,False,8,"[-0.1531955, 0.1586704, 0.8607555]","[-0.2222, 0.1987, 0.8645001]"
46,46,99,0.7717000000000098,-15.71486,10.2194,-16.532709387888556,11.520972797763289,-14.41455,12.94427,False,8,"[-0.1562742, 0.1481971, 0.8306654]","[-0.2222, 0.1987, 0.8645001]"
47,47,99,0.7880000000000109,-15.79544,10.16251,-16.619031247138707,11.472461034027441,-14.41455,12.94426,False,8,"[-0.1557294, 0.1476442, 0.8311193]","[-0.2222, 0.1987, 0.8645]"
48,48,99,0.8045000000000186,-15.78374,10.54089,-16.591180656479594,11.878389899932813,-14.41456,12.94427,False,8,"[-0.1491641, 0.111221, 0.5657966]","[-0.2222001, 0.1987, 0.8645]"
