,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-12.60133,5.938007,-13.348730494390232,6.963097448431556,-14.66625,8.910584,False,2,"[-0.2242202, 0.1031376, 1.001971]","[-0.2241781, 0.1342976, 0.8565713]"
1,1,99,0.016799999999989268,-12.60326,5.958913,-13.35084592799582,6.983379610848571,-14.74593,8.881803,False,2,"[-0.2237563, 0.1027817, 1.002172]","[-0.2253902, 0.1338205, 0.8563393]"
2,2,99,0.03340000000002874,-12.75684,5.354757,-13.50558145276101,6.416003165216916,-14.72213,8.885743,False,2,"[-0.2314837, 0.1077013, 1.035485]","[-0.2251413, 0.1339591, 0.8568396]"
3,3,99,0.04989999999997963,-12.77272,5.357218,-13.521970337149527,6.419792719498879,-14.72703,8.91765,False,2,"[-0.2314917, 0.1080699, 1.035357]","[-0.2252165, 0.134446, 0.8568274]"
4,4,99,0.0665000000000191,-12.63527,5.475436,-13.380952404932227,6.521194441432106,-14.71393,8.884187,False,2,"[-0.2110277, 0.087366, 0.9320911]","[-0.2251003, 0.1339888, 0.8571821]"
5,5,99,0.08330000000000837,-12.63327,5.450727,-13.378741985496156,6.497247937255125,-14.7159,8.891071,False,2,"[-0.2112763, 0.0873969, 0.9319896]","[-0.225153, 0.1341069, 0.8572627]"
6,6,99,0.10009999999999764,-12.83801,5.327269,-13.589112300157728,6.3968329379650815,-14.73716,8.88516,False,2,"[-0.2045532, 0.087467, 0.9124796]","[-0.2253979, 0.1339597, 0.8569008]"
7,7,99,0.11669999999992342,-12.80377,5.395263,-13.554214661700632,6.4591689549363736,-14.70607,8.878438,False,2,"[-0.2044725, 0.0870498, 0.9122686]","[-0.2249504, 0.1338862, 0.8570898]"
8,8,99,0.13350000000002638,-12.73999,5.305763,-13.487913313732408,6.36736704962154,-14.72475,8.885721,False,2,"[-0.230128, 0.0941621, 1.009811]","[-0.2252253, 0.1339838, 0.8569996]"
9,9,99,0.15019999999992706,-12.71332,5.327139,-13.460541643105708,6.385539655441418,-14.75504,8.896039,False,2,"[-0.2294661, 0.0953597, 1.009691]","[-0.2256617, 0.1341133, 0.8568169]"
10,10,99,0.16660000000001673,-12.77723,5.292523,-13.526232676418608,6.35796712409533,-14.72086,8.858175,False,2,"[-0.2295627, 0.0942938, 1.015345]","[-0.2251737, 0.133568, 0.8570402]"
