,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-8.342146,-10.60629,-11.858030875380088,-13.071787362777123,-12.26242,3.818376,False,15,"[-0.0441753, -0.0564133, 0.301259]","[-0.1565705, 0.0480788, 0.720367]"
1,1,99,0.016999999999995907,-8.361299,-10.41954,-11.99336261078209,-12.907036600966364,-12.18505,3.679948,False,15,"[-0.0443226, -0.0554532, 0.3015613]","[-0.1557011, 0.0463753, 0.7210569]"
2,2,99,0.033699999999953434,-8.370677,-10.38074,-12.028453601418917,-12.873050958890957,-12.20386,3.453174,False,15,"[-0.0444119, -0.0552905, 0.3018256]","[-0.1562529, 0.0435951, 0.7224625]"
3,3,99,0.05009999999998627,-8.349137,-10.49418,-11.933451440043543,-12.972680527499111,-12.16087,3.407956,False,15,"[-0.0443474, -0.0559732, 0.3021757]","[-0.1554784, 0.0429656, 0.7215012]"
4,4,99,0.0666999999999689,-8.333632,-10.48265,-11.920250399855043,-12.961755484010919,-12.01888,3.450227,False,15,"[-0.0442858, -0.0559381, 0.3023259]","[-0.1534612, 0.0434582, 0.7208107]"
5,5,99,0.08339999999998327,-8.294312,-10.42592,-11.903052540452173,-12.909670742858527,-11.9416,3.438207,False,15,"[-0.0440897, -0.0556485, 0.3024343]","[-0.1519501, 0.0431658, 0.7184693]"
6,6,99,0.10009999999999764,-8.265189,-10.39571,-11.883322151956982,-12.881565007832155,-12.08337,3.060699,False,15,"[-0.0439899, -0.0555558, 0.3028274]","[-0.1546196, 0.0386193, 0.7222586]"
7,7,99,0.1168999999999869,-8.225426,-10.3988,-11.830127570364796,-12.882510387387324,-12.01045,2.992583,False,15,"[-0.0437785, -0.0555767, 0.3028494]","[-0.1537096, 0.0377708, 0.7224987]"
8,8,99,0.13349999999996953,-8.251067,-10.41533,-11.85346109034581,-12.898327120767984,-11.6751,2.975754,False,15,"[-0.0439216, -0.055673, 0.3028819]","[-0.1492467, 0.0375458, 0.7222653]"
9,9,99,0.14999999999997726,-8.152332,-10.47121,-11.692826716213581,-12.943426182926977,-11.63328,2.870371,False,15,"[-0.04338, -0.0559672, 0.302821]","[-0.1486299, 0.0361976, 0.7219396]"
10,10,99,0.16669999999999163,-8.125086,-10.59762,-11.582773072647097,-13.054300353424349,-11.82526,2.81068,False,15,"[-0.0432505, -0.0566812, 0.302943]","[-0.1509089, 0.0353863, 0.7207722]"
11,11,99,0.1835999999999558,-8.061433,-10.45872,-11.582802311129111,-12.928246459253717,-11.30149,2.936518,False,15,"[-0.0429367, -0.05596, 0.3031518]","[-0.1450461, 0.0372306, 0.7257868]"
12,12,99,0.20009999999996353,-8.03862,-10.51827,-11.51806853797546,-12.980027342706535,-11.50349,2.98755,False,15,"[-0.0428006, -0.0562688, 0.3030599]","[-0.1469643, 0.0376878, 0.7221276]"
13,13,99,0.2167999999999779,-8.142412,-10.35366,-11.749623606561862,-12.83873162593284,-11.84371,3.083674,False,15,"[-0.0433557, -0.0553621, 0.3030245]","[-0.1508838, 0.038761, 0.7194977]"
14,14,99,0.23329999999998563,-8.090314,-10.57958,-11.548538580438958,-13.036732330000753,-11.56279,2.736571,False,15,"[-0.042449, -0.0557758, 0.2986242]","[-0.1475984, 0.0344829, 0.7214212]"
