,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-3.122877,3.406627,-4.755083962209524,1.342036812941259,-2.968606,2.273955,False,9,"[-0.0163368, 0.0178246, 0.299437]","[-0.0390496, 0.029901, 0.7530053]"
1,1,99,0.01639999999997599,-3.154224,3.340592,-4.765474409489341,1.282243199559125,-3.109948,2.228355,False,9,"[-0.0165064, 0.0174838, 0.2995316]","[-0.0408717, 0.0292716, 0.7522554]"
2,2,99,0.03309999999999036,-3.002576,3.590949,-4.697542587083282,1.5091431062300664,-2.914555,1.781593,False,9,"[-0.0157065, 0.0187917, 0.299441]","[-0.0384527, 0.0234925, 0.7552704]"
3,3,99,0.05009999999992942,-3.008581,3.585079,-4.701266336421311,1.5038077312420457,-3.010638,1.645824,False,9,"[-0.0157406, 0.018764, 0.2994901]","[-0.039708, 0.0216932, 0.7549918]"
4,4,99,0.06689999999991869,-3.288641,3.467748,-4.914925595960087,1.3961592593741337,-3.055065,1.444187,False,9,"[-0.0172066, 0.0181459, 0.2994492]","[-0.0403113, 0.0190419, 0.7552965]"
5,5,99,0.08330000000000837,-3.261319,3.498894,-4.899117627507854,1.4244400829882768,-2.994758,1.097405,False,9,"[-0.0170635, 0.0183095, 0.2994519]","[-0.0396157, 0.0145054, 0.7572377]"
6,6,99,0.10009999999999764,-3.508512,3.43043,-5.096675059238427,1.36110052794481,-3.081752,0.9611244,False,9,"[-0.0183677, 0.0179579, 0.2995788]","[-0.0407538, 0.0126991, 0.7569613]"
7,7,99,0.11649999999997362,-3.454262,3.407539,-5.043625032123426,1.3407815019203495,-3.050653,0.7737347,False,9,"[-0.018085, 0.0178398, 0.2996117]","[-0.0404057, 0.010239, 0.7581623]"
8,8,99,0.13369999999997617,-3.686887,3.17624,-5.186879711846716,1.1305736865443583,-2.941168,0.4900059,False,9,"[-0.019298, 0.0166192, 0.2994852]","[-0.0390474, 0.0064998, 0.7599986]"
9,9,99,0.15049999999996544,-3.697442,3.152866,-5.190087137268529,1.1094123027237628,-2.955876,0.3743135,False,9,"[-0.0193559, 0.0164988, 0.2995237]","[-0.0392202, 0.0049623, 0.7595571]"
