,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,22.24893,-6.533832,25.247020200279014,-8.079315995260284,-14.41456,12.94426,False,18,"[0.0663557, -0.0185778, 0.1622035]","[-0.2222002, 0.1987, 0.8645002]"
1,1,99,0.01659999999998263,22.24583,-6.331908,25.123439476416277,-7.900383847644152,-14.41456,12.94426,False,18,"[0.0664567, -0.0180291, 0.1624754]","[-0.2222001, 0.1987, 0.8645003]"
2,2,99,0.03340000000000032,21.87496,-6.163728,24.544766414438516,-7.767978190234493,-14.41456,12.94426,False,18,"[0.065298, -0.0175641, 0.1626393]","[-0.2222001, 0.1987, 0.8645004]"
3,3,99,0.04980000000000473,21.84656,-6.183509,24.51979408666111,-7.786802547773942,-14.41456,12.94427,False,18,"[0.0652778, -0.0176408, 0.1628224]","[-0.2222001, 0.1987, 0.8645002]"
4,4,99,0.06889999999998508,21.1619,-6.589911,23.87603433542313,-8.178117582988856,-14.41456,12.94426,False,18,"[0.0629498, -0.0187862, 0.1626148]","[-0.2222001, 0.1987, 0.8645002]"
5,5,99,0.08320000000000505,20.92622,-6.447361,23.487173621362427,-8.062338809267509,-14.41455,12.94426,False,18,"[0.0621951, -0.0183802, 0.1626495]","[-0.2222, 0.1987, 0.8645002]"
6,6,99,0.09979999999998768,20.85218,-6.132505,23.205078026548485,-7.786457543835723,-14.41456,12.94426,False,18,"[0.0620966, -0.0175157, 0.163023]","[-0.2222002, 0.1987, 0.8645006]"
7,7,99,0.11650000000000205,20.92235,-6.291282,23.3897469240531,-7.924098100855821,-14.41455,12.94427,False,18,"[0.0623945, -0.0179927, 0.1632039]","[-0.2221999, 0.1987, 0.8644999]"
8,8,99,0.13339999999999463,20.98475,-6.174474,23.40118163161555,-7.8176925966730755,-14.41455,12.94426,False,18,"[0.0624186, -0.0176054, 0.1627354]","[-0.2221999, 0.1987, 0.8645002]"
9,9,99,0.14990000000000236,20.93444,-6.480396,23.51735479725097,-8.091264154186323,-14.41456,12.94426,False,18,"[0.0622502, -0.0184836, 0.1627237]","[-0.2222001, 0.1987, 0.8645003]"
10,10,99,0.16679999999999495,20.66918,-6.619564,23.257112453655,-8.226656363015774,-14.41455,12.94427,False,18,"[0.0616083, -0.0189518, 0.1633072]","[-0.2221999, 0.1987, 0.8645001]"
11,11,99,0.18309999999999604,21.509,-6.845856,24.47597503432725,-8.389428788231285,-14.41456,12.94426,False,18,"[0.0625039, -0.0190409, 0.1586023]","[-0.2222, 0.1987, 0.8645001]"
12,12,99,0.1998999999999853,20.02105,-7.135845,22.725609758374837,-8.713766311974636,-14.41456,12.94427,False,18,"[0.0591519, -0.0203228, 0.1623327]","[-0.2222001, 0.1987, 0.8645]"
13,13,99,0.21659999999999968,20.35701,-6.993502,23.075300200557468,-8.57236698605184,-14.41456,12.94427,False,18,"[0.0606474, -0.0200505, 0.1634513]","[-0.2222001, 0.1987, 0.8645]"
14,14,99,0.23339999999998895,20.32191,-6.860474,22.95118190336131,-8.455978314068464,-14.41455,12.94426,False,18,"[0.0608005, -0.0197521, 0.1641721]","[-0.2221999, 0.1987, 0.8645]"
15,15,99,0.25,20.3602,-7.133134,23.16210883704648,-8.696052711479618,-14.41455,12.94426,False,18,"[0.0607125, -0.0204734, 0.1635988]","[-0.2222, 0.1987, 0.8645002]"
16,16,99,0.26650000000000773,20.25614,-7.1045,23.01073043125952,-8.675356568783029,-14.41456,12.94426,False,18,"[0.0602906, -0.020362, 0.163371]","[-0.2222001, 0.1987, 0.8645004]"
17,17,99,0.2831999999999937,20.21167,-7.111961,22.957703615595758,-8.683980599691967,-14.41455,12.94426,False,18,"[0.0602699, -0.0204254, 0.1637059]","[-0.2222, 0.1987, 0.8645002]"
18,18,99,0.29990000000000805,21.69495,-7.50055,25.10387958061259,-8.96163661274557,-14.41455,12.94426,False,18,"[0.0652816, -0.0216041, 0.1640876]","[-0.2222, 0.1987, 0.8645003]"
19,19,99,0.3218999999999994,21.90364,-7.434711,25.33447066480716,-8.893828295570149,-14.41455,12.94427,False,18,"[0.0658038, -0.0213568, 0.1636619]","[-0.2221999, 0.1987, 0.8645]"
20,20,99,0.3336999999999932,21.72969,-7.067668,24.89240980046814,-8.576176068028346,-14.41456,12.94427,False,18,"[0.0646952, -0.0201259, 0.1623271]","[-0.2222, 0.1987, 0.8645]"
