,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-7.280598,8.583514,-6.878575949985751,7.965205442280474,-14.39122,14.17329,False,10,"[-0.0930834, 0.109974, 0.7285873]","[-0.2221632, 0.2186564, 0.865819]"
1,1,99,0.01700000000005275,-7.453749,8.689372,-7.04795448573857,8.072243376489947,-14.39122,14.17329,False,10,"[-0.1025004, 0.1197367, 0.7834545]","[-0.2221631, 0.2186564, 0.8658189]"
2,2,99,0.03399999999987813,-7.384114,8.959669,-6.964561275232302,8.348361238401722,-14.39122,14.17329,False,10,"[-0.1013571, 0.1233089, 0.7821044]","[-0.2221631, 0.2186565, 0.8658189]"
3,3,99,0.05099999999993088,-7.3441,9.96497,-6.875142421640361,9.37410992942378,-14.39122,14.17329,False,10,"[-0.0920394, 0.1254682, 0.7141185]","[-0.2221631, 0.2186565, 0.8658189]"
4,4,99,0.06799999999998363,-7.376367,10.26272,-6.893132362959758,9.677674046965867,-14.39122,14.17329,False,10,"[-0.0922334, 0.1289968, 0.7124582]","[-0.2221631, 0.2186565, 0.8658189]"
5,5,99,0.08500000000003638,-7.609579,11.22373,-7.081304612381105,10.65674133945379,-14.39122,14.17329,False,10,"[-0.1007219, 0.1496036, 0.7539144]","[-0.2221631, 0.2186564, 0.8658189]"
6,6,99,0.10200000000008913,-7.530336,11.26977,-6.999174947830336,10.704142540406115,-14.39122,14.17329,False,10,"[-0.0996017, 0.1501442, 0.753467]","[-0.2221631, 0.2186565, 0.8658189]"
7,7,99,0.11799999999993815,-9.62708,12.59797,-9.047974927140478,12.047562984070064,-14.39122,14.17329,False,10,"[-0.1374665, 0.1811204, 0.8104212]","[-0.2221632, 0.2186564, 0.8658189]"
8,8,99,0.1349999999999909,-9.599601,12.43347,-9.028305859146103,11.879903780411855,-14.39122,14.17329,False,10,"[-0.1371694, 0.1788128, 0.8110284]","[-0.2221631, 0.2186565, 0.8658189]"
9,9,99,0.15200000000004366,-13.31396,15.16842,-12.63907914580563,14.649504203084975,-14.39122,14.17329,False,10,"[-0.1927805, 0.2208486, 0.8146324]","[-0.2221632, 0.2186564, 0.8658189]"
10,10,99,0.16799999999989268,-13.45932,15.15672,-12.786182227458081,14.636771187595986,-14.39122,14.17329,False,10,"[-0.1948454, 0.2205355, 0.8141354]","[-0.2221631, 0.2186565, 0.865819]"
11,11,99,0.18499999999994543,-13.26634,13.50506,-12.672286238567317,12.952936248319418,-14.39122,14.17329,False,10,"[-0.1591376, 0.1621092, 0.6749706]","[-0.2221631, 0.2186565, 0.865819]"
12,12,99,0.20199999999999818,-13.16375,13.35721,-12.576087738411893,12.802674203236618,-14.39122,14.17329,False,10,"[-0.1579264, 0.160333, 0.6752441]","[-0.2221631, 0.2186564, 0.865819]"
13,13,99,0.21900000000005093,-12.90888,13.05301,-12.334015152164891,12.493751730973123,-14.39122,14.17329,False,10,"[-0.1547496, 0.1565383, 0.6751914]","[-0.2221631, 0.2186565, 0.8658189]"
14,14,99,0.23499999999989996,-12.92411,13.19853,-12.34226314179649,12.642116239744235,-14.39122,14.17329,False,10,"[-0.1546882, 0.1580907, 0.6741008]","[-0.2221632, 0.2186565, 0.865819]"
15,15,99,0.2519999999999527,-12.30447,13.40853,-11.707374869981233,12.85974172991946,-14.39122,14.17329,False,10,"[-0.1496411, 0.1635502, 0.6860586]","[-0.2221631, 0.2186564, 0.865819]"
16,16,99,0.26900000000000546,-12.15206,13.51778,-11.548402224896414,12.97202627827195,-14.39122,14.17329,False,10,"[-0.1477513, 0.1649566, 0.6861559]","[-0.2221631, 0.2186565, 0.865819]"
17,17,99,0.2860000000000582,-11.68895,13.84047,-11.065803933615872,13.303750372416237,-14.39122,14.17329,False,10,"[-0.1396129, 0.1662573, 0.6748207]","[-0.2221631, 0.2186565, 0.865819]"
18,18,99,0.30199999999990723,-11.60057,13.72863,-10.982171857272478,13.190144930780336,-14.39122,14.17329,False,10,"[-0.1386673, 0.1650268, 0.6755002]","[-0.2221631, 0.2186564, 0.8658189]"
19,19,99,0.31999999999993634,-10.96476,13.76981,-10.33922560445538,13.235642239757814,-14.39122,14.17329,False,10,"[-0.1334458, 0.168796, 0.6887808]","[-0.2221631, 0.2186565, 0.8658189]"
20,20,99,0.33600000000001273,-10.83709,13.6716,-10.215321320575956,13.13615663905271,-14.39122,14.17329,False,10,"[-0.1320547, 0.1677999, 0.6898286]","[-0.2221631, 0.2186565, 0.8658189]"
21,21,99,0.35799999999994725,-10.45818,13.42621,-9.845337454694244,12.887908121268584,-14.39122,14.17329,False,10,"[-0.1253903, 0.1621634, 0.6793121]","[-0.2221631, 0.2186564, 0.8658189]"
22,22,99,0.36999999999989086,-10.64704,13.57279,-10.028563442588023,13.036401246233789,-14.39122,14.17329,False,10,"[-0.1265233, 0.1624812, 0.673015]","[-0.2221631, 0.2186564, 0.865819]"
23,23,99,0.3869999999999436,-10.32387,13.44596,-9.708980425856685,12.908792482932135,-14.39122,14.17329,False,10,"[-0.1225575, 0.1608533, 0.6727967]","[-0.2221631, 0.2186565, 0.8658189]"
24,24,99,0.4049999999999727,-10.28843,13.37942,-9.676503432612307,12.841108060621739,-14.39122,14.17329,False,10,"[-0.1221125, 0.1600077, 0.6727135]","[-0.2221631, 0.2186564, 0.8658189]"
