,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-13.61101,9.785206,-12.520238798510299,10.593808891864292,-13.37687,9.909114,False,3,"[-0.2225552, 0.1585221, 0.9191601]","[-0.2313128, 0.1699213, 0.9726915]"
1,1,99,0.01630000000000109,-13.60392,9.75564,-12.51480115079271,10.563732883344176,-13.378,9.901565,False,3,"[-0.222422, 0.1580247, 0.9191074]","[-0.2313721, 0.1698178, 0.9728552]"
2,2,99,0.03319999999996526,-13.51425,9.674236,-12.43019743272696,10.483547589688325,-13.31798,9.891267,False,3,"[-0.2204871, 0.1563877, 0.9173896]","[-0.2303098, 0.169648, 0.9729149]"
3,3,99,0.04980000000000473,-13.51153,9.619671,-12.430450532971136,10.427653806602201,-13.29118,9.906708,False,3,"[-0.220468, 0.1555079, 0.9175023]","[-0.2298652, 0.1699448, 0.9730672]"
4,4,99,0.0665000000000191,-13.55305,9.650003,-12.470023041824405,10.457228541307483,-13.21549,9.88549,False,3,"[-0.2236857, 0.1577811, 0.9279323]","[-0.2286726, 0.1696953, 0.9737661]"
5,5,99,0.08319999999991978,-13.475,9.603368,-12.395072007601492,10.412289279872354,-13.20854,9.906266,False,3,"[-0.2223281, 0.1569895, 0.9278461]","[-0.2284114, 0.1699576, 0.9731848]"
6,6,99,0.10009999999999764,-13.40825,9.672838,-12.3250541087904,10.48607633397853,-13.2575,9.892619,False,3,"[-0.2060691, 0.1473389, 0.8644355]","[-0.2293256, 0.1697458, 0.9733397]"
7,7,99,0.116800000000012,-13.43781,9.679544,-12.354033379527603,10.491852876013748,-13.26853,9.865081,False,3,"[-0.206459, 0.1473849, 0.8640944]","[-0.2294973, 0.1692445, 0.9732291]"
8,8,99,0.1332999999999629,-11.95797,9.086474,-10.917193918339763,9.938566830807094,-13.27207,9.849412,False,3,"[-0.2079911, 0.1570633, 0.9820633]","[-0.2295601, 0.1689698, 0.9732262]"
9,9,99,0.14990000000000236,-11.95627,9.101294,-10.914704385326942,9.953838918311899,-13.36351,9.856064,False,3,"[-0.2079584, 0.1573219, 0.9820517]","[-0.2311183, 0.1690263, 0.972881]"
10,10,99,0.1673999999999296,-12.18445,9.186358,-11.13659947161987,10.032601203039242,-13.38456,9.886593,False,3,"[-0.1933137, 0.1447862, 0.8952875]","[-0.2314619, 0.1695354, 0.9727378]"
11,11,99,0.18409999999994398,-12.19522,9.210893,-11.145962282647595,10.057376720919095,-13.4134,9.919918,False,3,"[-0.1934732, 0.1451671, 0.8952105]","[-0.2319531, 0.1700993, 0.9726282]"
12,12,99,0.20049999999991996,-12.26808,9.26725,-11.215235402328837,10.112486912721543,-13.39023,9.85465,False,3,"[-0.2100982, 0.1576515, 0.9661829]","[-0.2315609, 0.1689748, 0.9727268]"
13,13,99,0.21709999999995944,-12.2649,9.321709,-11.209131510467493,10.168492520926918,-13.42319,9.782864,False,3,"[-0.2100017, 0.1585641, 0.9659979]","[-0.2321673, 0.1677303, 0.9727895]"
14,14,99,0.2336999999999989,-12.42955,9.337846,-11.3716950216042,10.178896223105596,-13.45022,9.741383,False,3,"[-0.2108282, 0.1572898, 0.9565495]","[-0.2326848, 0.1670284, 0.9729248]"
15,15,99,0.2504999999999882,-12.41241,9.325432,-11.355353156430958,10.166797648990144,-13.45899,9.78875,False,3,"[-0.2104693, 0.1570329, 0.9562811]","[-0.2327342, 0.1677788, 0.9724738]"
16,16,99,0.26709999999991396,-12.31571,9.143769,-11.269197255370834,9.983987803718414,-13.43371,9.800494,False,3,"[-0.2189099, 0.1613907, 1.00269]","[-0.2322797, 0.1679833, 0.9724696]"
17,17,99,0.28369999999995343,-12.31789,9.133704,-11.271905910995358,9.97357742665244,-13.44941,9.854811,False,3,"[-0.2189371, 0.1612006, 1.002632]","[-0.2325023, 0.16889, 0.9722228]"
18,18,99,0.30709999999999127,-12.39135,9.18773,-11.341900763604123,10.026273074255503,-13.40138,9.868974,False,3,"[-0.2139525, 0.1575093, 0.9738132]","[-0.2316897, 0.1691732, 0.9724273]"
19,19,99,0.31740000000002055,-12.42251,9.174778,-11.373532136834722,10.011816434009663,-13.45161,9.812094,False,3,"[-0.2144518, 0.1572423, 0.9735587]","[-0.2325638, 0.1681593, 0.9723146]"
20,20,99,0.33409999999992124,-12.33864,9.363357,-11.280074197662948,10.208475195440933,-13.45185,9.819768,False,3,"[-0.1924314, 0.1450586, 0.8797191]","[-0.2326005, 0.1683168, 0.97245]"
21,21,99,0.35029999999994743,-12.40359,9.317348,-11.3470356491476,10.158831501810944,-13.4908,9.809153,False,3,"[-0.193438, 0.1443042, 0.8795437]","[-0.2332859, 0.1681214, 0.9723932]"
22,22,99,0.3727000000000089,-12.36759,9.256229,-11.314608661661289,10.097456254259825,-13.44108,9.852328,False,3,"[-0.2083877, 0.1548828, 0.9503647]","[-0.232418, 0.168894, 0.9724956]"
