,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,5.770758,4.566386,6.2658240802380085,19.446540661418766,6.767568,11.29532,False,8,"[0.0307541, 0.0243048, 0.3043136]","[0.1663249, 0.2799462, 1.40159]"
1,1,99,0.017099999999999227,6.126946,3.000488,6.543650484523091,16.506826145641543,6.771124,11.28363,False,8,"[0.0349449, 0.0170635, 0.3255385]","[0.166231, 0.2793428, 1.400056]"
2,2,99,0.03300000000001546,6.051842,3.132132,6.4686394372077425,16.755334372908123,6.850365,11.18349,False,8,"[0.0345182, 0.0178161, 0.3255842]","[0.1681449, 0.2767171, 1.39964]"
3,3,99,0.04970000000000141,5.958308,2.722316,6.3277383018510545,15.991631461521184,6.866702,11.18354,False,8,"[0.0334158, 0.0152239, 0.320171]","[0.1683645, 0.2764142, 1.398102]"
4,4,99,0.06620000000000914,5.916834,2.68919,6.277558098243031,15.930927909692407,7.101795,11.18953,False,8,"[0.0331832, 0.0150391, 0.3201872]","[0.1740013, 0.276271, 1.396609]"
5,5,99,0.08320000000000505,5.836699,2.931947,6.205987843875233,16.38741901786922,7.269757,11.26263,False,8,"[0.0327872, 0.0164273, 0.3207408]","[0.1778323, 0.2776104, 1.394036]"
6,6,99,0.099899999999991,5.74467,2.994485,6.105898648816341,16.50718132053182,7.440567,11.32013,False,8,"[0.0322741, 0.0167822, 0.3208138]","[0.1818264, 0.2787111, 1.392267]"
7,7,99,0.116800000000012,6.195297,2.854496,6.609749919272741,16.231685439140026,7.700756,11.42243,False,8,"[0.0357209, 0.0164079, 0.3290677]","[0.1879154, 0.2807816, 1.389714]"
8,8,99,0.13300000000000978,6.118549,2.906704,6.52628456470967,16.331663041363942,7.917575,11.53554,False,8,"[0.035296, 0.0167184, 0.3292643]","[0.1929676, 0.2831898, 1.387516]"
9,9,99,0.14990000000000236,6.455154,2.773191,6.900251090403939,16.071735151764003,8.042986,11.62344,False,8,"[0.0365021, 0.0156274, 0.3226199]","[0.1957725, 0.284983, 1.385451]"
10,10,99,0.16650000000001342,6.633501,2.771743,7.104128176630287,16.06362261533505,8.020424,11.8069,False,8,"[0.0374871, 0.0156057, 0.3223405]","[0.1949796, 0.2892591, 1.383773]"
11,11,99,0.183400000000006,6.970291,2.979033,7.50651006414561,16.441141406024443,8.015428,11.8767,False,8,"[0.0391483, 0.016664, 0.3202102]","[0.1946414, 0.2906977, 1.382245]"
