,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,7.36994,-4.968209,6.757417565848379,-1.2918977569055392,1.286306,0.5169814,False,13,"[0.0339547, -0.0560287, 0.6163599]","[0.0149463, 0.0060062, 0.6656392]"
1,1,99,0.01659999999998263,6.768188,-4.872102,6.296299014797934,-1.2325320705335985,1.324099,0.5134469,False,13,"[0.0324515, -0.0542183, 0.6166998]","[0.0154259, 0.0059808, 0.6673812]"
2,2,99,0.0333999999999719,6.519195,-4.913248,6.105687164147634,-1.265538523395278,1.931962,0.5769978,False,13,"[0.0243781, -0.0971041, 1.076519]","[0.022517, 0.0067226, 0.6675279]"
3,3,99,0.05009999999998627,6.763087,-4.864356,6.292373891169598,-1.2270971140013969,1.968942,0.6442547,False,13,"[0.0228663, -0.0971945, 1.076838]","[0.0229249, 0.0074986, 0.6668464]"
4,4,99,0.06680000000000064,6.882533,-4.936679,6.384029484280094,-1.2767662961679678,2.112456,0.6305429,False,13,"[0.029518, -0.0466573, 0.6672651]","[0.0246151, 0.0073443, 0.6673297]"
5,5,99,0.08329999999995152,4.994584,-7.254049,4.943450836944246,-2.953891988740958,1.929515,0.6423347,False,13,"[0.0285795, -0.0455365, 0.6673956]","[0.0225021, 0.0074884, 0.6679349]"
6,6,99,0.09979999999995925,4.964921,-7.317434,4.9208800973400795,-2.999435683967329,2.061925,0.6692348,False,13,"[0.0249262, -0.1049057, 1.088124]","[0.0239998, 0.0077866, 0.6666069]"
7,7,99,0.11660000000000537,4.325868,-8.986076,4.435332228023832,-4.196271246423642,2.108196,0.6530892,False,13,"[0.0251497, -0.1039011, 1.088371]","[0.02447, 0.0075774, 0.6647362]"
8,8,99,0.13349999999996953,4.324873,-8.992267,4.434584663448723,-4.200691132819751,2.152043,0.485586,False,13,"[0.0279611, -0.0885683, 0.8951319]","[0.024975, 0.0056328, 0.6646188]"
9,9,99,0.15009999999995216,5.885256,-8.730698,5.629097442794958,-3.9912029410979253,2.365731,0.1282017,False,13,"[0.026682, -0.0899078, 0.8954086]","[0.0275224, 0.0014906, 0.6661867]"
