,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-10.23623,6.544522,-10.797972196787255,6.13522708881234,-12.06336,7.561715,False,7,"[-0.2516254, 0.1460308, 1.568703]","[-0.2221364, 0.1379809, 1.039416]"
1,1,99,0.016799999999989268,-10.19582,6.539041,-10.759321312357448,6.128638823597439,-12.06336,7.561715,False,7,"[-0.2512461, 0.1470839, 1.568373]","[-0.2221363, 0.1379809, 1.039416]"
2,2,99,0.033299999999997,-9.835143,6.050319,-10.303985018796675,5.6427588322802915,-12.06337,7.561715,False,7,"[-0.1891254, 0.1041187, 1.048613]","[-0.2221365, 0.1379809, 1.039416]"
3,3,99,0.052900000000022374,-9.816319,6.110274,-10.301665744254693,5.700389482843893,-12.06337,7.561715,False,7,"[-0.3820685, 0.2168, 2.112694]","[-0.2221365, 0.1379809, 1.039416]"
4,4,99,0.06779999999997699,-9.599368,5.440722,-9.933531116562458,5.043413701415495,-12.06336,7.561715,False,7,"[-0.3783925, 0.2174807, 2.110459]","[-0.2221364, 0.1379809, 1.039416]"
5,5,99,0.08699999999998909,-9.567259,5.347523,-9.880526125200278,4.951905421887672,-12.06336,7.561716,False,7,"[-0.289977, 0.186624, 1.59668]","[-0.2221364, 0.1379809, 1.039416]"
6,6,99,0.10129999999998063,-9.814019,5.279332,-10.091034473033211,4.89341718473178,-12.06337,7.561715,False,7,"[-0.288501, 0.1851775, 1.59394]","[-0.2221365, 0.1379809, 1.039416]"
7,7,99,0.1179000000000201,-9.881021,5.226735,-10.139641092306857,4.844440825356813,-12.06336,7.561716,False,7,"[-0.2485297, 0.1578903, 1.376276]","[-0.2221364, 0.1379809, 1.039416]"
8,8,99,0.13459999999997763,-9.84832,5.158276,-10.092298070300437,4.776938195825222,-12.06336,7.561715,False,7,"[-0.2476369, 0.1578265, 1.376884]","[-0.2221364, 0.1379809, 1.039416]"
9,9,99,0.15140000000002374,-9.90131,5.269981,-10.169208132210638,4.887071138535582,-12.06337,7.561715,False,7,"[-0.2900306, 0.1773229, 1.672979]","[-0.2221365, 0.1379809, 1.039416]"
10,10,99,0.17090000000001737,-10.36991,6.072184,-10.802758505049061,5.680742844363463,-12.06337,7.561716,False,7,"[-0.2899153, 0.1793723, 1.675585]","[-0.2221365, 0.1379809, 1.039416]"
11,11,99,0.18479999999999563,-10.41516,6.142378,-10.862112508455137,5.750323373721678,-12.06336,7.561715,False,7,"[-0.2712259, 0.1527436, 1.603692]","[-0.2221364, 0.1379809, 1.039416]"
12,12,99,0.20120000000002847,-11.29011,6.061808,-11.648977920052694,5.699492420331992,-12.06337,7.561716,False,7,"[-0.2703046, 0.1501134, 1.60371]","[-0.2221365, 0.1379809, 1.039416]"
13,13,99,0.217899999999986,-11.37222,5.957177,-11.698463681752042,5.600460826994584,-12.06337,7.561715,False,7,"[-0.2763022, 0.1475949, 1.597289]","[-0.2221365, 0.1379809, 1.039416]"
14,14,99,0.23469999999997526,-11.17263,6.461608,-11.640932948099014,6.084044882654977,-12.06336,7.561715,False,7,"[-0.2782567, 0.1461321, 1.597463]","[-0.2221364, 0.1379809, 1.039416]"
15,15,99,0.25130000000001473,-11.10102,6.422215,-11.564992550840813,6.043548454191772,-12.06336,7.561715,False,7,"[-0.4395996, 0.228596, 2.532276]","[-0.2221365, 0.1379809, 1.039416]"
16,16,99,0.2680000000000291,-10.62123,6.414093,-11.120380231824942,6.020631974707461,-12.06336,7.561715,False,7,"[-0.4418258, 0.2334754, 2.531206]","[-0.2221363, 0.1379809, 1.039416]"
17,17,99,0.28460000000001173,-10.59856,6.300515,-11.070968351193223,5.909630001065247,-12.06336,7.561714,False,7,"[-0.2510428, 0.1459383, 1.371882]","[-0.2221364, 0.1379808, 1.039416]"
18,18,99,0.3014999999999759,-10.46225,6.514285,-10.998873139996844,6.112945041016648,-12.06336,7.561715,False,7,"[-0.252064, 0.1475804, 1.371344]","[-0.2221365, 0.1379809, 1.039416]"
19,19,99,0.31799999999998363,-10.45648,6.528022,-10.9969977486425,6.126103840781489,-12.06336,7.561716,False,7,"[-0.2832135, 0.1506503, 1.418619]","[-0.2221364, 0.1379809, 1.039416]"
20,20,99,0.3346000000000231,-10.34573,6.294596,-10.836264286451785,5.895962328778667,-12.06336,7.561715,False,7,"[-0.285228, 0.1479791, 1.418122]","[-0.2221364, 0.1379809, 1.039416]"
21,21,99,0.3562000000000012,-10.29724,6.253331,-10.781180801960724,5.8543722996613745,-12.06336,7.561716,False,7,"[-0.2264864, 0.1298734, 1.146715]","[-0.2221364, 0.1379809, 1.039416]"
22,22,99,0.3679000000000201,-10.40418,5.698247,-10.740537651896569,5.318698522231336,-12.06337,7.561715,False,7,"[-0.2247587, 0.1289378, 1.145497]","[-0.2221364, 0.1379809, 1.039416]"
23,23,99,0.386099999999999,-10.3887,5.775936,-10.7457530166331,5.39365482390377,-12.06337,7.561715,False,7,"[-0.2115686, 0.1268283, 1.128195]","[-0.2221365, 0.1379809, 1.039416]"
24,24,99,0.4024000000000001,-9.892952,5.269406,-10.161354149339331,4.886250959817048,-12.06337,7.561713,False,7,"[-0.2111691, 0.1246011, 1.128529]","[-0.2221365, 0.1379808, 1.039416]"
25,25,99,0.4187999999999761,-9.799102,5.19345,-10.055724021334017,4.809552742804745,-12.06337,7.561715,False,7,"[-0.2202292, 0.1361849, 1.192635]","[-0.2221365, 0.1379809, 1.039416]"
26,26,99,0.4350000000000023,-10.6612,6.309539,-11.131013977857078,5.920355113400868,-12.06337,7.561713,False,7,"[-0.2200884, 0.1364642, 1.192546]","[-0.2221365, 0.1379809, 1.039416]"
27,27,99,0.4522999999999797,-10.65217,6.241969,-11.10572895171926,5.854457258989509,-12.06337,7.561714,False,7,"[-0.1951884, 0.1179388, 1.069201]","[-0.2221365, 0.1379809, 1.039416]"
28,28,99,0.4689999999999941,-10.78258,5.280808,-10.98483772503882,4.925190758915457,-12.06336,7.561715,False,7,"[-0.1943365, 0.1172095, 1.069658]","[-0.2221364, 0.1379809, 1.039416]"
29,29,99,0.4866000000000099,-10.67013,5.367881,-10.902959479858882,5.006221956255125,-12.06336,7.561715,False,7,"[-0.3607774, 0.1960637, 1.964914]","[-0.2221364, 0.1379809, 1.039416]"
30,30,99,0.5020999999999844,-10.56494,4.994197,-10.71215957054387,4.6400547142575075,-12.06337,7.561715,False,7,"[-0.3601077, 0.1986883, 1.964255]","[-0.2221364, 0.1379809, 1.039416]"
31,31,99,0.5197999999999752,-10.66317,4.962321,-10.79477149094349,4.612178052099856,-12.06337,7.561715,False,7,"[-0.2420844, 0.1280216, 1.388089]","[-0.2221365, 0.1379809, 1.039416]"
32,32,99,0.5378999999999792,-10.73811,5.361662,-10.964105948462063,5.0023123723166325,-12.06336,7.561715,False,7,"[-0.240202, 0.126408, 1.390751]","[-0.2221364, 0.1379809, 1.039416]"
33,33,99,0.5522000000000276,-10.75327,5.420329,-10.992811445683149,5.0597568412712,-12.06336,7.561715,False,7,"[-0.2113243, 0.1241219, 1.122568]","[-0.2221364, 0.1379809, 1.039416]"
34,34,99,0.5692999999999984,-10.6317,5.612821,-10.92897357632393,5.242871252394526,-12.06337,7.561715,False,7,"[-0.2111239, 0.122772, 1.122477]","[-0.2221365, 0.1379809, 1.039416]"
35,35,99,0.5860000000000127,-10.62002,5.481131,-10.885154362528585,5.114625578486116,-12.06336,7.561715,False,7,"[-0.2201728, 0.1068572, 1.156096]","[-0.2221364, 0.1379809, 1.039416]"
36,36,99,0.6023999999999887,-10.32362,5.85369,-10.705232002432647,5.4671205194869295,-12.06337,7.561717,False,7,"[-0.2179127, 0.1086744, 1.156575]","[-0.2221365, 0.1379809, 1.039416]"
37,37,99,0.6195999999999913,-10.29747,5.837007,-10.676924079517429,5.4501010592130985,-12.06337,7.561715,False,7,"[-0.2704891, 0.1267327, 1.450253]","[-0.2221365, 0.1379809, 1.039416]"
38,38,99,0.6351999999999975,-10.2886,5.397416,-10.558434786970867,5.022950947311666,-12.06336,7.561713,False,7,"[-0.2728774, 0.1258343, 1.449269]","[-0.2221364, 0.1379809, 1.039416]"
39,39,99,0.6514999999999986,-10.21511,5.424539,-10.497451187033658,5.046987111828977,-12.06336,7.561715,False,7,"[-0.2316503, 0.114643, 1.22152]","[-0.2221364, 0.1379809, 1.039416]"
40,40,99,0.6693000000000211,-10.15044,5.916193,-10.561168994160155,5.52239022982814,-12.06336,7.561715,False,7,"[-0.2319112, 0.115868, 1.221131]","[-0.2221364, 0.1379809, 1.039416]"
41,41,99,0.6865000000000236,-10.19764,5.824078,-10.58159327184079,5.434418949908803,-12.06337,7.561714,False,7,"[-0.2624282, 0.1373904, 1.397995]","[-0.2221365, 0.1379808, 1.039416]"
42,42,99,0.7022000000000048,-10.29019,6.075367,-10.730020841430417,5.681336512486008,-12.06336,7.561716,False,7,"[-0.2620959, 0.1341278, 1.397795]","[-0.2221364, 0.1379809, 1.039416]"
43,43,99,0.7185000000000059,-10.48838,5.960266,-10.883955400759934,5.575774067700699,-12.06336,7.561715,False,7,"[-0.2329223, 0.1310956, 1.278693]","[-0.2221364, 0.1379809, 1.039416]"
44,44,99,0.7352000000000203,-10.99861,6.890242,-11.587968964006931,6.4948259655242655,-12.06336,7.561715,False,7,"[-0.2323347, 0.1307279, 1.278776]","[-0.2221364, 0.1379809, 1.039416]"
45,45,99,0.7520999999999844,-10.91709,7.187465,-11.587354872666689,6.780895752060935,-12.06337,7.561715,False,7,"[-0.2709503, 0.1410273, 1.492631]","[-0.2221365, 0.1379809, 1.039416]"
46,46,99,0.7692000000000121,-11.49886,5.547567,-11.7124965025179,5.206669136642232,-12.06336,7.561715,False,7,"[-0.2689801, 0.1417439, 1.492671]","[-0.2221365, 0.1379809, 1.039416]"
47,47,99,0.7850999999999999,-11.28635,5.422375,-11.485055572002619,5.078442433519992,-12.06336,7.561715,False,7,"[-0.2331456, 0.1349444, 1.30223]","[-0.2221364, 0.1379809, 1.039416]"
48,48,99,0.8020999999999958,-11.17332,5.715848,-11.454434614954437,5.359883665075965,-12.06336,7.561716,False,7,"[-0.2342541, 0.1328294, 1.302238]","[-0.2221364, 0.1379809, 1.039416]"
49,49,99,0.8208000000000197,-11.17178,5.660344,-11.439086355593819,5.30593732863638,-12.06336,7.561715,False,7,"[-0.2100876, 0.1231619, 1.157164]","[-0.2221364, 0.1379809, 1.039416]"
50,50,99,0.8353999999999928,-11.00865,5.033255,-11.13125332023677,4.691881908599515,-12.06337,7.561714,False,7,"[-0.2141686, 0.1207798, 1.15686]","[-0.2221365, 0.1379809, 1.039416]"
51,51,99,0.8523999999999887,-11.1294,4.944086,-11.220261808633241,4.6090753535017495,-12.06337,7.561715,False,7,"[-0.1565349, 0.0973257, 0.8054063]","[-0.2221365, 0.1379809, 1.039416]"
52,52,99,0.8684000000000083,-11.09481,4.834703,-11.16090718200147,4.501773610089274,-12.06336,7.561716,False,7,"[-0.1553304, 0.1015573, 0.805326]","[-0.2221364, 0.1379809, 1.039416]"
53,53,99,0.8847000000000094,-11.1229,4.819295,-11.182951976786505,4.487691334024326,-12.06336,7.561713,False,7,"[-0.2727501, 0.1302227, 1.340747]","[-0.2221365, 0.1379809, 1.039416]"
54,54,99,0.9023000000000252,-11.00599,4.569956,-11.012543249863624,4.241904272181474,-12.06336,7.561716,False,7,"[-0.2678121, 0.1273787, 1.341933]","[-0.2221363, 0.1379809, 1.039416]"
55,55,99,0.9191999999999894,-11.00448,4.469578,-10.985962355147084,4.1443832205942845,-12.06337,7.561714,False,7,"[-0.2870995, 0.1454857, 1.45351]","[-0.2221365, 0.1379809, 1.039416]"
56,56,99,0.9354999999999905,-11.51541,5.698686,-11.765683317943466,5.353934222128041,-12.06336,7.561715,False,7,"[-0.2871436, 0.1441061, 1.453939]","[-0.2221364, 0.1379809, 1.039416]"
