,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-15.27326,13.92158,-15.573591570298476,14.382196740292889,-14.41455,12.94427,False,6,"[-0.2409491, 0.2244091, 0.8960242]","[-0.2222, 0.1987, 0.8645]"
1,1,99,0.01650000000000773,-15.43449,13.65342,-15.72001476619292,14.111841852031052,-14.41456,12.94426,False,6,"[-0.2415475, 0.2264857, 0.8944805]","[-0.2222, 0.1987, 0.8645]"
2,2,99,0.03319999999999368,-15.4867,13.58547,-15.768172595418775,14.043508177674138,-14.41455,12.94427,False,6,"[-0.2388147, 0.2114367, 0.8610991]","[-0.2222, 0.1987, 0.8645]"
3,3,99,0.04980000000000473,-15.45059,13.60872,-15.733931493927725,14.066612292625768,-14.41456,12.94426,False,6,"[-0.2371085, 0.212529, 0.8607228]","[-0.2222, 0.1987, 0.8645]"
4,4,99,0.06669999999999732,-15.6233,13.34535,-15.891719514831928,13.801304748536573,-14.41455,12.94427,False,6,"[-0.2299904, 0.2084353, 0.8403444]","[-0.2221999, 0.1987, 0.8645001]"
5,5,99,0.08320000000000505,-15.58851,13.49475,-15.863723739585742,13.952763623815175,-14.41455,12.94427,False,6,"[-0.2292635, 0.2102018, 0.8403187]","[-0.2222, 0.1987, 0.8645001]"
6,6,99,0.09999999999999432,-15.25107,13.29581,-15.527382934749589,13.745252360858833,-14.41456,12.94426,False,6,"[-0.2458074, 0.2231296, 0.9001712]","[-0.2222, 0.1987, 0.8645]"
7,7,99,0.11670000000000869,-15.19498,13.19775,-15.468920165171212,13.64464207764417,-14.41455,12.94426,False,6,"[-0.2484311, 0.2185745, 0.899807]","[-0.2222, 0.1987, 0.8645]"
8,8,99,0.13320000000001642,-15.00781,13.14274,-15.284535729517536,13.585836151006673,-14.41456,12.94426,False,6,"[-0.236275, 0.2060726, 0.8527485]","[-0.2222, 0.1987, 0.8645]"
9,9,99,0.14990000000000236,-15.00158,13.21333,-15.28124604661244,13.657554014519569,-14.41455,12.94426,False,6,"[-0.2355864, 0.2063427, 0.852351]","[-0.2222, 0.1987, 0.8645]"
10,10,99,0.1664000000000101,-15.37715,13.44899,-15.656152570431306,13.903000428604445,-14.41455,12.94427,False,6,"[-0.2271238, 0.1926727, 0.8121907]","[-0.2221999, 0.1987, 0.8645]"
11,11,99,0.18319999999999936,-15.45867,13.50906,-15.737879230811123,13.965349087777817,-14.41455,12.94427,False,6,"[-0.2264577, 0.1947953, 0.8117085]","[-0.2221999, 0.1987, 0.8645]"
12,12,99,0.19990000000001373,-15.55759,13.56599,-15.836422390094556,14.024767685676881,-14.41456,12.94427,False,6,"[-0.2186022, 0.1894672, 0.8017647]","[-0.2222, 0.1987, 0.8645]"
13,13,99,0.21649999999999636,-15.57835,13.54296,-15.855727978451057,14.001654203397429,-14.41456,12.94427,False,6,"[-0.2178165, 0.1880684, 0.8019756]","[-0.2222, 0.1987, 0.8645]"
14,14,99,0.2331000000000074,-15.70913,13.54951,-15.983307851146384,14.010304279272695,-14.41455,12.94427,False,6,"[-0.2361054, 0.2056327, 0.8806773]","[-0.2221999, 0.1987, 0.8645]"
15,15,99,0.24979999999999336,-15.8933,13.53972,-16.162223663499557,14.003142405354252,-14.41456,12.94426,False,6,"[-0.2359227, 0.206707, 0.8803785]","[-0.2222, 0.1987, 0.8645]"
16,16,99,0.26670000000001437,-15.82652,13.95701,-16.11361711808636,14.426644740001258,-14.41456,12.94427,False,6,"[-0.2380792, 0.2070187, 0.8656893]","[-0.2222, 0.1987, 0.8645]"
17,17,99,0.2831999999999937,-15.80258,14.09781,-16.095846328729852,14.569519496733879,-14.41455,12.94427,False,6,"[-0.2392168, 0.2078152, 0.8650104]","[-0.2222, 0.1987, 0.8645]"
18,18,99,0.30000000000001137,-15.88618,14.17303,-16.18019369519249,14.647312125430414,-14.41456,12.94427,False,6,"[-0.2356449, 0.2042348, 0.8464034]","[-0.2222, 0.1987, 0.8645]"
19,19,99,0.316599999999994,-15.72874,14.36567,-16.034490845119297,14.840896705436384,-14.41456,12.94427,False,6,"[-0.2358731, 0.2037865, 0.8460367]","[-0.2222, 0.1987, 0.8645001]"
20,20,99,0.3382000000000005,-15.79103,14.11617,-16.085323613822993,14.588022008783039,-14.41455,12.94427,False,6,"[-0.2444177, 0.2094257, 0.8690119]","[-0.2222, 0.1987, 0.8645]"
21,21,99,0.35009999999999764,-15.76017,14.18247,-16.057886436905296,14.655001429487536,-14.41456,12.94427,False,6,"[-0.2467053, 0.2086517, 0.8664501]","[-0.2222, 0.1987, 0.8645001]"
22,22,99,0.36660000000000537,-15.67747,14.00401,-15.970355872504221,14.472194527004774,-14.41455,12.94427,False,6,"[-0.2422134, 0.2123586, 0.8544544]","[-0.2221999, 0.1987001, 0.8645]"
23,23,99,0.3831000000000131,-15.75099,13.96044,-16.040218912747473,14.42898678775772,-14.41456,12.94427,False,6,"[-0.2416888, 0.214466, 0.8539634]","[-0.2222, 0.1987, 0.8645]"
24,24,99,0.4000000000000057,-15.88793,13.73687,-16.16474758993796,14.203625141988002,-14.41456,12.94427,False,6,"[-0.2460866, 0.2183659, 0.8646851]","[-0.2222001, 0.1987, 0.8645]"
25,25,99,0.42019999999999413,-15.83192,13.72538,-16.109766642822507,14.191085322725026,-14.41455,12.94427,False,6,"[-0.2436166, 0.221549, 0.8650279]","[-0.2221999, 0.1987, 0.8645001]"
26,26,99,0.43319999999999936,-15.88911,13.35468,-16.15086865845585,13.81483417065282,-14.41455,12.94427,False,6,"[-0.2469113, 0.2195664, 0.8730875]","[-0.2222, 0.1987, 0.8645001]"
27,27,99,0.4498000000000104,-15.8567,13.25572,-16.115424428694023,13.713668016889603,-14.41455,12.94426,False,6,"[-0.2463232, 0.220569, 0.8728031]","[-0.2222, 0.1987, 0.8645]"
28,28,99,0.4668000000000063,-15.87882,12.92056,-16.12378108995939,13.373039620503775,-14.41455,12.94426,False,6,"[-0.2506546, 0.2227362, 0.8930802]","[-0.2221999, 0.1987, 0.8645]"
29,29,99,0.48330000000001405,-15.95321,13.29618,-16.21097370423854,13.756294772123157,-14.41456,12.94427,False,6,"[-0.2518237, 0.2219555, 0.8928407]","[-0.2222, 0.1987, 0.8645]"
30,30,99,0.5001000000000033,-16.01738,13.27755,-16.272714590082984,13.73831691915942,-14.41456,12.94427,False,6,"[-0.2587988, 0.2222706, 0.9092471]","[-0.2222, 0.1987, 0.8645]"
31,31,99,0.516600000000011,-16.00688,13.20992,-16.259832982439633,13.669356177393764,-14.41456,12.94426,False,6,"[-0.2578657, 0.2221009, 0.909344]","[-0.2222001, 0.1987, 0.8645001]"
32,32,99,0.5330999999999904,-16.12716,13.24334,-16.3782469931368,13.705182094634763,-14.41455,12.94427,False,6,"[-0.2697133, 0.2249391, 0.9475192]","[-0.2222, 0.1987, 0.8645001]"
33,33,99,0.5498000000000047,-16.11832,13.56506,-16.382290762249887,14.03233946512856,-14.41455,12.94427,False,6,"[-0.2692126, 0.2232763, 0.9477963]","[-0.2221999, 0.1987, 0.8645001]"
34,34,99,0.566599999999994,-15.9817,13.00963,-16.22744329808975,13.465214985053258,-14.41455,12.94426,False,6,"[-0.2714759, 0.2189386, 0.9543627]","[-0.2222, 0.1987, 0.8645001]"
35,35,99,0.5833000000000084,-16.11707,12.88287,-16.354250059268637,13.338316078369337,-14.41456,12.94427,False,6,"[-0.2724183, 0.2252059, 0.9529719]","[-0.2222, 0.1987, 0.8645]"
36,36,99,0.599899999999991,-15.92411,12.77233,-16.162045261678774,13.222930510113452,-14.41456,12.94427,False,6,"[-0.2639425, 0.2169623, 0.9194241]","[-0.2222001, 0.1987, 0.8645]"
37,37,99,0.6166000000000054,-15.91483,12.95407,-16.160156641926818,13.407676975460614,-14.41455,12.94426,False,6,"[-0.2637346, 0.2157961, 0.9193352]","[-0.2222, 0.1987, 0.8645]"
38,38,99,0.6332000000000164,-15.90235,13.1365,-16.155179757357935,13.593076780197865,-14.41456,12.94426,False,6,"[-0.2532957, 0.2061642, 0.8760048]","[-0.2222, 0.1987, 0.8645]"
39,39,99,0.649799999999999,-15.7762,13.07403,-16.029908695014978,13.527608595725454,-14.41455,12.94427,False,6,"[-0.2528892, 0.2111453, 0.8751049]","[-0.2221999, 0.1987, 0.8645]"
40,40,99,0.6665999999999883,-15.68281,12.72244,-15.92516328005105,13.168510980371028,-14.41455,12.94426,False,6,"[-0.2580095, 0.2081422, 0.9008721]","[-0.2222, 0.1987, 0.8645001]"
41,41,99,0.683400000000006,-15.6326,12.73161,-15.876641340000171,13.177077064117203,-14.41455,12.94426,False,6,"[-0.2601892, 0.205945, 0.9004399]","[-0.2222, 0.1987, 0.8645001]"
42,42,99,0.6999999999999886,-15.33477,13.05327,-15.599333315144374,13.499783432903056,-14.41456,12.94426,False,6,"[-0.2499962, 0.198627, 0.8762186]","[-0.2222001, 0.1987, 0.8645]"
43,43,99,0.7164999999999964,-15.35138,13.10239,-15.617435567066766,13.550006427418865,-14.41455,12.94427,False,6,"[-0.2496425, 0.2013898, 0.8755164]","[-0.2221999, 0.1987, 0.8645]"
