,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-4.386671,-1.834044,-3.2996967728983626,-2.1841588816304376,-2.662993,-2.372773,False,6,"[-0.1552883, -0.0458711, 2.075306]","[-0.291836, -0.2599924, 6.274493]"
1,1,99,0.016899999999964166,-4.16954,-2.215546,-3.003676978576613,-2.561424488542023,-2.734338,-2.393917,False,6,"[-0.1879337, -0.083172, 2.573338]","[-0.2996411, -0.2622898, 6.273965]"
2,2,99,0.03339999999991505,-4.14763,-2.178075,-2.992869127040777,-2.5257239748601634,-2.752887,-2.433041,False,6,"[-0.188246, -0.0837339, 2.573301]","[-0.3016715, -0.2665766, 6.273851]"
3,3,99,0.05019999999990432,-4.010601,-2.359812,-2.820865449091139,-2.706495203771374,-2.720126,-2.400699,True,6,"[-0.1580704, -0.0715507, 2.111584]","[-0.2980931, -0.263044, 6.274211]"
4,4,99,0.0667999999999438,-4.028873,-2.362216,-2.8371169097778246,-2.708257276133728,-2.699903,-2.397755,True,6,"[-0.1581045, -0.0734708, 2.111441]","[-0.2958913, -0.2627367, 6.274584]"
5,5,99,0.08349999999995816,-4.322967,-2.274087,-3.130513354072802,-2.6134655968186076,-2.681105,-2.394493,False,6,"[-0.1364142, -0.0578933, 1.78282]","[-0.2938251, -0.2623763, 6.274522]"
6,6,99,0.10009999999999764,-4.348079,-2.239004,-3.1624809342398867,-2.5786110215281632,-2.736149,-2.465117,False,6,"[-0.1367604, -0.0570865, 1.782782]","[-0.2998464, -0.2701061, 6.2741]"
7,7,99,0.11659999999994852,-4.020571,-2.015011,-2.916583603965192,-2.3713580632295383,-2.66255,-2.491664,True,6,"[-0.1564612, -0.0830326, 2.146217]","[-0.2917855, -0.2730339, 6.27445]"
8,8,99,0.1334999999999127,-4.039768,-2.043949,-2.9270300941306306,-2.398857448298465,-2.715216,-2.557967,True,6,"[-0.1556443, -0.0816311, 2.146329]","[-0.2975447, -0.2802891, 6.27401]"
9,9,99,0.15009999999995216,-3.916244,-1.822116,-2.868752376707105,-2.187312173291213,-2.683239,-2.552554,False,6,"[-0.1895436, -0.111407, 2.703412]","[-0.2940443, -0.2797036, 6.274199]"
