,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,0.5742972,1.605827,0.3844560533944045,1.9329027575834925,0.03031343,11.9079,False,0,"[0.0059957, 0.0167687, 0.5981507]","[0.0005, 0.1993, 0.9450999]"
1,1,99,0.018000000000029104,0.7686015,0.8145719,0.5782046104332561,1.0608233482015506,0.0303062,11.9079,False,0,"[0.0075153, 0.0079649, 0.560199]","[0.0004999, 0.1993, 0.9451003]"
2,2,99,0.03399999999987813,0.7474729,0.7961197,0.5586381875488341,1.0404466265920767,0.03030981,11.9079,False,0,"[0.0073089, 0.0077846, 0.5602125]","[0.0005, 0.1993, 0.9451002]"
3,3,99,0.052999999999883585,0.7341893,1.61907,0.5343427910724681,1.9477508077184906,0.03031163,11.9079,False,0,"[0.0069663, 0.0153657, 0.5436164]","[0.0005, 0.1993, 0.9450999]"
4,4,99,0.06799999999998363,0.7166455,1.644691,0.5175077059656248,1.9759715126109385,0.03030258,11.9079,False,0,"[0.0067995, 0.0156081, 0.5435882]","[0.0004998, 0.1993, 0.9451003]"
5,5,99,0.08600000000001273,0.7337433,0.1619545,0.554865432089274,0.3412412910734066,0.030308,11.9079,False,0,"[0.0067764, 0.0014956, 0.5291189]","[0.0004999, 0.1993, 0.9451003]"
6,6,99,0.10199999999986176,0.699329,0.1499199,0.5227366249869854,0.32791959758537004,0.03031343,11.9079,False,0,"[0.0064574, 0.0013842, 0.5290253]","[0.0005, 0.1993, 0.9451001]"
7,7,99,0.11799999999993815,0.8468538,0.8157012,0.6516371331499083,1.0621894562690213,0.03031704,11.9079,False,0,"[0.0085891, 0.0082731, 0.5810757]","[0.0005001, 0.1993, 0.9451002]"
8,8,99,0.13799999999991996,0.8633618,0.7953671,0.6674240193625264,1.0397960981255263,0.03031704,11.9079,False,0,"[0.008755, 0.0080654, 0.580971]","[0.0005001, 0.1993, 0.9451001]"
9,9,99,0.15200000000004366,0.7403603,0.6342551,0.5542884707186189,0.8619755737624966,0.03030981,11.9079,False,0,"[0.0071154, 0.0060955, 0.5506207]","[0.0005, 0.1993, 0.9451002]"
10,10,99,0.16799999999989268,0.7643275,0.6457195,0.576619671798277,0.8746524490630654,0.03031523,11.9079,False,0,"[0.0073462, 0.0062061, 0.5506567]","[0.0005001, 0.1993, 0.9451004]"
11,11,99,0.18599999999992178,0.7182288,0.2997456,0.5383229998066227,0.49313567106178496,0.030308,11.9079,False,0,"[0.0065937, 0.0027517, 0.5259791]","[0.0004999, 0.1993, 0.9451004]"
12,12,99,0.20100000000002183,0.7454282,0.3223797,0.5635274632001706,0.5181324383843185,0.0303062,11.9079,False,0,"[0.0068427, 0.0029592, 0.5259204]","[0.0004999, 0.1993, 0.9451001]"
13,13,99,0.21900000000005093,0.9316507,3.765106,0.6888407086361764,4.314118312088884,0.03030981,11.9079,False,0,"[0.0082258, 0.0332883, 0.5058374]","[0.0005, 0.1993, 0.9451001]"
