,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-11.97362,11.2857,-11.484875068394224,11.518276738999498,-14.41455,12.94427,False,8,"[-0.2238058, 0.2592046, 1.0918]","[-0.2222, 0.1987, 0.8645001]"
1,1,99,0.017600000000015825,-11.97934,11.26819,-11.49029037340945,11.501049475719986,-14.41456,12.94427,False,8,"[-0.2205338, 0.2620798, 1.092069]","[-0.2222, 0.1987, 0.8645]"
2,2,99,0.034300000000030195,-12.05635,11.54761,-11.567049116908013,11.78341535256916,-14.41455,12.94427,False,8,"[-0.2249918, 0.2346487, 1.09156]","[-0.2222, 0.1987, 0.8645]"
3,3,99,0.05090000000006967,-12.06841,11.53639,-11.578658797744826,11.772748538391493,-14.41455,12.94427,False,8,"[-0.2299023, 0.2273276, 1.089267]","[-0.2222, 0.1987, 0.8645]"
4,4,99,0.06740000000002055,-12.31763,12.06393,-11.824249624812651,12.310451385360302,-14.41455,12.94427,False,8,"[-0.2314462, 0.2145045, 1.078227]","[-0.2222, 0.1987, 0.8645]"
5,5,99,0.0847999999999729,-12.2964,12.05663,-11.803610137041055,12.302222771465624,-14.41455,12.94427,False,8,"[-0.2274761, 0.2164395, 1.079182]","[-0.2222, 0.1987001, 0.8645]"
6,6,99,0.10099999999999909,-12.77329,12.61764,-12.270203324246907,12.883428924184907,-14.41455,12.94426,False,8,"[-0.2025557, 0.1906982, 0.9784493]","[-0.2222, 0.1987, 0.8645001]"
7,7,99,0.11790000000007694,-12.89605,12.76453,-12.390331249471078,13.035513637755065,-14.41455,12.94427,False,8,"[-0.2012288, 0.1912897, 0.9786777]","[-0.2221999, 0.1987, 0.8645]"
8,8,99,0.13409999999998945,-13.07325,13.28179,-12.56601358507642,13.55976208434882,-14.41455,12.94426,False,8,"[-0.2223682, 0.2092455, 1.048533]","[-0.2222, 0.1987, 0.8645001]"
9,9,99,0.1510000000000673,-13.10608,13.28489,-12.59786920684503,13.56431177069506,-14.41455,12.94426,False,8,"[-0.2225344, 0.2089657, 1.048801]","[-0.2221999, 0.1987, 0.8645]"
10,10,99,0.16809999999998126,-13.5752,13.97018,-13.057857505987961,14.269245958539694,-14.41456,12.94427,False,8,"[-0.2425109, 0.2319889, 1.135432]","[-0.2222, 0.1987, 0.8645]"
