,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-2.954624,3.477731,-3.36837452610863,2.9726596750215295,-5.204699,1.929105,True,12,"[-0.045239, 0.0961924, 0.772401]","[-0.0742855, 0.0274683, 0.8155193]"
1,1,99,0.01700000000005275,-2.875607,4.029134,-3.313594999570849,3.47095210785091,-5.273141,1.725374,True,12,"[-0.2400897, 0.2808359, 1.92054]","[-0.0752744, 0.0245677, 0.8155902]"
2,2,99,0.0340000000001055,-2.878822,4.349084,-3.330752562969551,3.765818584881063,-5.262244,1.565939,True,12,"[-0.2347747, 0.2822012, 1.9166]","[-0.0751894, 0.0223175, 0.8163661]"
3,3,99,0.0500000000001819,-3.192508,5.809851,-3.7073564976249966,5.147006422694602,-5.214059,1.513173,False,12,"[-0.0672191, 0.0582414, 1.003414]","[-0.0744832, 0.0215611, 0.8162131]"
4,4,99,0.06700000000000728,-3.23266,5.815296,-3.7476467590258737,5.156710367166707,-5.182659,1.757905,False,12,"[-0.0677502, 0.0593802, 1.004194]","[-0.0738785, 0.0249983, 0.8145195]"
5,5,99,0.08400000000006003,-3.634465,1.560338,-3.9629342866536934,1.2872856313837309,-5.288134,1.862405,False,12,"[-0.0527052, 0.0518759, 0.771779]","[-0.0753073, 0.0264561, 0.8136199]"
6,6,99,0.10000000000013642,-3.614076,1.255826,-3.9293182628371555,1.0046217367535495,-5.359095,1.800434,False,12,"[-0.052857, 0.0520353, 0.7720024]","[-0.0767114, 0.0257051, 0.8177523]"
7,7,99,0.11700000000018917,-3.363334,0.9360076,-3.66525068599673,0.6809500486347636,-5.193363,1.839939,False,12,"[-0.0510918, 0.0509957, 0.7275605]","[-0.0741979, 0.0262243, 0.8163455]"
8,8,99,0.1330000000000382,-3.214343,0.8908997,-3.51466080691432,0.6220202091602086,-5.137921,2.038426,False,12,"[-0.0504603, 0.0500469, 0.7278029]","[-0.0733284, 0.0290267, 0.8155324]"
9,9,99,0.1510000000000673,-2.44016,0.4202387,-2.7218677674082903,0.09833882711355602,-5.000841,2.062613,False,12,"[-0.0335078, 0.0315028, 0.6114514]","[-0.0713482, 0.0293657, 0.8153755]"
10,10,99,0.1670000000001437,-2.531514,0.4371143,-2.813731988031317,0.12454734461486483,-4.978878,2.055373,False,12,"[-0.0337509, 0.0302732, 0.6124963]","[-0.0714978, 0.0294539, 0.8207086]"
11,11,99,0.18299999999999272,-2.755478,1.172527,-3.0692084891620213,0.8276141279972996,-5.231945,2.596311,False,12,"[-0.0349609, 0.0288442, 0.6120625]","[-0.0748098, 0.0370459, 0.8169744]"
12,12,99,0.20000000000004547,-2.95089,1.235022,-3.2668628498789363,0.9079723525894897,-5.256227,3.390943,False,12,"[-0.0304526, 0.0358565, 0.5900111]","[-0.0748732, 0.0482236, 0.8138681]"
13,13,99,0.21700000000009823,-2.58005,0.8645232,-2.8807840720696394,0.5236182179221854,-5.454379,4.114351,False,12,"[-0.030041, 0.0421258, 0.5980561]","[-0.0774192, 0.0583227, 0.8107957]"
14,14,99,0.23300000000017462,-2.725987,0.8340627,-3.0250325493061183,0.5126359319023165,-5.33616,4.61979,False,12,"[-0.0300698, 0.0454761, 0.5979607]","[-0.0756502, 0.0654467, 0.8099267]"
15,15,99,0.25,-2.521921,1.091649,-2.8327017865128563,0.7258780091052689,-4.901889,4.621478,False,12,"[-0.0400136, 0.0729934, 0.7173795]","[-0.0693181, 0.065335, 0.8082473]"
16,16,99,0.26700000000005275,-2.684978,0.9905648,-2.990948643261423,0.6518923961545621,-4.598391,4.466261,False,12,"[-0.0405182, 0.0730626, 0.7173831]","[-0.0651101, 0.0632315, 0.8095266]"
17,17,99,0.28300000000012915,-2.281308,0.9776769,-2.587713534738663,0.5928565979216583,-3.922318,4.454531,False,12,"[-0.0393782, 0.0168872, 0.6199474]","[-0.0555522, 0.0631186, 0.8102173]"
18,18,99,0.3000000000001819,-2.296504,0.9506688,-2.601694398628468,0.5697734259457451,-3.541112,4.664534,False,12,"[-0.0391559, 0.0135901, 0.6199353]","[-0.0501675, 0.0661452, 0.8106847]"
