,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-3.141545,2.0301,-2.8554002513284487,1.1219278578004654,-2.581131,0.8260654,False,6,"[-0.0625531, -0.0160599, 1.132018]","[-0.0568615, 0.0181869, 1.261353]"
1,1,99,0.016999999999995907,-3.21394,2.040665,-2.9120072469037304,1.1326336478658927,-2.509128,0.8125301,False,6,"[-0.0626625, -0.0147526, 1.132065]","[-0.0551668, 0.0178544, 1.258924]"
2,2,99,0.03350000000000364,-2.799354,-0.6393917,-1.8591579121491124,-1.3891574702294673,-2.407275,0.9228519,False,6,"[-0.0529959, -0.0174755, 0.9707302]","[-0.0528344, 0.0202444, 1.256776]"
3,3,99,0.050199999999989586,-2.89238,-0.7357023,-1.9013297587646023,-1.4786143303064192,-2.372348,0.9301773,False,6,"[-0.0508805, -0.0178286, 0.9709758]","[-0.0519697, 0.020367, 1.254429]"
4,4,99,0.06680000000000064,-3.120251,0.9772488,-2.5467446759496117,0.13278070405983988,-2.48754,0.9657469,False,6,"[-0.0548664, -0.02403, 1.135624]","[-0.0543929, 0.0211059, 1.25205]"
5,5,99,0.08389999999999986,-3.176048,0.9404116,-2.5778613874111223,0.09878341376695887,-2.606732,1.001457,False,6,"[-0.0541726, -0.0235119, 1.135535]","[-0.0569021, 0.0218478, 1.24984]"
6,6,99,0.1004000000000076,-3.046077,0.7131993,-2.418307513902871,-0.11603601919879392,-2.631503,0.9951301,False,6,"[-0.0483153, 0.0312036, 0.8802958]","[-0.0573345, 0.0216686, 1.247467]"
7,7,99,0.11690000000001532,-3.087673,0.6937987,-2.443746993206971,-0.13380900851859812,-2.627261,0.9865714,False,6,"[-0.0494208, 0.0313597, 0.8801138]","[-0.0571496, 0.0214475, 1.245454]"
8,8,99,0.13349999999999795,-2.697913,1.274883,-2.316447798441981,0.4077770722495342,-2.648754,0.9776945,False,6,"[-0.0524668, -0.0119747, 1.07301]","[-0.0575265, 0.0212208, 1.243482]"
9,9,99,0.15039999999999054,-2.712026,1.372545,-2.354076575404142,0.49966108251899954,-2.545172,0.9916643,False,6,"[-0.054199, -0.0137751, 1.072728]","[-0.0551932, 0.0214927, 1.241667]"
10,10,99,0.16730000000001155,-3.039623,1.905544,-2.745195501299449,1.0038340587824908,-2.485661,1.062185,False,6,"[-0.0564835, 0.0176746, 1.036156]","[-0.053808, 0.0229817, 1.239523]"
11,11,99,0.1839999999999975,-3.058337,1.930051,-2.765885708150223,1.0270551121162492,-2.365311,1.060662,False,6,"[-0.0574854, 0.0170052, 1.035972]","[-0.051126, 0.0229157, 1.23774]"
12,12,99,0.2002999999999986,-3.074038,2.14593,-2.8375759288724343,1.2299945814030977,-2.277088,1.105397,False,6,"[-0.0581046, 0.0135923, 1.0919]","[-0.0491448, 0.0238474, 1.235923]"
