,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,3.306217,7.702371,1.554107497426699,6.666674208290056,-14.78439,15.78205,False,6,"[-0.0074712, 0.1730356, 1.106106]","[-0.2213316, 0.2370251, 0.8386316]"
1,1,99,0.01700000000005275,0.3079866,8.674826,-0.8533607183310534,7.173437355275844,-14.78439,15.78206,False,6,"[0.043416, 0.1010636, 0.7844111]","[-0.2213316, 0.2370251, 0.8386315]"
2,2,99,0.0340000000001055,0.2060962,8.642416,-0.9380706796567548,7.14476127088989,-14.78439,15.78205,False,6,"[0.0427386, 0.1002027, 0.7843922]","[-0.2213316, 0.2370251, 0.8386316]"
3,3,99,0.05300000000011096,5.009826,7.384323,2.9324167348118815,6.54316042357127,-14.78439,15.78206,False,6,"[0.0405248, 0.0947062, 0.7060241]","[-0.2213316, 0.2370251, 0.8386315]"
4,4,99,0.06700000000000728,4.97315,7.370981,2.9018507897421664,6.531663236882868,-14.78439,15.78206,False,6,"[0.0407424, 0.093405, 0.7030799]","[-0.2213316, 0.2370251, 0.8386315]"
5,5,99,0.08400000000006003,-9.789617,12.46634,-8.938517333305919,9.242252049413322,-14.78439,15.78205,False,6,"[0.0401115, 0.0925316, 0.6808327]","[-0.2213316, 0.2370251, 0.8386316]"
6,6,99,0.10000000000013642,-9.836848,12.49093,-8.976031948233981,9.256735710307455,-14.78439,15.78205,False,6,"[0.0393106, 0.0920338, 0.6804845]","[-0.2213316, 0.2370251, 0.8386316]"
7,7,99,0.11700000000018917,-9.673656,12.26374,-8.852703786571459,9.106964761872177,-14.78439,15.78205,False,6,"[0.0060208, 0.1708886, 1.120053]","[-0.2213316, 0.2370251, 0.8386316]"
8,8,99,0.13400000000001455,-9.72359,12.24096,-8.894523169659,9.08807549532996,-14.78439,15.78205,False,6,"[0.00403, 0.1702844, 1.120343]","[-0.2213316, 0.2370251, 0.8386316]"
9,9,99,0.1510000000000673,-9.944517,12.35042,-9.070247001787902,9.15192419812397,-14.78439,15.78206,False,6,"[0.0980695, 0.1449864, 1.11873]","[-0.2213316, 0.2370252, 0.8386316]"
