,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-11.10145,9.251459,-11.634239412095065,6.83388459664606,-12.24933,12.00919,False,0,"[-0.2283304, 0.1895435, 1.163654]","[-1.284153, 1.258217, 5.914781]"
1,1,99,0.01690000000002101,-13.5707,12.3123,-14.356340176907604,8.998372545987822,-11.97781,11.92343,False,0,"[-0.2823983, 0.2553453, 1.169912]","[-1.256428, 1.250556, 5.92231]"
2,2,99,0.03340000000002874,-13.59603,12.36015,-14.385282452099304,9.033569227851064,-11.73141,11.78174,False,0,"[-0.2828954, 0.2563233, 1.169704]","[-1.231511, 1.236946, 5.93037]"
3,3,99,0.05040000000002465,-13.58208,12.33452,-14.369387788529092,9.014755922781543,-11.39413,11.70007,False,0,"[-0.2826538, 0.2558292, 1.169952]","[-1.196926, 1.229963, 5.939234]"
4,4,99,0.06670000000002574,-12.8612,12.02081,-13.610589667359742,8.84082844627178,-11.01893,11.47492,False,0,"[-0.2669276, 0.2489446, 1.169104]","[-1.158851, 1.208088, 5.951273]"
5,5,99,0.08380000000005339,-12.13131,11.84008,-12.850783028202846,8.772849014839974,-10.59457,11.26024,False,0,"[-0.2510697, 0.2448651, 1.168021]","[-1.115507, 1.187378, 5.963783]"
6,6,99,0.09990000000004784,-12.13622,11.75666,-12.850654558785427,8.70646250163261,-10.16223,11.13997,False,0,"[-0.2512487, 0.2431621, 1.168366]","[-1.070833, 1.176387, 5.974033]"
7,7,99,0.11700000000001864,-12.06559,11.75559,-12.778146062490954,8.712851604765254,-9.852949,11.01329,False,0,"[-0.2497542, 0.2431512, 1.168423]","[-1.038935, 1.164189, 5.981826]"
8,8,99,0.13360000000000127,-11.25593,11.45161,-11.928892362499498,8.555701862952464,-9.529192,10.95686,False,0,"[-0.2230286, 0.2270102, 1.120635]","[-1.005311, 1.159417, 5.988754]"
9,9,99,0.15040000000004738,-10.4024,11.09327,-11.031277652504526,8.360112889675257,-9.208253,10.88331,False,0,"[-0.2055901, 0.2195806, 1.119908]","[-0.9719548, 1.152751, 5.995558]"
10,10,99,0.16650000000004184,-10.36573,11.11958,-10.995295585421088,8.384647922681497,-8.954581,10.6738,False,0,"[-0.2048542, 0.2201199, 1.119935]","[-0.9460082, 1.13156, 6.003659]"
11,11,99,0.183400000000006,-9.694644,10.81186,-10.287939934362269,8.210351165924735,-8.647686,10.60139,False,0,"[-0.1912597, 0.2138049, 1.119546]","[-0.9140186, 1.124861, 6.009832]"
12,12,99,0.2004000000000019,-9.668179,10.74393,-10.256590403325454,8.159411912259074,-8.439314,10.59263,False,0,"[-0.1907809, 0.212489, 1.119859]","[-0.8921478, 1.124513, 6.013061]"
13,13,99,0.21739999999999782,-9.386319,10.96311,-9.981067547051495,8.36138540972427,-8.274727,10.54694,False,0,"[-0.2882372, 0.3377727, 1.743684]","[-0.8749897, 1.120175, 6.016415]"
