,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,5.367337,-7.864972,6.530957171315966,-5.4572729353035845,7.136884,-7.718518,False,16,"[0.0648452, -0.0948556, 0.6958504]","[0.132931, -0.1438916, 1.061661]"
1,1,99,0.016999999999939064,5.069751,-7.785899,6.267239771314846,-5.448210620806781,7.136872,-7.718516,False,16,"[0.0660653, -0.09937, 0.7255412]","[0.1329308, -0.1438916, 1.061661]"
2,2,99,0.033599999999978536,5.070687,-7.80355,6.2718410831851985,-5.461964859814562,7.136875,-7.718519,False,16,"[0.0662969, -0.0988974, 0.7256386]","[0.1329308, -0.1438917, 1.061661]"
3,3,99,0.05079999999998108,5.00589,-7.890307,6.23695453848364,-5.541999593323341,7.136865,-7.718516,False,16,"[0.0671988, -0.0955978, 0.7049344]","[0.1329307, -0.1438916, 1.061661]"
4,4,99,0.0667999999999438,5.01324,-7.907719,6.2468186686335105,-5.554416418613724,7.136859,-7.718519,False,16,"[0.0668882, -0.0952053, 0.705017]","[0.1329305, -0.1438917, 1.061661]"
5,5,99,0.08349999999995816,5.403695,-7.670355,6.518901261962293,-5.297259753180202,7.136872,-7.71852,False,16,"[0.067492, -0.0986544, 0.7246195]","[0.1329308, -0.1438917, 1.061661]"
6,6,99,0.10009999999999764,4.985027,-7.754706,6.190276843570892,-5.4387838939116815,7.13687,-7.718516,False,16,"[0.0673839, -0.0985912, 0.7246596]","[0.1329308, -0.1438917, 1.061662]"
7,7,99,0.1169999999999618,5.037064,-7.715545,6.224906631802568,-5.398575258631729,7.136874,-7.718519,False,16,"[0.0671796, -0.0994183, 0.7397593]","[0.1329308, -0.1438917, 1.061661]"
8,8,99,0.13350000000002638,5.014696,-7.715231,6.206304520397652,-5.402334261926349,7.136876,-7.718514,False,16,"[0.0669205, -0.0994837, 0.739737]","[0.1329309, -0.1438916, 1.061661]"
9,9,99,0.151299999999992,5.252726,-7.740676,6.409050469922667,-5.379766443490984,7.136866,-7.718521,False,16,"[0.0684515, -0.0966583, 0.7158838]","[0.1329306, -0.1438917, 1.061661]"
10,10,99,0.16689999999994143,5.271762,-7.768028,6.43075201621391,-5.397930006813283,7.13687,-7.718519,False,16,"[0.0686149, -0.0968456, 0.7158772]","[0.1329307, -0.1438916, 1.061661]"
11,11,99,0.1836999999999307,5.411456,-7.660095,6.5231082103073526,-5.287777179808136,7.136874,-7.71852,False,16,"[0.0657566, -0.0965853, 0.7189799]","[0.1329308, -0.1438917, 1.061661]"
12,12,99,0.20029999999997017,5.406053,-7.709885,6.529422976649683,-5.328015933335174,7.136864,-7.718522,False,16,"[0.0656108, -0.0970044, 0.719028]","[0.1329306, -0.1438917, 1.061661]"
13,13,99,0.21709999999995944,5.434638,-7.556664,6.519898711496807,-5.2020454183754214,7.136863,-7.718518,False,16,"[0.0653151, -0.0927726, 0.6927342]","[0.1329306, -0.1438917, 1.061661]"
14,14,99,0.233600000000024,5.476145,-7.549509,6.552740477966562,-5.188967108634697,7.136863,-7.718519,False,16,"[0.0654241, -0.0929258, 0.69265]","[0.1329306, -0.1438917, 1.061661]"
15,15,99,0.2505999999999631,5.665556,-7.419977,6.68161057069038,-5.052872918814658,7.136868,-7.718521,False,16,"[0.0609389, -0.089506, 0.6488042]","[0.1329306, -0.1438916, 1.061661]"
16,16,99,0.26689999999996417,5.606947,-7.402292,6.629214224680528,-5.04942253129639,7.136868,-7.718517,False,16,"[0.0609519, -0.0896174, 0.6487511]","[0.1329307, -0.1438917, 1.061662]"
17,17,99,0.283800000000042,5.498068,-7.536666,6.568122165289167,-5.174910475429021,7.136872,-7.718521,False,16,"[0.0589812, -0.0909044, 0.6648351]","[0.1329307, -0.1438917, 1.061661]"
18,18,99,0.3000999999999294,5.495355,-7.530119,6.564455160278846,-5.170232615993276,7.136868,-7.718516,False,16,"[0.0589868, -0.0911049, 0.6647754]","[0.1329307, -0.1438916, 1.061661]"
