,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-9.156306,6.551375,-5.967311898798496,4.72637985453416,-9.221122,5.22303,True,29,"[-0.1011957, 0.0874101, 0.8106466]","[-0.1954455, 0.1100518, 1.203905]"
1,1,99,0.016999999999825377,-9.162075,6.550342,-5.971251857896095,4.724444027058256,-9.221124,5.22303,True,29,"[-0.1067983, 0.0817417, 0.810411]","[-0.1954455, 0.1100518, 1.203905]"
2,2,99,0.032999999999901775,-7.054545,4.115551,-4.729032281472892,2.481786684663791,-9.221128,5.223028,True,29,"[-0.1058116, 0.0822271, 0.8103941]","[-0.1954457, 0.1100518, 1.203905]"
3,3,99,0.05099999999993088,-7.126969,4.020524,-4.784246613124363,2.371407897114441,-9.221125,5.223031,False,29,"[-0.1180705, 0.0895764, 0.8110759]","[-0.1954455, 0.1100518, 1.203905]"
4,4,99,0.06700000000000728,-6.998091,4.187912,-4.686113095567407,2.5660304796395312,-9.221123,5.223029,False,29,"[-0.1177413, 0.0903479, 0.8108242]","[-0.1954455, 0.1100518, 1.203905]"
5,5,99,0.08399999999983265,-7.02714,4.115935,-4.710633000359405,2.4862380081903375,-9.221123,5.223028,False,29,"[-0.1184547, 0.0910576, 0.8105513]","[-0.1954456, 0.1100518, 1.203905]"
6,6,99,0.09999999999990905,-7.086009,4.108713,-4.750605132448859,2.469965732029335,-9.22113,5.223031,False,29,"[-0.1185973, 0.0911681, 0.8104398]","[-0.1954457, 0.1100518, 1.203905]"
7,7,99,0.1169999999999618,-7.015018,4.25924,-4.69246108114245,2.6383501713637343,-9.221123,5.223029,False,29,"[-0.1188753, 0.0921943, 0.8100687]","[-0.1954455, 0.1100518, 1.203905]"
8,8,99,0.13299999999981083,-7.018803,4.15733,-4.702142178059771,2.5308913775132162,-9.22112,5.223029,False,29,"[-0.1189468, 0.0925756, 0.8099406]","[-0.1954455, 0.1100518, 1.203905]"
9,9,99,0.15099999999983993,-7.078432,4.223361,-4.73748897092725,2.591346383585849,-9.221129,5.22303,False,29,"[-0.1191485, 0.0925496, 0.8097979]","[-0.1954457, 0.1100519, 1.203905]"
10,10,99,0.16699999999991633,-7.038073,4.149756,-4.715591740110356,2.520099800924985,-9.221128,5.223031,False,29,"[-0.1196022, 0.0921561, 0.8096721]","[-0.1954456, 0.1100518, 1.203905]"
11,11,99,0.18299999999999272,-7.054186,4.244446,-4.719756403149947,2.617045576438331,-9.221129,5.223031,True,29,"[-0.1190863, 0.0920989, 0.8098533]","[-0.1954457, 0.1100519, 1.203905]"
12,12,99,0.20299999999997453,-12.02684,8.055635,-7.786278597955099,5.880228187102862,-9.221124,5.22303,True,29,"[-0.1204879, 0.0915186, 0.8118624]","[-0.1954455, 0.1100518, 1.203905]"
13,13,99,0.21699999999987085,-12.05957,8.051225,-7.808529981238961,5.870767086982133,-9.221131,5.223031,True,29,"[-0.1192444, 0.0916114, 0.8099877]","[-0.1954457, 0.1100518, 1.203905]"
14,14,99,0.2339999999999236,-6.949325,3.479038,-4.7031104996731905,1.8296533098046845,-9.221128,5.223031,True,29,"[-0.1189431, 0.0917882, 0.8100643]","[-0.1954456, 0.1100518, 1.203905]"
15,15,99,0.25099999999997635,-6.972747,3.495322,-4.71767118664996,1.8432744778966423,-9.221126,5.22303,True,29,"[-0.1196243, 0.0918556, 0.8098301]","[-0.1954456, 0.1100518, 1.203905]"
16,16,99,0.2680000000000291,-7.122795,3.832347,-4.794639073609781,2.174634143143865,-9.221122,5.223029,True,29,"[-0.1195229, 0.0910544, 0.8100795]","[-0.1954455, 0.1100518, 1.203905]"
17,17,99,0.2849999999998545,-7.160063,3.844611,-4.818763936651551,2.1819930267482697,-9.221126,5.223029,False,29,"[-0.1188863, 0.0911027, 0.8103173]","[-0.1954456, 0.1100518, 1.203905]"
18,18,99,0.30199999999990723,-7.301938,4.084593,-4.897055090730674,2.412765739805243,-9.221126,5.22303,False,29,"[-0.1202707, 0.0910909, 0.8102834]","[-0.1954456, 0.1100518, 1.203905]"
19,19,99,0.31799999999998363,-7.260207,4.102341,-4.867834460974735,2.4375475964705453,-9.221121,5.22303,False,29,"[-0.1367491, 0.0653374, 0.8078431]","[-0.1954455, 0.1100518, 1.203905]"
20,20,99,0.3350000000000364,-7.098016,4.000952,-4.766208413553517,2.3551548354686385,-9.221126,5.223031,False,29,"[-0.1367655, 0.0669164, 0.8076112]","[-0.1954456, 0.1100518, 1.203905]"
21,21,99,0.3569999999999709,-7.084871,3.979504,-4.758899429729788,2.3345986172445174,-9.221128,5.223029,False,29,"[-0.1356527, 0.0675598, 0.8105019]","[-0.1954457, 0.1100518, 1.203905]"
22,22,99,0.36799999999993815,-7.25574,4.176311,-4.859654671255502,2.515799165133969,-9.22113,5.22303,False,29,"[-0.1355337, 0.0663822, 0.8079134]","[-0.1954457, 0.1100518, 1.203905]"
23,23,99,0.3849999999999909,-7.277608,4.144027,-4.876578044099697,2.4787039558938466,-9.221126,5.223029,True,29,"[-0.1351778, 0.0663254, 0.8080639]","[-0.1954456, 0.1100518, 1.203905]"
24,24,99,0.40099999999983993,-7.259595,4.307491,-4.853043693931123,2.6528324018886273,-9.221128,5.223031,True,29,"[-0.1354091, 0.0662291, 0.8078951]","[-0.1954456, 0.1100518, 1.203905]"
25,25,99,0.4179999999998927,-7.223221,4.232889,-4.8338879017391365,2.5799513034889663,-9.221132,5.223029,True,29,"[-0.1363511, 0.0663038, 0.807964]","[-0.1954457, 0.1100518, 1.203905]"
26,26,99,0.43499999999994543,-7.168808,4.554958,-4.7748331251602245,2.9258275921685764,-9.22112,5.22303,True,29,"[-0.1368044, 0.0665818, 0.8076865]","[-0.1954454, 0.1100518, 1.203905]"
27,27,99,0.4519999999999982,-7.177388,4.525839,-4.7826263394671855,2.8940153726009035,-9.221121,5.223029,True,29,"[-0.1371892, 0.067176, 0.807795]","[-0.1954455, 0.1100518, 1.203905]"
28,28,99,0.4679999999998472,-7.594024,4.383361,-5.071927237048874,2.6830121162753455,-9.221119,5.22303,True,29,"[-0.1368642, 0.0666374, 0.8077438]","[-0.1954454, 0.1100518, 1.203905]"
29,29,99,0.48499999999989996,-7.489836,4.318515,-5.006624941083177,2.630382800676442,-9.221128,5.22303,True,29,"[-0.1305288, 0.0930032, 0.8098218]","[-0.1954456, 0.1100518, 1.203905]"
30,30,99,0.5009999999999764,-7.714279,4.469553,-5.146504581086616,2.75565899093764,-9.221124,5.223031,True,29,"[-0.1306022, 0.0929811, 0.8097581]","[-0.1954455, 0.1100518, 1.203905]"
31,31,99,0.5180000000000291,-7.647787,4.563713,-5.095327847872346,2.864251998692688,-9.221122,5.22303,False,29,"[-0.0998267, 0.0580432, 0.8066739]","[-0.1954455, 0.1100518, 1.203905]"
32,32,99,0.5349999999998545,-7.636486,4.637301,-5.082593308863277,2.9431124464417415,-9.221134,5.223031,False,29,"[-0.1008778, 0.0567073, 0.8067992]","[-0.1954457, 0.1100518, 1.203905]"
33,33,99,0.5519999999999072,-7.599366,4.687696,-5.05417543247338,3.001458560218714,-9.221123,5.223029,False,29,"[-0.0990761, 0.0591009, 0.8071322]","[-0.1954455, 0.1100518, 1.203905]"
34,34,99,0.5679999999999836,-7.670599,4.694843,-5.101429183989443,2.998432282388837,-9.221125,5.223029,False,29,"[-0.0994556, 0.0580607, 0.8068414]","[-0.1954455, 0.1100518, 1.203905]"
35,35,99,0.5850000000000364,-7.647448,4.624512,-5.09083872996453,2.9280778723837564,-9.221125,5.223029,True,29,"[-0.1003156, 0.057969, 0.8069885]","[-0.1954456, 0.1100518, 1.203905]"
36,36,99,0.6009999999998854,-7.69715,4.572522,-5.127803408245439,2.866199934965997,-9.221126,5.22303,True,29,"[-0.0992881, 0.060093, 0.8068884]","[-0.1954456, 0.1100518, 1.203905]"
37,37,99,0.6179999999999382,-7.705543,4.631738,-5.129279203794966,2.9270753304894406,-9.221128,5.22303,True,29,"[-0.0993352, 0.0586459, 0.8068308]","[-0.1954456, 0.1100518, 1.203905]"
38,38,99,0.6349999999999909,-7.680481,4.616437,-5.113550151981837,2.914727567389347,-9.221121,5.22303,True,29,"[-0.1001561, 0.0595619, 0.8065767]","[-0.1954454, 0.1100518, 1.203905]"
39,39,99,0.6509999999998399,-7.685425,4.6254,-5.11623633593767,2.9233990330077813,-9.221133,5.223031,True,29,"[-0.0996005, 0.0585327, 0.8067484]","[-0.1954457, 0.1100519, 1.203905]"
40,40,99,0.6679999999998927,-7.673333,4.635506,-5.107421432021507,2.9357861782504533,-9.221126,5.22303,True,29,"[-0.099828, 0.0598714, 0.8067256]","[-0.1954456, 0.1100518, 1.203905]"
41,41,99,0.6849999999999454,-7.655889,4.583243,-5.09939044178833,2.883541308324271,-9.221126,5.22303,True,29,"[-0.1731448, 0.1150238, 0.8127103]","[-0.1954456, 0.1100518, 1.203905]"
42,42,99,0.7019999999999982,-7.75087,4.509129,-5.1682610819314885,2.7917671162463984,-9.221126,5.223032,True,29,"[-0.1735592, 0.114913, 0.8123778]","[-0.1954455, 0.1100518, 1.203904]"
