,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,10.44168,2.267515,8.97729716374085,2.828138002338399,-0.8695442,11.14841,False,0,"[0.1819578, 0.039096, 0.9873644]","[-0.0920866, 1.195677, 6.067277]"
1,1,99,0.016800000000102955,10.47351,2.232176,9.005560293512794,2.7978525200090387,-0.8769076,11.11657,False,0,"[0.172474, 0.0363668, 0.9329941]","[-0.0928748, 1.192282, 6.067819]"
2,2,99,0.03360000000009222,10.47221,2.241744,9.004769746634521,2.806485772421148,-0.8757869,11.10344,False,0,"[0.1724237, 0.0365168, 0.93284]","[-0.0927606, 1.190895, 6.068114]"
3,3,99,0.05050000000005639,10.43528,2.32483,8.973862428508413,2.8799357847127687,-0.8791026,11.11278,False,0,"[0.1755063, 0.0386882, 0.9529538]","[-0.0931084, 1.191879, 6.067893]"
4,4,99,0.0665000000000191,10.43399,2.314417,8.972186627766726,2.8703798619476713,-0.866969,11.11887,False,0,"[0.1754682, 0.0385113, 0.9528672]","[-0.0918212, 1.192524, 6.067766]"
5,5,99,0.08340000000009695,10.39492,2.322861,8.935930713700074,2.875752524173336,-0.8933355,11.12278,False,0,"[0.1642146, 0.036312, 0.8951816]","[-0.0946121, 1.192929, 6.067637]"
6,6,99,0.10020000000008622,10.40827,2.27804,8.946441523577331,2.83574038677631,-0.8796005,11.13034,False,0,"[0.1644031, 0.0356047, 0.8950343]","[-0.0931549, 1.19373, 6.067486]"
7,7,99,0.11720000000002528,10.50517,2.342903,9.040203989684723,2.9005286198596085,-0.8921658,11.1388,False,0,"[0.1654998, 0.0365162, 0.8925076]","[-0.09448, 1.194588, 6.067112]"
8,8,99,0.13330000000007658,10.50262,2.343902,9.037857711420168,2.9012870102805524,-0.8718691,11.14912,False,0,"[0.1654302, 0.0365255, 0.8923535]","[-0.0923266, 1.195675, 6.066873]"
9,9,99,0.15010000000006585,10.495,2.383038,9.032465095647536,2.936463213378783,-0.8802857,11.17989,False,0,"[0.1598621, 0.0359128, 0.8629588]","[-0.0932066, 1.198914, 6.06613]"
10,10,99,0.1671000000000049,10.51806,2.38185,9.054034113470145,2.936747701695257,-0.863596,11.19209,False,0,"[0.160192, 0.0358883, 0.8628012]","[-0.0914357, 1.200209, 6.065894]"
