,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,9.40648,-4.441289,9.734463676959372,-4.163906093323541,8.726411,-5.601189,True,6,"[0.039845, -0.0154863, 0.3185679]","[0.1595114, -0.101917, 1.039208]"
1,1,99,0.01700000000005275,10.47727,-6.658029,10.950959722313165,-6.114074039760536,9.750142,-6.157193,True,6,"[0.039771, -0.0214423, 0.3170988]","[0.1776146, -0.111508, 1.033641]"
2,2,99,0.0340000000001055,10.63408,-6.613289,11.1101032057406,-6.093414434324176,10.53896,-6.361692,True,6,"[0.0395157, -0.0218472, 0.3168781]","[0.1914751, -0.1147467, 1.029201]"
3,3,99,0.05100000000015825,12.5072,-3.660866,12.886689318253683,-3.8418273930942,11.06819,-6.382152,True,6,"[0.0882166, -0.0741234, 0.6592829]","[0.2007355, -0.11478, 1.026173]"
4,4,99,0.06799999999998363,12.64424,-3.524143,13.020745796509882,-3.7428309388594423,11.7384,-6.260538,True,6,"[0.0895492, -0.073523, 0.6589253]","[0.2124899, -0.1121858, 1.022623]"
5,5,99,0.08400000000006003,13.33898,-5.826146,13.85446244228864,-5.724278463773929,12.15555,-6.025549,False,6,"[0.0825594, -0.0340148, 0.4745722]","[0.2200107, -0.1078167, 1.021426]"
6,6,99,0.10100000000011278,13.31376,-5.862984,13.830392267542507,-5.752178227002691,12.78589,-5.55604,False,6,"[0.078762, -0.0369269, 0.4754292]","[0.2311819, -0.0990965, 1.018712]"
7,7,99,0.11800000000016553,14.44756,-2.313509,14.815084910796823,-2.9280769939215237,13.02471,-5.274732,False,6,"[0.1149517, -0.0725596, 0.6216]","[0.2354774, -0.0939807, 1.017962]"
8,8,99,0.13400000000001455,14.40073,-2.308443,14.766609940937155,-2.918968464536775,13.30796,-5.237229,False,6,"[0.1165807, -0.0719866, 0.6209006]","[0.2403155, -0.0931267, 1.015976]"
9,9,99,0.1510000000000673,14.356,-4.852367,14.851444462654104,-5.023493773780783,13.48278,-4.969042,False,6,"[0.0915987, -0.0264198, 0.4129294]","[0.2435231, -0.0883085, 1.015692]"
10,10,99,0.16800000000012005,14.38334,-4.740267,14.873825020382704,-4.933415119908723,13.67638,-4.619361,False,6,"[0.092538, -0.0254037, 0.4124947]","[0.2469125, -0.0819854, 1.014694]"
11,11,99,0.18399999999996908,14.06866,-4.328852,14.528675302374939,-4.559322123558267,13.70061,-4.895088,False,6,"[0.1253489, -0.0539427, 0.5286562]","[0.2471501, -0.0868261, 1.013803]"
12,12,99,0.20100000000002183,14.25758,-4.46861,14.730370533071294,-4.694998573830848,13.68298,-4.888961,False,6,"[0.1249923, -0.0542381, 0.5281881]","[0.2468442, -0.0867255, 1.013905]"
13,13,99,0.21800000000007458,13.905,-4.841821,14.38657005639308,-4.967480923291725,13.64352,-4.72774,False,6,"[0.1043091, -0.0163565, 0.4048618]","[0.2461821, -0.0838788, 1.014224]"
14,14,99,0.23400000000015098,14.43038,-5.053457,14.938369404883577,-5.198016843892874,13.5558,-4.745271,False,6,"[0.1038986, -0.0163116, 0.404637]","[0.2446614, -0.0842335, 1.014734]"
15,15,99,0.25099999999997635,13.75487,-4.644348,14.22184200002938,-4.788017472770954,13.44027,-4.782654,False,6,"[0.1285314, -0.042633, 0.5021976]","[0.2425855, -0.0849311, 1.015103]"
16,16,99,0.2680000000000291,13.65738,-4.66177,14.122366517025046,-4.79224451463705,13.38728,-4.779176,False,6,"[0.1286938, -0.0416134, 0.501835]","[0.2417449, -0.0849223, 1.01574]"
17,17,99,0.2840000000001055,13.21148,-4.690339,13.664755365137434,-4.769197145696462,13.18136,-4.652658,False,6,"[0.1269624, -0.0383504, 0.5066313]","[0.2383558, -0.0828257, 1.017725]"
18,18,99,0.30100000000015825,13.13792,-4.641236,13.586494505740276,-4.720775191444487,12.87762,-4.441825,False,6,"[0.1284949, -0.0395183, 0.5056698]","[0.2331847, -0.0792313, 1.019969]"
19,19,99,0.31799999999998363,12.18439,-4.209617,12.582570521460767,-4.262973304705824,12.32577,-4.335171,False,6,"[0.1550869, -0.0530643, 0.6264424]","[0.2235964, -0.0775736, 1.023294]"
20,20,99,0.3400000000001455,12.14109,-4.203611,12.537681536639816,-4.253455380956368,11.91134,-4.113095,False,6,"[0.1604126, -0.055126, 0.6233935]","[0.216521, -0.0738133, 1.026459]"
21,21,99,0.3530000000000655,10.95609,-3.986207,11.306466692153375,-3.949002830732237,11.35976,-3.882281,False,6,"[0.1362745, -0.045225, 0.5567029]","[0.2069482, -0.0699039, 1.030082]"
22,22,99,0.36800000000016553,10.94186,-4.026002,11.293863527650657,-3.9805061498151835,10.92128,-3.761801,False,6,"[0.1351657, -0.0453601, 0.5562699]","[0.1994183, -0.0679527, 1.033497]"
23,23,99,0.3910000000000764,9.940048,-3.595626,10.240294254297474,-3.518674456739862,10.52171,-3.535788,False,6,"[0.1379006, -0.0481944, 0.5874128]","[0.1927055, -0.0641099, 1.037552]"
24,24,99,0.40200000000004366,9.985332,-3.609429,10.28762704864144,-3.534864955843946,10.0316,-3.335878,False,6,"[0.1373925, -0.0477876, 0.5886444]","[0.1842817, -0.0607217, 1.041754]"
25,25,99,0.42000000000007276,8.870395,-3.428572,9.130426674863244,-3.2680574350985743,9.506166,-3.126253,False,6,"[0.1357058, -0.0462597, 0.6284934]","[0.1752062, -0.0571464, 1.0463]"
26,26,99,0.43600000000014916,8.963099,-3.467676,9.227882985455476,-3.310195505745776,8.998344,-3.057638,False,6,"[0.1351757, -0.0461822, 0.6283396]","[0.166417, -0.0561361, 1.050912]"
27,27,99,0.4519999999999982,8.10375,-3.468991,8.343198816498852,-3.2212180732311015,8.681803,-3.099846,False,6,"[0.1172301, -0.0421994, 0.6055741]","[0.1611074, -0.0571384, 1.055082]"
28,28,99,0.46900000000005093,8.144934,-3.37489,8.380758672260427,-3.1475136952299634,8.259001,-2.886625,False,6,"[0.1169842, -0.0425893, 0.6051093]","[0.1538512, -0.0534452, 1.059921]"
29,29,99,0.48500000000012733,7.306418,-3.114642,7.504065729028663,-2.8438531368653517,7.940914,-2.783199,False,6,"[0.1058348, -0.0379487, 0.6039135]","[0.1484478, -0.0517364, 1.064223]"
30,30,99,0.5030000000001564,7.16468,-3.387575,7.372180480225686,-3.055291373304099,7.628791,-2.837677,False,6,"[0.106282, -0.0380787, 0.6036588]","[0.1431537, -0.0529771, 1.06879]"
31,31,99,0.5190000000000055,6.854361,-2.908322,7.0280303606590895,-2.6254097365914686,7.432695,-2.714681,False,6,"[0.1053271, -0.0404334, 0.6748862]","[0.1400049, -0.0508856, 1.073183]"
32,32,99,0.5360000000000582,6.753803,-2.715887,6.9145988885548375,-2.455318987107861,7.185885,-2.448225,False,6,"[0.1063886, -0.0408736, 0.6745227]","[0.1359591, -0.0461061, 1.078363]"
33,33,99,0.5520000000001346,6.110498,-2.27063,6.229368639877579,-2.0187240368445676,6.943815,-2.195913,False,6,"[0.0982301, -0.0418199, 0.6898766]","[0.1319155, -0.0415329, 1.083145]"
34,34,99,0.5700000000001637,5.861265,-2.650064,5.992290335008002,-2.307197709621388,6.742342,-2.165874,False,6,"[0.0987724, -0.0406978, 0.6901305]","[0.128589, -0.041136, 1.087689]"
35,35,99,0.5860000000000127,5.609365,-1.780419,5.688200156880095,-1.559757852093819,6.392459,-1.86402,False,6,"[0.085802, -0.0364138, 0.6691947]","[0.1224698, -0.035576, 1.093141]"
36,36,99,0.6030000000000655,5.49043,-1.416531,5.547027067367434,-1.2455862378908722,6.400784,-1.471664,False,6,"[0.0840838, -0.0395949, 0.6689079]","[0.1231826, -0.0282103, 1.098062]"
37,37,99,0.6190000000001419,5.260852,-0.8322969,5.280603340963003,-0.7371252748044859,5.922482,-1.046669,False,6,"[0.0816002, -0.0344875, 0.6788412]","[0.1145285, -0.0201705, 1.104033]"
38,38,99,0.637000000000171,5.408481,-0.8171282,5.431815894189374,-0.7400215156534471,5.632425,-1.270656,False,6,"[0.0803922, -0.0322022, 0.6788446]","[0.1093163, -0.0245859, 1.108435]"
39,39,99,0.65300000000002,5.41253,-0.5302382,5.421223882870832,-0.5025801973241819,5.559804,-1.060265,False,6,"[0.0735197, -0.0272301, 0.6867498]","[0.1083893, -0.0206075, 1.113483]"
