,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,3.153187,-5.19406,2.6978963410942693,-3.087910611130007,1.286306,0.5169814,False,20,"[0.0339547, -0.0560287, 0.6163599]","[0.0149463, 0.0060062, 0.6656392]"
1,1,99,0.01659999999998263,3.012196,-5.024349,2.5487574782276825,-2.926901805740375,1.324099,0.5134469,False,20,"[0.0324515, -0.0542183, 0.6166998]","[0.0154259, 0.0059808, 0.6673812]"
2,2,99,0.0333999999999719,1.297257,-5.154244,0.8474701125485726,-3.238209280831234,1.931962,0.5769978,False,20,"[0.0243781, -0.0971041, 1.076519]","[0.022517, 0.0067226, 0.6675279]"
3,3,99,0.05009999999998627,1.216475,-5.157496,0.7671838526411021,-3.2499079699960003,1.968942,0.6442547,False,20,"[0.0228663, -0.0971945, 1.076838]","[0.0229249, 0.0074986, 0.6668464]"
4,4,99,0.06680000000000064,2.532959,-3.999789,2.0188180845873447,-1.9165029595990133,2.112456,0.6305429,False,20,"[0.029518, -0.0466573, 0.6672651]","[0.0246151, 0.0073443, 0.6673297]"
5,5,99,0.08329999999995152,2.452046,-3.903248,1.9332730160365241,-1.8249854542719899,1.929515,0.6423347,False,20,"[0.0285795, -0.0455365, 0.6673956]","[0.0225021, 0.0074884, 0.6679349]"
6,6,99,0.09979999999995925,1.312273,-5.506851,0.8805454281076177,-3.6014102207101972,2.061925,0.6692348,False,20,"[0.0249262, -0.1049057, 1.088124]","[0.0239998, 0.0077866, 0.6666069]"
7,7,99,0.11660000000000537,1.323734,-5.453202,0.8892027938862708,-3.544731144954354,2.108196,0.6530892,False,20,"[0.0251497, -0.1039011, 1.088371]","[0.02447, 0.0075774, 0.6647362]"
8,8,99,0.13349999999996953,1.789156,-5.650702,1.3628809451492623,-3.7010127395277204,2.152043,0.485586,False,20,"[0.0279611, -0.0885683, 0.8951319]","[0.024975, 0.0056328, 0.6646188]"
9,9,99,0.15009999999995216,1.706835,-5.733839,1.285167219444361,-3.7955063261912496,2.365731,0.1282017,False,20,"[0.026682, -0.0899078, 0.8954086]","[0.0275224, 0.0014906, 0.6661867]"
10,10,99,0.16679999999996653,2.998117,-5.524238,2.5604249433990516,-3.4454587820332927,2.493184,-0.01361723,False,20,"[0.0469161, -0.0866359, 0.8957764]","[0.0289266, -0.0001579, 0.6643405]"
11,11,99,0.1856999999999971,3.032308,-5.513151,2.593907096074326,-3.4304623017976663,2.458629,-0.3020497,False,20,"[0.0474596, -0.0864745, 0.8959163]","[0.0285493, -0.0035052, 0.6649042]"
12,12,99,0.1998999999999569,7.531372,-4.924244,7.044405133597775,-2.3570826582371165,2.493135,-0.4914388,False,20,"[0.016877, -0.0109982, 0.1276533]","[0.0289543, -0.0057039, 0.6649898]"
13,13,99,0.2168999999999528,7.36994,-4.968209,6.885889189820026,-2.4192175140428374,2.466176,-0.8674079,False,20,"[0.0165456, -0.01112, 0.1279198]","[0.028703, -0.01009, 0.6664344]"
14,14,99,0.2336999999999989,6.768188,-4.872102,6.281646193053529,-2.3818866004567,2.462686,-1.102726,False,20,"[0.0153014, -0.01099, 0.1289306]","[0.0286721, -0.0128323, 0.6666615]"
15,15,99,0.24989999999996826,6.519195,-4.913248,6.03578057885306,-2.45013949433807,2.423684,-1.330357,False,20,"[0.0146729, -0.0110377, 0.1283998]","[0.0282142, -0.0154803, 0.6665852]"
16,16,99,0.2669999999999959,6.763087,-4.864356,6.2761678785463495,-2.374400137148176,2.390832,-1.607907,False,20,"[0.0153361, -0.0110057, 0.1293208]","[0.0278387, -0.0187164, 0.666762]"
17,17,99,0.2833999999999719,6.882533,-4.936679,6.398844637189794,-2.4368899651855536,2.470429,-1.857191,False,20,"[0.0155663, -0.0111392, 0.1289629]","[0.0287072, -0.0215753, 0.6653823]"
18,18,99,0.3007999999999811,4.994584,-7.254049,4.63766496078678,-5.028855895349633,2.358112,-2.006526,False,20,"[0.0782469, -0.113966, 0.8953406]","[0.0273664, -0.0232826, 0.6645555]"
