,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,3.684555,3.819191,-4.864818615797873,0.26404077321337116,0.01720192,0.0630702,False,0,"[0.0243497, 0.025242, 0.3781219]","[0.0003, 0.0011, 0.9992999]"
1,1,99,0.01719999999988886,3.716001,3.8326,-4.832138151749789,0.2773517536187815,0.01720447,0.06307133,False,0,"[0.0245559, 0.0253287, 0.3780878]","[0.0003001, 0.0011, 0.9993005]"
2,2,99,0.033599999999978536,3.7026,3.847092,-4.858031124422164,0.2895987531409876,0.01720534,0.06306922,False,0,"[0.024468, 0.0254256, 0.3781017]","[0.0003001, 0.0011, 0.9992999]"
3,3,99,0.0504999999999427,3.688274,3.827358,-4.864850885046014,0.2714513842234578,0.01720106,0.06306968,False,0,"[0.0243739, 0.0252958, 0.3781156]","[0.0003, 0.0011, 0.9993002]"
4,4,99,0.0667999999999438,3.728279,3.845833,-4.82411414989306,0.2896413986460362,0.01720106,0.06306953,False,0,"[0.0246352, 0.0254143, 0.3780569]","[0.0003, 0.0011, 0.9993001]"
5,5,99,0.08389999999997144,3.68497,3.846855,-4.88066471795748,0.288592747303519,0.01720021,0.0630705,False,0,"[0.0243479, 0.0254207, 0.3780515]","[0.0003, 0.0011, 0.9993004]"
6,6,99,0.10329999999999018,3.660938,3.88373,-4.933545381347237,0.3202097541691229,0.01720192,0.06306933,False,0,"[0.0242114, 0.0256892, 0.3784065]","[0.0003, 0.0011, 0.9993001]"
7,7,99,0.11769999999989977,3.726882,3.854465,-4.831030490661572,0.29723344630575355,0.01720534,0.06307129,False,0,"[0.024622, 0.0254673, 0.3779951]","[0.0003001, 0.0011, 0.9993001]"
8,8,99,0.1335999999998876,3.718069,3.850715,-4.840194186457287,0.29351001371885355,0.01719935,0.06307028,False,0,"[0.0245733, 0.0254526, 0.3781452]","[0.0003, 0.0011, 0.9993002]"
9,9,99,0.1514999999999418,3.710424,3.775243,-4.805376447322877,0.22623414711410872,0.01720619,0.06307049,False,0,"[0.0245112, 0.0249407, 0.3779695]","[0.0003001, 0.0011, 0.9993001]"
10,10,99,0.16769999999996799,3.675318,3.80562,-4.8687141805469665,0.2515886522594384,0.01720021,0.06307035,False,0,"[0.0242844, 0.0251478, 0.3780578]","[0.0003, 0.0011, 0.9993002]"
11,11,99,0.1856999999999971,3.699605,3.811308,-4.840709257314559,0.2577292640596318,0.01720192,0.06306919,False,0,"[0.0244415, 0.0251816, 0.3779997]","[0.0003, 0.0011, 0.9993002]"
12,12,99,0.20079999999995835,3.665129,3.801747,-4.87958251600837,0.24769402633772408,0.01719765,0.06307033,False,0,"[0.0242137, 0.0251189, 0.3780086]","[0.0002999, 0.0011, 0.9993001]"
13,13,99,0.2177999999998974,3.659781,3.855404,-4.918265748015424,0.2950372049370378,0.01720021,0.0630694,False,0,"[0.024173, 0.025469, 0.3779266]","[0.0003, 0.0011, 0.9993002]"
14,14,99,0.23429999999996198,3.66807,3.879133,-4.921610191686481,0.3164549428804513,0.01720192,0.06307075,False,0,"[0.0242289, 0.0256272, 0.3779411]","[0.0003, 0.0011, 0.9993001]"
15,15,99,0.25149999999996453,3.656783,3.842622,-4.914569180394503,0.2835664238518776,0.01720021,0.06306976,False,0,"[0.0241597, 0.0253911, 0.3780285]","[0.0003, 0.0011, 0.9993]"
16,16,99,0.26759999999990214,3.682322,3.847218,-4.88430029325834,0.2887951341818522,0.01719508,0.06307017,False,0,"[0.0243245, 0.025417, 0.3779601]","[0.0002999, 0.0011, 0.9993001]"
17,17,99,0.28539999999998145,3.6712,3.826815,-4.886585044914291,0.27019910680340065,0.01720875,0.06306969,False,0,"[0.0242496, 0.0252805, 0.3779415]","[0.0003001, 0.0011, 0.9993001]"
18,18,99,0.3006999999998925,3.689022,3.811965,-4.8547691460198905,0.2578341886872466,0.01720534,0.06306931,False,0,"[0.0243704, 0.025185, 0.3779841]","[0.0003001, 0.0011, 0.9993001]"
19,19,99,0.31799999999998363,3.708803,3.825725,-4.837365059626348,0.2709298819688559,0.0171985,0.0630703,False,0,"[0.0244959, 0.0252704, 0.3778988]","[0.0003, 0.0011, 0.9993001]"
20,20,99,0.3343999999999596,3.689346,3.814982,-4.856137232027418,0.2605243776701225,0.01720106,0.06307027,False,0,"[0.0243691, 0.0252013, 0.37793]","[0.0003, 0.0011, 0.9993002]"
21,21,99,0.35159999999996217,3.673146,3.851036,-4.898414553386988,0.2917668383668408,0.01720107,0.06306782,False,0,"[0.0242638, 0.0254424, 0.3779616]","[0.0003, 0.0011, 0.9993]"
22,22,99,0.3673999999999751,3.708016,3.844301,-4.849382100514091,0.28736809411375,0.01720534,0.06307065,False,0,"[0.0244929, 0.0253958, 0.3779322]","[0.0003001, 0.0011, 0.9993001]"
23,23,99,0.3846999999999525,3.732822,3.845629,-4.8181248238692955,0.2896655588797872,0.01719936,0.06306908,False,0,"[0.0246549, 0.0254022, 0.3778965]","[0.0003, 0.0011, 0.9993001]"
24,24,99,0.40069999999991524,3.653254,3.839084,-4.917032695763263,0.28026952153663176,0.01720619,0.06306895,False,0,"[0.0241394, 0.0253709, 0.3780772]","[0.0003001, 0.0011, 0.9993]"
25,25,99,0.4178999999999178,3.688145,3.826589,-4.86456213388348,0.2707635895033458,0.01719338,0.06306772,False,0,"[0.0243626, 0.0252798, 0.3779529]","[0.0002999, 0.0011, 0.9993]"
26,26,99,0.4341999999999189,3.664837,3.822713,-4.892375450302576,0.2662741046358805,0.01720192,0.06306937,False,0,"[0.0242072, 0.0252531, 0.3779371]","[0.0003, 0.0011, 0.9993001]"
27,27,99,0.45099999999990814,3.716289,3.855673,-4.8454295906582985,0.29782656237329475,0.01719509,0.06306863,False,0,"[0.0245516, 0.0254752, 0.3779926]","[0.0002999, 0.0011, 0.9993]"
28,28,99,0.4675999999999476,3.699142,3.855515,-4.867486040856749,0.2969124189065999,0.01720448,0.06306964,False,0,"[0.0244409, 0.0254771, 0.3780372]","[0.0003001, 0.0011, 0.9993]"
