,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-9.539845,2.850467,-9.05273302621693,-0.08037486366270041,-14.89981,14.30974,False,29,"[-0.1226194, 0.036329, 0.7296272]","[-0.2267539, 0.2173813, 0.8522154]"
1,1,99,0.016999999999939064,-9.549052,3.009021,-9.040449279040805,0.025252398130183984,-14.89979,14.30974,False,29,"[-0.1287833, 0.0402418, 0.7655521]","[-0.2267537, 0.2173813, 0.8522154]"
2,2,99,0.033599999999978536,-9.514524,3.015705,-9.006699694780016,0.026212802055114892,-14.89979,14.30974,False,29,"[-0.1282552, 0.0403144, 0.7652313]","[-0.2267536, 0.2173813, 0.8522154]"
3,3,99,0.0504999999999427,-9.790187,3.757576,-9.17058791545427,0.5437043714726744,-14.89979,14.30973,False,29,"[-0.1249895, 0.0475727, 0.7243514]","[-0.2267538, 0.2173813, 0.8522159]"
4,4,99,0.06689999999991869,-9.80981,3.72035,-9.194205699132887,0.5210837097980443,-14.89979,14.30974,False,29,"[-0.1251984, 0.0470826, 0.7240822]","[-0.2267537, 0.2173813, 0.8522157]"
5,5,99,0.08429999999998472,-9.944802,4.19377,-9.259843407994646,0.8472244900151615,-14.8998,14.30974,False,29,"[-0.1206304, 0.0504486, 0.688004]","[-0.2267539, 0.2173813, 0.8522156]"
6,6,99,0.09999999999990905,-9.932053,4.313294,-9.231843710019223,0.9248809016163566,-14.89979,14.30973,False,29,"[-0.1204227, 0.0518704, 0.6877194]","[-0.2267538, 0.2173813, 0.8522161]"
7,7,99,0.1171999999999116,-10.09418,4.956343,-9.300790706968932,1.365755897172332,-14.89979,14.30973,False,29,"[-0.1168013, 0.056898, 0.6561046]","[-0.2267537, 0.2173813, 0.8522159]"
8,8,99,0.13369999999997617,-10.21379,4.906451,-9.421253341292582,1.3447718289366541,-14.8998,14.30974,False,29,"[-0.1181705, 0.0563013, 0.655858]","[-0.2267539, 0.2173813, 0.8522156]"
9,9,99,0.15809999999999036,-10.19664,4.735344,-9.427643560585546,1.2300602976818737,-14.89979,14.30974,False,29,"[-0.1209784, 0.0557152, 0.6725957]","[-0.2267537, 0.2173813, 0.8522156]"
10,10,99,0.16699999999991633,-10.35555,4.631278,-9.592701438040956,1.1772315517081147,-14.89979,14.30974,False,29,"[-0.1222655, 0.0542018, 0.6690952]","[-0.2267538, 0.2173813, 0.8522158]"
11,11,99,0.1836999999999307,-10.48172,4.141434,-9.777807221524824,0.8663668586733326,-14.89979,14.30974,False,29,"[-0.1217948, 0.0476674, 0.6583181]","[-0.2267537, 0.2173813, 0.8522159]"
12,12,99,0.20009999999990669,-10.46372,4.208403,-9.751786031655643,0.9087916262127314,-14.8998,14.30974,False,29,"[-0.1216245, 0.0484583, 0.658554]","[-0.2267539, 0.2173813, 0.8522156]"
13,13,99,0.21709999999995944,-10.57495,3.768498,-9.916043585561578,0.6294114504837349,-14.8998,14.30974,False,29,"[-0.1248572, 0.0440514, 0.6687855]","[-0.2267539, 0.2173813, 0.8522158]"
14,14,99,0.2336999999999989,-10.54978,3.715956,-9.899062274989907,0.5921960325653202,-14.8998,14.30974,False,29,"[-0.1245789, 0.0434444, 0.668924]","[-0.2267539, 0.2173812, 0.8522155]"
15,15,99,0.250699999999938,-10.4782,3.403483,-9.872413281697986,0.3786845590239305,-14.8998,14.30973,False,29,"[-0.127341, 0.0409484, 0.6885321]","[-0.2267539, 0.2173813, 0.8522159]"
16,16,99,0.26699999999993906,-10.6041,3.373708,-9.996192133929078,0.37161455839945035,-14.89979,14.30974,False,29,"[-0.1288621, 0.0405754, 0.6882964]","[-0.2267538, 0.2173813, 0.8522158]"
17,17,99,0.28369999999995343,-11.37154,9.996677,-9.847471650965474,4.8220716854408145,-14.89979,14.30974,False,29,"[-0.0960498, 0.0841814, 0.4775783]","[-0.2267537, 0.2173813, 0.8522155]"
18,18,99,0.3002999999999929,-11.38112,10.18356,-9.83178249408276,4.946444242889615,-14.8998,14.30974,False,29,"[-0.0960261, 0.0856931, 0.4770474]","[-0.2267539, 0.2173813, 0.8522157]"
19,19,99,0.3170999999999822,-15.67717,21.75256,-12.3849088900143,13.016117927503132,-14.89979,14.30974,False,29,"[-0.0765112, 0.1087761, 0.272614]","[-0.2267538, 0.2173813, 0.8522156]"
20,20,99,0.338799999999992,-15.93521,21.50538,-12.66331174055269,12.878694427195759,-14.8998,14.30974,False,29,"[-0.0786367, 0.1085182, 0.2754138]","[-0.2267538, 0.2173813, 0.8522158]"
21,21,99,0.3509999999999991,-15.98203,22.3959,-12.589664716315054,13.471461682337267,-14.8998,14.30974,False,29,"[-0.0745868, 0.107317, 0.2604234]","[-0.2267538, 0.2173813, 0.8522155]"
22,22,99,0.3670999999999367,-16.01156,22.32376,-12.62734609365699,13.4267753404357,-14.8998,14.30973,False,29,"[-0.074696, 0.106882, 0.2602978]","[-0.2267539, 0.2173812, 0.8522157]"
23,23,99,0.38400000000001455,-14.69241,21.23798,-11.51596021744247,12.577799412871913,-14.8998,14.30974,False,29,"[-0.0818553, 0.1213257, 0.3121823]","[-0.2267538, 0.2173813, 0.8522155]"
24,24,99,0.4008999999999787,-14.74008,21.20177,-11.566137128857411,12.558655046282519,-14.8998,14.30974,False,29,"[-0.0820999, 0.1210499, 0.3120567]","[-0.226754, 0.2173813, 0.8522157]"
25,25,99,0.41819999999995616,-14.65702,21.58143,-11.436687607106915,12.801068103331554,-14.8998,14.30973,False,29,"[-0.0800534, 0.1210712, 0.3060808]","[-0.226754, 0.2173813, 0.852216]"
26,26,99,0.43499999999994543,-14.71463,21.48198,-11.504719537935804,12.741155351360208,-14.8998,14.30974,False,29,"[-0.0803606, 0.1204245, 0.3059978]","[-0.2267538, 0.2173813, 0.8522156]"
27,27,99,0.45259999999996126,-14.2257,20.79015,-11.131209985905066,12.235378389840369,-14.89979,14.30974,False,29,"[-0.081912, 0.122672, 0.3231037]","[-0.2267537, 0.2173813, 0.8522156]"
28,28,99,0.46870000000001255,-14.2096,20.79448,-11.115311893600612,12.236627476916933,-14.89979,14.30974,False,29,"[-0.0817941, 0.1226681, 0.3230197]","[-0.2267537, 0.2173812, 0.8522156]"
