,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-7.587007,-3.535684,-7.297729386322906,-1.4973361528073337,-5.526551,-1.52113,False,6,"[-0.2701746, -0.1253287, 2.028373]","[-0.616514, -0.1692027, 6.371791]"
1,1,99,0.01700000000005275,-7.599137,-3.523123,-7.309310774358386,-1.4834039323081312,-5.505862,-1.661031,False,6,"[-0.2706091, -0.1248811, 2.028354]","[-0.6141527, -0.1847612, 6.371387]"
2,2,99,0.03399999999987813,-7.448303,-3.758669,-7.164944923844818,-1.744475382249298,-5.457432,-1.788409,False,6,"[-0.3362352, -0.1689613, 2.57189]","[-0.6087472, -0.1989484, 6.371697]"
3,3,99,0.049999999999954525,-7.458499,-3.743443,-7.174700589231689,-1.7275982905373364,-5.399707,-1.900609,False,6,"[-0.3367106, -0.1682799, 2.571965]","[-0.6022744, -0.2114403, 6.371745]"
4,4,99,0.06700000000000728,-7.468622,-3.938084,-7.18345138270006,-1.9430015202262125,-5.397752,-1.911346,False,6,"[-0.2964367, -0.1556652, 2.261229]","[-0.6020744, -0.2126426, 6.37195]"
5,5,99,0.0829999999998563,-7.440193,-3.971142,-7.156292029303968,-1.9796597244114058,-5.398322,-1.983904,False,6,"[-0.2953017, -0.1569794, 2.261276]","[-0.6020951, -0.2207053, 6.371493]"
6,6,99,0.09999999999990905,-6.682553,-3.629708,-6.437937613244931,-1.6036194963111048,-5.325992,-2.10362,False,6,"[-0.2691617, -0.1457298, 2.297301]","[-0.5940144, -0.2340484, 6.371852]"
7,7,99,0.1169999999999618,-6.722524,-3.662005,-6.4757723416855315,-1.639267699789157,-5.316663,-2.180457,False,6,"[-0.2707586, -0.147015, 2.297065]","[-0.5929368, -0.2425926, 6.371517]"
8,8,99,0.13400000000001455,-6.428652,-3.752906,-6.196142811774509,-1.7405972671094392,-5.287158,-2.176062,False,6,"[-0.3521086, -0.2049832, 3.125011]","[-0.5896747, -0.2421225, 6.372027]"
9,9,99,0.14999999999986358,-6.404517,-3.774746,-6.1731134351970605,-1.7648288942020431,-5.2677,-2.129916,False,6,"[-0.3507887, -0.2061873, 3.125128]","[-0.5875208, -0.2369947, 6.372338]"
10,10,99,0.16699999999991633,-6.380332,-3.761459,-6.150193134154503,-1.7501821896352134,-5.336161,-2.080871,False,6,"[-0.3488636, -0.2051129, 3.119857]","[-0.5951371, -0.231508, 6.371659]"
