,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-12.42384,-5.951698,-19.887025584931127,-9.128209417889824,-0.1442538,-1.964367,False,0,"[-0.0692897, -0.0327897, 0.3145236]","[-0.0030146, -0.0410667, 1.197345]"
1,1,99,0.016200000000026193,-12.73562,-6.049643,-20.231772779261455,-9.2291438068135,-0.455317,-2.035289,False,0,"[-0.071311, -0.0334386, 0.3155172]","[-0.0094993, -0.0424794, 1.195341]"
2,2,99,0.03300000000001546,-12.36826,-5.947274,-19.817848717964885,-9.121777175860954,-0.6653948,-2.082194,False,0,"[-0.0690681, -0.0328118, 0.3149713]","[-0.01385, -0.0433575, 1.192544]"
3,3,99,0.049600000000054933,-12.13126,-6.107539,-19.41679231923038,-9.253206541958688,-1.071577,-2.07342,False,0,"[-0.0676698, -0.0336857, 0.3148132]","[-0.0222623, -0.0430897, 1.190199]"
4,4,99,0.06709999999998217,-13.10506,-6.006064,-20.734811846359108,-9.207173393641272,-1.626071,-2.182614,False,0,"[-0.0731555, -0.0330617, 0.3142413]","[-0.0336701, -0.0452038, 1.18607]"
5,5,99,0.08320000000003347,-13.20937,-6.084144,-20.823318835583734,-9.281125618783644,-2.124697,-2.17973,False,0,"[-0.0739014, -0.0335595, 0.3148485]","[-0.0439152, -0.0450538, 1.1837]"
6,6,99,0.09979999999995925,-13.06335,-6.002485,-20.683051461945734,-9.202116621206349,-2.478587,-2.324173,False,0,"[-0.0729395, -0.0330533, 0.3143496]","[-0.0510415, -0.047858, 1.179155]"
7,7,99,0.11649999999997362,-13.30162,-6.033819,-20.97228648397394,-9.240660156125543,-3.110095,-2.613422,False,0,"[-0.0744277, -0.0332759, 0.3148114]","[-0.0638791, -0.0536623, 1.175657]"
8,8,99,0.13340000000005148,-13.01461,-6.07482,-20.577254838101084,-9.264065256742477,-3.470087,-2.739285,False,0,"[-0.0727283, -0.033487, 0.3146549]","[-0.0710266, -0.0560425, 1.17131]"
9,9,99,0.14980000000002747,-12.35513,-6.208743,-19.64604990397244,-9.353062804028578,-4.047465,-2.753209,False,0,"[-0.069472, -0.0345037, 0.317161]","[-0.0826255, -0.056154, 1.167697]"
10,10,99,0.16660000000001673,-12.05796,-5.848836,-19.4753052931463,-9.020472388148079,-4.494331,-3.129794,False,0,"[-0.0677675, -0.0324975, 0.3172424]","[-0.0913683, -0.0635604, 1.162414]"
11,11,99,0.18299999999999272,-12.21171,-5.966848,-19.604030387439654,-9.132069220929719,-4.789676,-3.340255,False,0,"[-0.0686535, -0.0331557, 0.3172211]","[-0.0969631, -0.0675397, 1.157203]"
12,12,99,0.20060000000000855,-12.17878,-5.98011,-19.553638785159766,-9.142343871454237,-5.338386,-3.468354,False,0,"[-0.0684955, -0.0332459, 0.3173732]","[-0.1076767, -0.0698404, 1.152325]"
13,13,99,0.21640000000002146,-12.54569,-6.144706,-19.930131694158195,-9.304874904822505,-5.991389,-3.522836,False,0,"[-0.0708318, -0.0342677, 0.3183004]","[-0.1204343, -0.0706441, 1.147515]"
14,14,99,0.23320000000001073,-12.17748,-5.958086,-19.565001749382862,-9.122753664242154,-6.375807,-3.619014,False,0,"[-0.0685808, -0.0331674, 0.3178034]","[-0.1275356, -0.0721883, 1.141356]"
15,15,99,0.24959999999998672,-12.69336,-5.633511,-20.423609345915708,-8.858198193158987,-6.8855,-4.101436,False,0,"[-0.0718207, -0.0314534, 0.3188657]","[-0.1371491, -0.0814401, 1.135749]"
16,16,99,0.26689999999996417,-12.38304,-6.238809,-19.66429864751705,-9.380986080213084,-7.17415,-3.738703,False,0,"[-0.0698013, -0.0347554, 0.3179231]","[-0.142285, -0.0738667, 1.130403]"
17,17,99,0.28309999999999036,-13.14748,-6.173763,-20.690300095175928,-9.35780861101503,-7.414865,-3.477833,False,0,"[-0.0743082, -0.0344122, 0.3181261]","[-0.1465434, -0.068434, 1.126035]"
18,18,99,0.3007999999999811,-12.4506,-5.881435,-19.963202053188112,-9.067106103700047,-7.680927,-3.889457,False,0,"[-0.0702673, -0.0327841, 0.3182534]","[-0.1510209, -0.076132, 1.119782]"
19,19,99,0.3164000000000442,-13.15399,-5.857775,-20.88583267619351,-9.077875115824739,-7.88063,-3.792934,False,0,"[-0.074234, -0.0325889, 0.3176453]","[-0.154362, -0.0739331, 1.115196]"
20,20,99,0.33330000000000837,-12.71011,-5.682146,-20.41644564239877,-8.90208523108916,-7.979305,-3.822071,False,0,"[-0.0716721, -0.0316179, 0.3177727]","[-0.1556094, -0.0741641, 1.110127]"
21,21,99,0.38189999999997326,-12.34715,-5.215499,-20.223925104836923,-8.471864880249129,-8.450411,-4.362024,False,0,"[-0.0702248, -0.0292836, 0.3208116]","[-0.162979, -0.0836791, 1.097012]"
