,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,10.59501,-0.9519321,10.576088996653338,-7.320501637355842,5.974384,-6.082726,False,18,"[0.0744311, 0.027361, 1.659127]","[0.1245695, -0.1268454, 1.190319]"
1,1,99,0.01659999999998263,7.679516,1.263265,8.328263509106726,-5.613353131055441,6.044941,-5.961274,False,18,"[0.0773284, 0.030661, 1.659248]","[0.1263512, -0.1245896, 1.193148]"
2,2,99,0.03309999999999036,7.702275,1.301698,8.351495613962637,-5.588835720638087,6.416255,-6.100327,False,18,"[0.0862827, 0.0454298, 1.944655]","[0.1336588, -0.1270263, 1.188551]"
3,3,99,0.04989999999997963,7.45041,0.6425238,8.070537548591773,-6.018971720149167,6.724326,-5.48567,False,18,"[0.0850865, 0.0419276, 1.944944]","[0.1396995, -0.1137903, 1.184864]"
4,4,99,0.06770000000000209,7.380108,0.6294486,8.009551836455241,-6.02296159352141,6.682122,-5.407886,False,18,"[0.0925264, 0.0506702, 1.932472]","[0.1388323, -0.1121813, 1.185014]"
5,5,99,0.08420000000000982,7.293379,0.5177644,7.924567638957399,-6.092775588083033,6.593645,-5.482623,False,18,"[0.1844127, -0.0045003, 1.826202]","[0.1369018, -0.1136782, 1.184358]"
6,6,99,0.10129999999998063,7.291821,0.4850903,7.919912265647106,-6.114856632641614,6.819021,-5.513785,False,18,"[0.1805397, -0.0059905, 1.827577]","[0.1412947, -0.1140617, 1.181597]"
7,7,99,0.11820000000000164,7.229067,0.5166788,7.8698876618171125,-6.089039786114574,6.885725,-5.885656,False,18,"[0.2266739, -0.0301098, 2.083041]","[0.1427771, -0.1218813, 1.182316]"
8,8,99,0.13519999999999754,7.252286,0.5218724,7.890119010146107,-6.087127679378726,6.785812,-5.858715,False,18,"[0.2281566, -0.0376241, 2.082935]","[0.1414092, -0.1219434, 1.188396]"
9,9,99,0.15170000000000528,7.466712,0.8192908,8.102403617824605,-5.90006078877778,6.984809,-5.783549,False,18,"[0.250337, -0.0530422, 2.082396]","[0.1455086, -0.1202952, 1.187676]"
