,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-3.275747,-2.83728,-1.5379683929239154,-2.4870555080710224,-9.698275,12.06568,False,12,"[-0.0381989, -0.0315669, 0.6732765]","[-0.2033999, 0.2544013, 1.190154]"
1,1,99,0.01599999999962165,-3.264471,-2.842604,-1.5271114500862795,-2.491757231062472,-9.628051,11.92906,False,12,"[-0.0382624, -0.0315033, 0.6735175]","[-0.2020968, 0.2516819, 1.191321]"
2,2,99,0.03299999999944703,-3.270582,-2.876312,-1.532100578489381,-2.520274028995761,-9.65987,11.80313,False,12,"[-0.0381392, -0.0314656, 0.6735311]","[-0.2026532, 0.2487951, 1.19059]"
3,3,99,0.0500000000001819,-3.219517,-2.819396,-1.4849145654717208,-2.472781272378276,-9.636244,11.67331,False,12,"[-0.0379596, -0.0314935, 0.6740177]","[-0.2025431, 0.2464617, 1.192917]"
4,4,99,0.06700000000000728,-3.226768,-2.837111,-1.4913792202354537,-2.487702852915861,-9.681991,11.43638,False,12,"[-0.0380681, -0.0327876, 0.6735048]","[-0.203788, 0.2416365, 1.194469]"
5,5,99,0.08299999999962893,-3.196447,-2.83063,-1.4626935821894262,-2.4826905503108954,-9.66268,11.30697,True,12,"[-0.0372269, -0.0328525, 0.6739579]","[-0.2035179, 0.238999, 1.195316]"
6,6,99,0.0999999999994543,-3.1888,-2.786448,-1.4564993759105147,-2.4453069425772522,-9.612102,11.22839,True,12,"[-0.0379233, -0.0329944, 0.6738359]","[-0.2024676, 0.2373358, 1.195524]"
7,7,99,0.11700000000018917,-3.183419,-2.770598,-1.4517680340068835,-2.4319384088063014,-9.406157,11.12757,True,12,"[-0.0382549, -0.0328727, 0.6743701]","[-0.198525, 0.2357143, 1.198393]"
8,8,99,0.13400000000001455,-3.201807,-2.700729,-1.470968788877523,-2.372328179399185,-9.53303,11.10411,True,12,"[-0.037723, -0.0327004, 0.6740316]","[-0.200994, 0.2349026, 1.196854]"
9,9,99,0.1499999999996362,-3.121214,-2.547456,-1.3980491219509465,-2.2435125945460896,-9.494075,11.19537,True,12,"[-0.038027, -0.0321986, 0.6743528]","[-0.1996722, 0.2363088, 1.193953]"
10,10,99,0.16699999999946158,-3.234484,-2.634968,-1.5036621005096844,-2.315974612407728,-9.245396,11.14578,True,12,"[-0.0389183, -0.0329791, 0.6742151]","[-0.1945239, 0.2354468, 1.195027]"
11,11,99,0.18400000000019645,-3.25753,-2.739691,-1.523024921198091,-2.4045041809336976,-9.092414,11.08724,True,12,"[-0.0389341, -0.0331856, 0.6746358]","[-0.191451, 0.2344247, 1.196283]"
