,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-6.08737,5.660615,-8.730977111184869,3.7962367943520636,14.40639,-13.0507,False,14,"[0.0283969, -0.1068821, 0.3615856]","[0.2222999, -0.2006, 0.8654]"
1,1,99,0.017200000000002547,-6.592329,8.314681,-9.957245182934424,6.3032583324257585,14.4064,-13.05069,False,14,"[0.029336, -0.110787, 0.3618984]","[0.2223, -0.2006, 0.8654001]"
2,2,99,0.03319999999996526,-6.662079,8.420912,-10.052898943166133,6.404044821334634,14.40641,-13.05069,False,14,"[0.0297115, -0.1101804, 0.3609126]","[0.2223002, -0.2006, 0.8654001]"
3,3,99,0.050299999999992906,-5.973415,7.130907,-9.040191499635128,5.1815643912125955,14.4064,-13.05069,False,14,"[0.0284608, -0.1113423, 0.3617796]","[0.2223, -0.2005999, 0.8654001]"
4,4,99,0.06979999999998654,-5.845919,6.994717,-8.88176699458854,5.052015355977701,14.4064,-13.05069,False,14,"[0.0279403, -0.1083564, 0.3623554]","[0.2223001, -0.2006, 0.8654]"
5,5,99,0.08350000000007185,-5.760685,6.199056,-8.576330157060777,4.301025661688598,14.4064,-13.05069,False,14,"[0.0277898, -0.1144678, 0.3620604]","[0.2223, -0.2005999, 0.8654]"
6,6,99,0.10000000000002274,-5.829835,5.998001,-8.584405402739476,4.112066036755687,14.40641,-13.0507,False,14,"[0.0276722, -0.1145399, 0.360894]","[0.2223001, -0.2006, 0.8653998]"
7,7,99,0.1168999999999869,-5.409175,5.353643,-8.006477949874824,3.5007539552779985,14.4064,-13.0507,False,14,"[0.027888, -0.1194229, 0.3605419]","[0.2222999, -0.2006001, 0.8654]"
8,8,99,0.13390000000003965,-5.075501,4.508665,-7.453516611512281,2.701051209843273,14.4064,-13.05068,False,14,"[0.0277785, -0.1190026, 0.3607969]","[0.2223, -0.2005999, 0.8654001]"
9,9,99,0.1510000000000673,-5.208566,4.86272,-7.678869581562248,3.0360753047342444,14.4064,-13.05069,False,14,"[0.0214842, -0.0804115, 0.3643573]","[0.2223001, -0.2005999, 0.8654]"
10,10,99,0.16700000000003,-5.163774,4.818648,-7.624280549124119,2.9941209065322028,14.4064,-13.05068,False,14,"[0.0215052, -0.0805043, 0.3644134]","[0.2223001, -0.2005998, 0.8654003]"
11,11,99,0.18370000000004438,-5.202492,4.617209,-7.603637821567721,2.8045282633387805,14.4064,-13.05069,False,14,"[-0.0258373, -0.1174813, 0.3610882]","[0.2223001, -0.2006, 0.8654]"
12,12,99,0.20060000000000855,-5.226117,4.798138,-7.677081598605493,2.975337029189167,14.4064,-13.05069,False,14,"[-0.0258171, -0.1164712, 0.3617474]","[0.2223, -0.2006, 0.8654001]"
13,13,99,0.21720000000004802,-5.221242,4.802761,-7.673807692156139,2.979652664626033,14.4064,-13.05069,False,14,"[-0.038977, 0.0386376, 0.3750443]","[0.2223001, -0.2005999, 0.8654003]"
14,14,99,0.2337999999999738,-5.100652,4.854658,-7.575136307772848,3.0275128387236974,14.4064,-13.05069,False,14,"[-0.0399848, 0.0371626, 0.374929]","[0.2223001, -0.2005999, 0.8654002]"
15,15,99,0.25099999999997635,-5.240753,5.401268,-7.861629819535283,3.5441601892379353,14.4064,-13.05069,False,14,"[-0.0435343, 0.0550528, 0.3766976]","[0.2223001, -0.2006, 0.8654002]"
16,16,99,0.2676000000000158,-5.313282,5.564357,-7.975996658808786,3.6985829769618297,14.4064,-13.05069,False,14,"[-0.044023, 0.0557967, 0.3769026]","[0.2223001, -0.2005999, 0.8654002]"
17,17,99,0.28480000000001837,-5.259347,6.276699,-8.12700668938117,4.369771912371807,14.40641,-13.05069,False,14,"[-0.0393308, 0.0470249, 0.375885]","[0.2223002, -0.2006, 0.8654001]"
18,18,99,0.30090000000006967,-5.455628,6.703166,-8.432294225552804,4.773636298926094,14.4064,-13.0507,False,14,"[-0.0385214, 0.0461609, 0.376237]","[0.2222999, -0.2006, 0.8653997]"
19,19,99,0.31770000000005894,-5.573731,7.231164,-8.692836959518552,5.272538492374151,14.4064,-13.05069,False,14,"[-0.0378961, 0.0408017, 0.375644]","[0.2223, -0.2005999, 0.8654]"
