,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-13.62982,6.543478,-13.612376810780871,7.8589055524908265,-12.97706,5.530488,False,0,"[-0.5187145, 0.2453798, 2.139237]","[-1.400922, 0.5886217, 6.079162]"
1,1,99,0.016999999999995907,-13.59249,6.65529,-13.580592678271683,7.954565654998525,-13.00009,5.519705,False,0,"[-0.5174143, 0.2496949, 2.139962]","[-1.403404, 0.5874288, 6.078768]"
2,2,99,0.033599999999978536,-13.60902,6.665963,-13.59676154102444,7.963360683419818,-12.94651,5.501204,False,0,"[-0.5180399, 0.2500855, 2.139846]","[-1.397756, 0.5855894, 6.080239]"
3,3,99,0.05020000000001801,-13.50711,6.648718,-13.498767910840396,7.950408277728878,-12.99624,5.44344,False,0,"[-0.5545627, 0.2691103, 2.308658]","[-1.403151, 0.579336, 6.079534]"
4,4,99,0.06740000000002055,-13.53256,6.637236,-13.522690378420684,7.940223239151145,-12.96576,5.460125,False,0,"[-0.5555908, 0.2686141, 2.308423]","[-1.399876, 0.581177, 6.080103]"
5,5,99,0.08339999999998327,-13.49608,6.567043,-13.48538418256409,7.8811725031803235,-13.02212,5.531374,False,0,"[-0.5750134, 0.2758101, 2.395826]","[-1.405693, 0.5886058, 6.078018]"
6,6,99,0.10009999999999764,-13.49694,6.581464,-13.486707967960024,7.893415359146768,-12.97287,5.531772,False,0,"[-0.5750609, 0.2764257, 2.395866]","[-1.400494, 0.5887761, 6.079337]"
7,7,99,0.11649999999997362,-13.46256,6.463674,-13.449752164841764,7.79387403299021,-13.00058,5.517867,False,0,"[-0.5557805, 0.2630305, 2.321675]","[-1.403468, 0.5872356, 6.078805]"
8,8,99,0.13330000000001974,-13.46912,6.432582,-13.454939324674024,7.767337377476341,-13.01799,5.544488,False,0,"[-0.55611, 0.2617773, 2.321877]","[-1.405265, 0.5900244, 6.078165]"
9,9,99,0.14999999999997726,-13.47655,6.615379,-13.468401990577291,7.922582844790355,-13.00825,5.543481,False,0,"[-0.66425, 0.3214619, 2.771798]","[-1.40418, 0.5899178, 6.078178]"
10,10,99,0.16699999999997317,-13.45271,6.617353,-13.445687258633878,7.924659544205774,-12.99173,5.556586,False,0,"[-0.6630904, 0.3215877, 2.772048]","[-1.402407, 0.591352, 6.078496]"
11,11,99,0.183400000000006,-13.59973,6.729759,-13.59010358247333,8.017740044672657,-13.02017,5.570255,False,0,"[-0.612533, 0.2987702, 2.53196]","[-1.405411, 0.5927426, 6.077744]"
12,12,99,0.2004000000000019,-13.60156,6.6948,-13.59063578667839,7.987995741982459,-12.99691,5.573705,False,0,"[-0.6126683, 0.2972281, 2.532166]","[-1.402947, 0.5931693, 6.078331]"
13,13,99,0.21649999999999636,-13.54958,6.70019,-13.541147081204151,7.993446726370381,-13.02051,5.556384,False,0,"[-0.5700577, 0.2778835, 2.365442]","[-1.40554, 0.5912956, 6.078138]"
14,14,99,0.23460000000000036,-13.55255,6.711373,-13.544374660007147,8.002902114388405,-13.01129,5.561502,False,0,"[-0.5701767, 0.2783464, 2.365398]","[-1.404548, 0.5918597, 6.078302]"
15,15,99,0.25,-13.45517,6.686437,-13.450442591605148,7.983336886951328,-13.00518,5.523991,False,0,"[-0.6517368, 0.3193505, 2.724066]","[-1.403962, 0.587883, 6.078719]"
16,16,99,0.2715000000000032,-13.47248,6.707522,-13.46771925846182,8.00096862801012,-12.98575,5.510218,False,0,"[-0.6525589, 0.3203434, 2.723868]","[-1.401953, 0.5864762, 6.079424]"
17,17,99,0.2833999999999719,-13.47125,6.660899,-13.464921132144735,7.961361613322616,-12.99707,5.530492,False,0,"[-0.5830002, 0.2842163, 2.43375]","[-1.40311, 0.5886019, 6.078954]"
18,18,99,0.3002999999999929,-13.47257,6.647366,-13.465711636635756,7.949837045146001,-12.96575,5.500298,False,0,"[-0.5830855, 0.2836462, 2.433859]","[-1.399867, 0.5854763, 6.080072]"
19,19,99,0.31680000000000064,-13.43164,6.645037,-13.426514558242419,7.948542318694294,-12.95819,5.509451,False,0,"[-0.6579361, 0.3209565, 2.754977]","[-1.399033, 0.5864611, 6.080119]"
20,20,99,0.33389999999997144,-13.38743,6.630749,-13.383766632516007,7.937137823577736,-12.96275,5.49065,False,0,"[-0.6558405, 0.3203338, 2.755611]","[-1.399571, 0.5844592, 6.080241]"
21,21,99,0.3550999999999931,-13.41791,6.631403,-13.412918549293012,7.937183715878055,-12.9757,5.522815,False,0,"[-0.6639144, 0.3235454, 2.782961]","[-1.400881, 0.5878468, 6.079647]"
22,22,99,0.36709999999999354,-13.41239,6.621751,-13.407307268067365,7.929072279321094,-12.95923,5.579594,False,0,"[-0.6636664, 0.3230876, 2.78311]","[-1.399023, 0.5939206, 6.079566]"
23,23,99,0.38349999999996953,-13.4879,6.688475,-13.4817929584202,7.984521475024373,-12.95281,5.605794,False,0,"[-0.7720426, 0.3774638, 3.218784]","[-1.398284, 0.5967182, 6.079473]"
24,24,99,0.40030000000001564,-13.44513,6.682518,-13.440711160356875,7.98017388694398,-12.95409,5.593762,False,0,"[-0.7696559, 0.3771999, 3.219427]","[-1.398468, 0.5954469, 6.079653]"
25,25,99,0.41660000000001673,-13.22823,6.675587,-13.23318273996322,7.9779119195201975,-13.00657,5.618305,False,0,"[-0.6540939, 0.3256756, 2.782576]","[-1.403982, 0.5979269, 6.078134]"
26,26,99,0.4338999999999942,-13.22992,6.688653,-13.235252581945577,7.988989195058233,-12.99319,5.614659,False,0,"[-0.6541724, 0.3263147, 2.782541]","[-1.402592, 0.5975813, 6.078591]"
27,27,99,0.4504000000000019,-13.43609,6.704813,-13.432847746290832,7.999274955867653,-13.03147,5.62076,False,0,"[-0.711639, 0.3501852, 2.978825]","[-1.406623, 0.5981296, 6.077523]"
28,28,99,0.46699999999998454,-13.39322,6.753203,-13.393561840314602,8.041121711601113,-13.04431,5.69525,False,0,"[-0.7093962, 0.3527921, 2.979298]","[-1.407828, 0.6060097, 6.076532]"
29,29,99,0.4836999999999989,-13.42311,6.868399,-13.426136355957231,8.138533371598184,-13.05425,5.659657,False,0,"[-0.7118541, 0.3592789, 2.982713]","[-1.408983, 0.6022162, 6.07672]"
30,30,99,0.5006999999999948,-13.45954,6.876775,-13.461243326213404,8.14504308679741,-13.04774,5.67517,False,0,"[-0.7137343, 0.3596586, 2.982194]","[-1.408249, 0.6038748, 6.076691]"
31,31,99,0.5167000000000144,-13.41992,6.752798,-13.419064426303887,8.04033074390133,-13.06337,5.614062,False,0,"[-0.7690718, 0.3816568, 3.223253]","[-1.410043, 0.5973508, 6.076897]"
32,32,99,0.5339999999999918,-13.42138,6.761455,-13.420761013493184,8.047664402632112,-13.05764,5.679018,False,0,"[-0.7691572, 0.3821499, 3.223247]","[-1.409295, 0.6042613, 6.076433]"
33,33,99,0.5500000000000114,-13.44492,6.724164,-13.441959889602275,8.0155747539263,-13.07653,5.651835,False,0,"[-0.7996603, 0.3943759, 3.344987]","[-1.411363, 0.6013315, 6.076245]"
34,34,99,0.5674000000000206,-13.43695,6.752919,-13.435343884093227,8.040148649062523,-13.07429,5.67603,False,0,"[-0.7991519, 0.39607, 3.344919]","[-1.411075, 0.6039064, 6.076082]"
35,35,99,0.5833000000000084,-13.52398,6.580037,-13.512499916401223,7.891750045554055,-13.07033,5.673934,False,0,"[-0.6934978, 0.3325923, 2.88331]","[-1.410667, 0.6036968, 6.076231]"
36,36,99,0.6005000000000109,-13.54552,6.574694,-13.532899329517308,7.886848320199956,-13.09941,5.695749,False,0,"[-0.6945987, 0.3322978, 2.883118]","[-1.413705, 0.605942, 6.075317]"
37,37,99,0.616800000000012,-13.59218,6.79836,-13.585275739094726,8.076174341353624,-13.08447,5.648234,False,0,"[-0.696422, 0.3433813, 2.880383]","[-1.412258, 0.6009494, 6.076281]"
38,38,99,0.6331000000000131,-13.57139,6.810819,-13.565840747659648,8.087111819530765,-13.09663,5.691132,False,0,"[-0.6953744, 0.3440455, 2.880625]","[-1.41345, 0.6054718, 6.075561]"
39,39,99,0.650100000000009,-13.58083,6.809387,-13.574812537363993,8.085736732944358,-13.12007,5.673421,False,0,"[-0.7850379, 0.3880449, 3.249714]","[-1.415976, 0.6035348, 6.075154]"
40,40,99,0.6675000000000182,-13.62582,6.831362,-13.618573427939232,8.103661804986748,-13.1066,5.670989,False,0,"[-0.7875642, 0.3892228, 3.248993]","[-1.414567, 0.6033156, 6.075569]"
41,41,99,0.6832999999999743,-13.57438,6.691946,-13.564561049564363,7.986024727552259,-13.13786,5.662188,False,0,"[-0.8470812, 0.4116277, 3.508276]","[-1.41794, 0.6023215, 6.075048]"
42,42,99,0.7011999999999716,-13.54233,6.706259,-13.534429616129222,7.998726426194672,-13.1521,5.692095,False,0,"[-0.8451276, 0.4125763, 3.508786]","[-1.419381, 0.6054593, 6.0744]"
43,43,99,0.7167999999999779,-13.60615,6.676981,-13.59440220051908,7.972773541113291,-13.15293,5.686005,False,0,"[-0.9792838, 0.4736449, 4.045974]","[-1.419486, 0.6048127, 6.074455]"
44,44,99,0.733600000000024,-13.60413,6.682788,-13.592673828322768,7.977743045468868,-13.17581,5.691209,False,0,"[-0.9791574, 0.4740726, 4.046077]","[-1.421926, 0.6053193, 6.073946]"
45,45,99,0.7500999999999749,-13.56963,6.690147,-13.559958953741843,7.98457512827534,-13.17617,5.67735,False,0,"[-0.8736235, 0.4245648, 3.61952]","[-1.422018, 0.6038574, 6.074167]"
46,46,99,0.7669999999999959,-13.53751,6.731135,-13.530689003238162,8.019950629364828,-13.17585,5.691241,False,0,"[-0.8715374, 0.4272198, 3.619772]","[-1.421977, 0.6053426, 6.074147]"
47,47,99,0.7835000000000036,-13.57541,6.714136,-13.566317688308134,8.004868063303464,-13.17997,5.673741,False,0,"[-0.9528614, 0.4645435, 3.946068]","[-1.422489, 0.6034904, 6.074361]"
48,48,99,0.8009000000000128,-13.55961,6.71938,-13.551400438308768,8.009589603218071,-13.18877,5.655873,False,0,"[-0.9517642, 0.4649361, 3.946292]","[-1.423489, 0.6015844, 6.074433]"
49,49,99,0.816599999999994,-13.61691,6.669559,-13.604427016733204,7.966285119991772,-13.18806,5.689056,False,0,"[-0.7483239, 0.3612348, 3.08921]","[-1.423291, 0.6050866, 6.073925]"
50,50,99,0.8346000000000231,-13.61843,6.69855,-13.606888637041129,7.990900822002736,-13.21358,5.674742,False,0,"[-0.7483866, 0.3628079, 3.089111]","[-1.426073, 0.6035239, 6.07362]"
51,51,99,0.8505999999999858,-13.61084,6.719354,-13.600359068488602,8.008710342587506,-13.20565,5.626988,False,0,"[-0.6967148, 0.3390132, 2.877493]","[-1.425334, 0.5984738, 6.074245]"
52,52,99,0.8677999999999884,-13.58065,6.686995,-13.57038085750543,7.981711677841741,-13.20769,5.582667,False,0,"[-0.6952556, 0.337436, 2.878094]","[-1.425661, 0.5937713, 6.07467]"
53,53,99,0.8836999999999762,-13.68294,6.714079,-13.669080077067282,8.003020462856654,-13.23214,5.562195,False,0,"[-0.7972876, 0.3855215, 3.274843]","[-1.428292, 0.5915369, 6.074225]"
54,54,99,0.9005999999999972,-13.67766,6.70444,-13.663698611713784,7.994916060161785,-13.21969,5.593365,False,0,"[-0.7970265, 0.3849912, 3.275084]","[-1.426899, 0.5948726, 6.074223]"
55,55,99,0.9171000000000049,-13.74253,6.726248,-13.726452627407692,8.012366564281194,-13.2966,5.622527,False,0,"[-0.8971369, 0.432638, 3.668368]","[-1.435006, 0.5977863, 6.072113]"
56,56,99,0.9341999999999757,-13.77421,6.732019,-13.756929450303875,8.016741614007683,-13.32922,5.627283,False,0,"[-0.8991512, 0.4329472, 3.667814]","[-1.43848, 0.598222, 6.07137]"
57,57,99,0.9502999999999702,-13.77072,6.647683,-13.750658944552798,7.945117944526533,-13.32253,5.556806,False,0,"[-0.7647102, 0.3636541, 3.120225]","[-1.437917, 0.5907584, 6.072153]"
58,58,99,0.9673000000000229,-13.76688,6.538893,-13.743202868214581,7.852715256735266,-13.36232,5.608602,False,0,"[-0.7646613, 0.3577314, 3.120931]","[-1.442041, 0.5961637, 6.070764]"
59,59,99,0.9836999999999989,-13.69466,6.572805,-13.675363842783526,7.882747393207399,-13.36651,5.619861,False,0,"[-0.690619, 0.3265628, 2.834181]","[-1.442489, 0.5973593, 6.070673]"
60,60,99,1.0006999999999948,-13.70409,6.482424,-13.68123034837535,7.805769554518294,-13.37686,5.643045,False,0,"[-0.69122, 0.3220834, 2.83462]","[-1.443592, 0.5998169, 6.070443]"
61,61,99,1.0172000000000025,-13.79794,6.66339,-13.777219236958267,7.958012800627815,-13.39542,5.641585,False,0,"[-0.8093138, 0.3849915, 3.295447]","[-1.445525, 0.5996002, 6.06983]"
62,62,99,1.0341999999999985,-13.81449,6.622132,-13.791599838153537,7.922668322437486,-13.3691,5.59385,False,0,"[-0.8103598, 0.3826036, 3.295596]","[-1.442863, 0.5946115, 6.071027]"
63,63,99,1.0507000000000062,-13.77514,6.702885,-13.756804271437751,7.991963375485618,-13.45041,5.583861,False,0,"[-0.7030451, 0.3370188, 2.867658]","[-1.451464, 0.5933369, 6.06892]"
