,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-13.51887,5.448229,-13.380069145417492,5.211871243315046,-12.58485,7.511827,False,13,"[-0.1524504, 0.0812977, 0.9168508]","[-0.1985945, 0.1173003, 0.8895652]"
1,1,99,0.01649999999997931,-14.72752,6.101967,-14.598399632605934,5.874220133042704,-12.86005,6.902416,False,13,"[-0.1516955, 0.0824536, 0.9167799]","[-0.2033387, 0.1078218, 0.8906768]"
2,2,99,0.033299999999997,-14.70691,6.241002,-14.572588628292882,6.014905848611962,-13.16162,6.389219,False,13,"[-0.1484652, 0.0862662, 0.8662685]","[-0.208764, 0.099969, 0.8927597]"
3,3,99,0.04999999999998295,-15.14644,6.75124,-15.006501359638932,6.531536852824913,-13.47242,6.014181,False,13,"[-0.1477753, 0.0853033, 0.8663574]","[-0.2138512, 0.0940444, 0.892647]"
4,4,99,0.06680000000000064,-15.19232,6.783712,-15.05249209668356,6.564427358594087,-13.65648,5.75135,False,13,"[-0.1544198, 0.0791569, 0.8430189]","[-0.2174025, 0.0901203, 0.8947741]"
5,5,99,0.08329999999997995,-15.00579,6.921878,-14.856452045344266,6.704125740258729,-13.77896,5.344811,False,13,"[-0.1540104, 0.0798636, 0.8426377]","[-0.2195128, 0.0837435, 0.8951151]"
6,6,99,0.09999999999999432,-15.06449,6.938562,-14.916127381529956,6.721047617565066,-13.83905,5.167669,False,13,"[-0.1630392, 0.0732388, 0.8652045]","[-0.2208034, 0.0810609, 0.8963129]"
7,7,99,0.11669999999998026,-15.06488,7.141269,-14.909730395186829,6.926181089839135,-14.20728,5.197373,False,13,"[-0.1622093, 0.0724772, 0.8651779]","[-0.2262247, 0.0812785, 0.8935538]"
8,8,99,0.13339999999999463,-15.01631,7.109745,-14.860947536326861,6.894248180894189,-14.32666,5.215191,False,13,"[-0.1801981, 0.0749749, 0.9078145]","[-0.2286725, 0.081725, 0.8953768]"
9,9,99,0.15529999999998267,-15.04896,7.150084,-14.89309856171747,6.935091241245151,-14.89165,5.221343,False,13,"[-0.1767024, 0.0722178, 0.9107979]","[-0.2369393, 0.0814226, 0.8910059]"
10,10,99,0.16689999999999827,-15.04462,7.215112,-14.886464564148776,7.000894744092097,-15.31383,5.107661,False,13,"[-0.1734345, 0.0688489, 0.8430561]","[-0.244094, 0.0796766, 0.8914121]"
11,11,99,0.18359999999998422,-15.06148,7.399177,-14.897593311272704,7.1871738024816665,-15.74264,5.155427,False,13,"[-0.1731624, 0.071111, 0.84281]","[-0.250147, 0.0800629, 0.8873907]"
12,12,99,0.20019999999999527,-15.14666,7.473011,-14.982524642996095,7.261946938879443,-15.86126,5.53647,False,13,"[-0.219525, 0.086473, 0.9144053]","[-0.2515411, 0.0858148, 0.8853136]"
13,13,99,0.21719999999999118,-14.77345,7.546349,-14.597097425462842,7.335919950928087,-15.84911,5.680516,False,13,"[-0.2197978, 0.0871936, 0.9141976]","[-0.2515336, 0.0881304, 0.8860017]"
14,14,99,0.23339999999998895,-14.8983,7.622019,-14.722674414201002,7.412576868343753,-16.12562,5.719497,False,13,"[-0.2521466, 0.1025474, 0.9592484]","[-0.255511, 0.0885143, 0.8837554]"
15,15,99,0.25,-14.47692,7.665227,-14.2888280526169,7.456027916564967,-16.37587,5.644988,False,13,"[-0.2517859, 0.1049057, 0.9592794]","[-0.2591911, 0.0871828, 0.8820273]"
16,16,99,0.2664999999999793,-14.57478,7.620907,-14.390732865908092,7.411241105436106,-16.59902,5.222322,False,13,"[-0.233977, 0.1023241, 0.8643713]","[-0.2631647, 0.08069, 0.8828235]"
17,17,99,0.283299999999997,-13.74204,7.775533,-13.531034906355556,7.567176131709917,-16.66147,4.845335,False,13,"[-0.2347091, 0.102816, 0.864331]","[-0.264467, 0.0749083, 0.8836728]"
18,18,99,0.2998999999999796,-13.91774,7.866618,-13.708274535373885,7.659465631144789,-16.80473,4.424545,False,13,"[-0.2281496, 0.1033269, 0.8511221]","[-0.2674983, 0.0685351, 0.8857325]"
19,19,99,0.31639999999998736,-12.96426,7.806045,-12.731895743050762,7.597547378273177,-16.73152,4.049287,False,13,"[-0.2290335, 0.1035552, 0.8509322]","[-0.2666176, 0.0627855, 0.88691]"
20,20,99,0.33329999999997995,-13.03275,7.896514,-12.799142887976682,7.689143763476972,-16.73342,3.805478,False,13,"[-0.2364888, 0.1100791, 0.8786076]","[-0.2670687, 0.0590864, 0.8883036]"
21,21,99,0.3553999999999746,-14.69639,4.931552,-14.605702126290156,4.689776078733747,-16.74609,3.492225,False,13,"[-0.2366004, 0.1100113, 0.8820003]","[-0.2678392, 0.0543228, 0.8901522]"
22,22,99,0.3668999999999869,-14.7771,5.007813,-14.685965201949475,4.7670023563323145,-16.85387,3.23381,False,13,"[-0.2268139, 0.1058245, 0.8435968]","[-0.2694122, 0.0502468, 0.8893133]"
23,23,99,0.3832999999999913,-13.74039,4.094508,-13.652774117934534,3.842091534342618,-16.83288,3.039166,False,13,"[-0.2268026, 0.1068241, 0.8438097]","[-0.2690349, 0.0472128, 0.8892422]"
24,24,99,0.39979999999999905,-13.59894,4.038196,-13.509513987761059,3.7850135161143514,-16.58228,2.828144,False,13,"[-0.2419202, 0.1167464, 0.8989986]","[-0.2654063, 0.0440304, 0.8912944]"
25,25,99,0.416499999999985,-11.95907,3.717603,-11.837517674836773,3.4595165559832326,-16.42221,2.610384,False,13,"[-0.2431821, 0.1178413, 0.8983634]","[-0.2626264, 0.0406243, 0.8910527]"
26,26,99,0.4334999999999809,-11.8598,3.643841,-11.738125528092699,3.3848071156617996,-16.06827,2.405179,False,13,"[-0.2319396, 0.1165131, 0.8795061]","[-0.2580314, 0.0376276, 0.8958327]"
27,27,99,0.44999999999998863,-10.11317,3.192204,-9.960972016473283,2.9266282293992774,-15.81177,2.320481,False,13,"[-0.2338078, 0.1176033, 0.878819]","[-0.2538041, 0.0363169, 0.8962219]"
28,28,99,0.4665999999999997,-10.05488,3.18037,-9.901554769758254,2.9146146688948376,-15.4809,2.065332,False,13,"[-0.2276544, 0.118671, 0.8817395]","[-0.2487399, 0.0323873, 0.8980896]"
29,29,99,0.48339999999998895,-8.630263,2.899699,-8.449100849428334,2.629657563240907,-15.13773,1.956941,False,13,"[-0.2291769, 0.1179331, 0.8814139]","[-0.2428031, 0.0306667, 0.8975183]"
30,30,99,0.5,-8.496763,2.976875,-8.309522454282247,2.707670446623461,-14.91618,1.702917,False,13,"[-0.2156679, 0.1204206, 0.8818924]","[-0.2395604, 0.0267368, 0.8993125]"
31,31,99,0.516699999999986,-7.293824,2.956416,-7.0758171386243855,2.6861840460849153,-14.46217,1.485998,False,13,"[-0.2183671, 0.1217548, 0.8812107]","[-0.2329993, 0.0234355, 0.9034016]"
32,32,99,0.533299999999997,-7.051425,2.920641,-6.8282799223767405,2.649823168660828,-13.90264,1.31802,False,13,"[-0.2010462, 0.1197227, 0.8733121]","[-0.2239548, 0.0208171, 0.9047804]"
