,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,5.367337,-7.864972,12.570253238104213,-9.921666298635584,7.136884,-7.718518,False,16,"[0.0648452, -0.0948556, 0.6958504]","[0.132931, -0.1438916, 1.061661]"
1,1,99,0.016999999999939064,5.069751,-7.785899,12.169729411990362,-9.808872965264863,7.136872,-7.718516,False,16,"[0.0660653, -0.09937, 0.7255412]","[0.1329308, -0.1438916, 1.061661]"
2,2,99,0.033599999999978536,5.070687,-7.80355,12.183204708098161,-9.828203009747499,7.136875,-7.718519,False,16,"[0.0662969, -0.0988974, 0.7256386]","[0.1329308, -0.1438917, 1.061661]"
3,3,99,0.05079999999998108,5.00589,-7.890307,12.16897864518762,-9.91701587395259,7.136865,-7.718516,False,16,"[0.0671988, -0.0955978, 0.7049344]","[0.1329307, -0.1438916, 1.061661]"
4,4,99,0.0667999999999438,5.01324,-7.907719,12.189722510686332,-9.936658054047427,7.136859,-7.718519,False,16,"[0.0668882, -0.0952053, 0.705017]","[0.1329305, -0.1438917, 1.061661]"
5,5,99,0.08349999999995816,5.403695,-7.670355,12.47579512984751,-9.712704564753375,7.136872,-7.71852,False,16,"[0.067492, -0.0986544, 0.7246195]","[0.1329308, -0.1438917, 1.061661]"
6,6,99,0.10009999999999764,4.985027,-7.754706,12.04960524816972,-9.767295009971889,7.13687,-7.718516,False,16,"[0.0673839, -0.0985912, 0.7246596]","[0.1329308, -0.1438917, 1.061662]"
7,7,99,0.1169999999999618,5.037064,-7.715545,12.082447454910099,-9.729240916976808,7.136874,-7.718519,False,16,"[0.0671796, -0.0994183, 0.7397593]","[0.1329308, -0.1438917, 1.061661]"
8,8,99,0.13350000000002638,5.014696,-7.715231,12.056293780136622,-9.726901182167538,7.136876,-7.718514,False,16,"[0.0669205, -0.0994837, 0.739737]","[0.1329309, -0.1438916, 1.061661]"
9,9,99,0.151299999999992,5.252726,-7.740676,12.350124769482486,-9.77590105157473,7.136866,-7.718521,False,16,"[0.0684515, -0.0966583, 0.7158838]","[0.1329306, -0.1438917, 1.061661]"
10,10,99,0.16689999999994143,5.271762,-7.768028,12.391394656114757,-9.80742520525223,7.13687,-7.718519,False,16,"[0.0686149, -0.0968456, 0.7158772]","[0.1329307, -0.1438916, 1.061661]"
11,11,99,0.1836999999999307,5.411456,-7.660095,12.477591165931837,-9.702210188114163,7.136874,-7.71852,False,16,"[0.0657566, -0.0965853, 0.7189799]","[0.1329308, -0.1438917, 1.061661]"
12,12,99,0.20029999999997017,5.406053,-7.709885,12.50627702755544,-9.756018217749467,7.136864,-7.718522,False,16,"[0.0656108, -0.0970044, 0.719028]","[0.1329306, -0.1438917, 1.061661]"
