,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-4.27928,-1.26622,-3.174812457588427,-1.9713452709351982,-2.662993,-2.372773,False,0,"[-0.1552883, -0.0458711, 2.075306]","[-0.291836, -0.2599924, 6.274493]"
1,1,99,0.016899999999964166,-4.176959,-1.851194,-2.8930078192499544,-2.5125864298115586,-2.734338,-2.393917,False,0,"[-0.1879337, -0.083172, 2.573338]","[-0.2996411, -0.2622898, 6.273965]"
2,2,99,0.03339999999991505,-4.183935,-1.863718,-2.8956473278015813,-2.5245957067946545,-2.752887,-2.433041,False,0,"[-0.188246, -0.0837339, 2.573301]","[-0.3016715, -0.2665766, 6.273851]"
3,3,99,0.05019999999990432,-4.281103,-1.940717,-2.9632299045970223,-2.6009264176603915,-2.720126,-2.400699,True,0,"[-0.1580704, -0.0715507, 2.111584]","[-0.2980931, -0.263044, 6.274211]"
4,4,99,0.0667999999999438,-4.28231,-1.992889,-2.94787266513333,-2.649673224370358,-2.699903,-2.397755,True,0,"[-0.1581045, -0.0734708, 2.111441]","[-0.2958913, -0.2627367, 6.274584]"
5,5,99,0.08349999999995816,-4.375516,-1.859905,-3.0781130848178253,-2.529847932990382,-2.681105,-2.394493,False,0,"[-0.1364142, -0.0578933, 1.78282]","[-0.2938251, -0.2623763, 6.274522]"
6,6,99,0.10009999999999764,-4.386671,-1.834044,-3.096845580472483,-2.506225293695687,-2.736149,-2.465117,False,0,"[-0.1367604, -0.0570865, 1.782782]","[-0.2998464, -0.2701061, 6.2741]"
7,7,99,0.11659999999994852,-4.16954,-2.215546,-2.7707634457808483,-2.8522891470986096,-2.66255,-2.491664,True,0,"[-0.1564612, -0.0830326, 2.146217]","[-0.2917855, -0.2730339, 6.27445]"
8,8,99,0.1334999999999127,-4.14763,-2.178075,-2.7618838827566337,-2.8163104155161864,-2.715216,-2.557967,True,0,"[-0.1556443, -0.0816311, 2.146329]","[-0.2975447, -0.2802891, 6.27401]"
9,9,99,0.15009999999995216,-4.010601,-2.359812,-2.5747633829575753,-2.9796206790423914,-2.683239,-2.552554,False,0,"[-0.1895436, -0.111407, 2.703412]","[-0.2940443, -0.2797036, 6.274199]"
10,10,99,0.16669999999999163,-4.028873,-2.362216,-2.591290754259627,-2.982704625918302,-2.686269,-2.521966,False,0,"[-0.1904061, -0.1115184, 2.703356]","[-0.2943947, -0.2763643, 6.274582]"
11,11,99,0.183400000000006,-4.322967,-2.274087,-2.897411446048541,-2.9139806602469727,-2.686578,-2.493122,False,0,"[-0.1632615, -0.0857654, 2.15973]","[-0.2944331, -0.2732036, 6.274676]"
12,12,99,0.20029999999997017,-4.348079,-2.239004,-2.932265458344002,-2.882393159723017,-2.682569,-2.5161,False,0,"[-0.1642081, -0.0844381, 2.159658]","[-0.293999, -0.2757304, 6.274802]"
13,13,99,0.21679999999992106,-4.020571,-2.015011,-2.6932383896758747,-2.6582819195114236,-2.674056,-2.474346,True,0,"[-0.1577735, -0.0789749, 2.244684]","[-0.2930708, -0.2711546, 6.274934]"
14,14,99,0.23339999999996053,-4.039768,-2.043949,-2.70224964254669,-2.686172166838834,-2.692935,-2.404634,True,0,"[-0.158516, -0.0801033, 2.244497]","[-0.2951627, -0.2635237, 6.275355]"
15,15,99,0.2501999999999498,-3.916244,-1.822116,-2.6555342004,-2.4734580743786765,-2.697087,-2.391021,True,0,"[-0.1134495, -0.0527203, 1.657213]","[-0.2956131, -0.2620254, 6.275241]"
16,16,99,0.26689999999996417,-3.96398,-1.800722,-2.707464285418446,-2.455686780602704,-2.680383,-2.32683,True,0,"[-0.1148466, -0.0521054, 1.657356]","[-0.2938125, -0.2550116, 6.275944]"
17,17,99,0.28389999999990323,-3.982154,-1.779083,-2.731502451844746,-2.436327271501987,-2.715554,-2.320686,False,0,"[-0.1470829, -0.0656266, 2.112841]","[-0.2976618, -0.2543274, 6.275696]"
18,18,99,0.3005999999999176,-3.982643,-1.808083,-2.722793958184294,-2.4634149987708343,-2.762625,-2.285117,False,0,"[-0.147103, -0.066698, 2.112869]","[-0.3028326, -0.250428, 6.275764]"
19,19,99,0.3166999999999689,-3.971856,-1.945083,-2.6692623130360675,-2.590778820913588,-2.747013,-2.262568,False,0,"[-0.1301137, -0.0636412, 1.87394]","[-0.3011169, -0.2479527, 6.275728]"
20,20,99,0.33330000000000837,-3.998827,-1.913539,-2.7047559784576687,-2.562579708403679,-2.737161,-2.202514,False,0,"[-0.1309986, -0.0626076, 1.873919]","[-0.3000579, -0.2413831, 6.2762]"
21,21,99,0.3851999999999407,-4.324162,-1.366411,-3.1855914613734955,-2.0669160651692176,-2.750199,-2.17711,False,0,"[-0.1351643, -0.0426381, 1.787545]","[-0.3014741, -0.2385842, 6.275881]"
22,22,99,0.3973999999999478,-4.390925,-1.324221,-3.2621001631036246,-2.0306112503606277,-2.809797,-2.200047,False,0,"[-0.137236, -0.0413141, 1.787242]","[-0.3079963, -0.2410835, 6.275448]"
23,23,99,0.41019999999991796,-4.428936,-1.373178,-3.2825809051844,-2.078050170151286,-2.83093,-2.239453,False,0,"[-0.1385, -0.0428641, 1.788162]","[-0.3103318, -0.2454182, 6.275757]"
24,24,99,0.42639999999994416,-4.311484,-1.408027,-3.160435550450448,-2.1051725520237383,-2.777981,-2.238944,False,0,"[-0.1218975, -0.0397416, 1.61685]","[-0.3045051, -0.2453518, 6.275487]"
25,25,99,0.45240000000001146,-4.648591,-1.315308,-3.508703563768463,-2.034142986657189,-2.690417,-2.245734,False,0,"[-0.1145687, -0.0323515, 1.409006]","[-0.294915, -0.2461153, 6.275965]"
26,26,99,0.4692000000000007,-4.6669,-1.309303,-3.5279252589097405,-2.0293806494074005,-2.669635,-2.229508,False,0,"[-0.1150118, -0.0322009, 1.408882]","[-0.2926402, -0.2443409, 6.276108]"
27,27,99,0.4856999999999516,-4.802959,-1.437116,-3.6162338995026913,-2.1549238599148373,-2.622589,-2.150892,False,0,"[-0.1429169, -0.0426716, 1.700899]","[-0.2875018, -0.2357379, 6.276673]"
28,28,99,0.5027000000000044,-4.829631,-1.410694,-3.6498248582513417,-2.131491277367556,-2.560356,-2.1568,False,0,"[-0.1437035, -0.0418836, 1.70077]","[-0.280694, -0.2364061, 6.277203]"
29,29,99,0.5197999999999183,-4.534964,-1.622509,-3.304046766367441,-2.315623064409495,-2.568705,-2.116669,False,0,"[-0.1307502, -0.0466943, 1.648477]","[-0.2816234, -0.2320138, 6.277489]"
30,30,99,0.536899999999946,-4.518862,-1.591195,-3.2987151775665193,-2.2856576736322216,-2.581623,-2.133676,False,0,"[-0.1302721, -0.0457884, 1.648326]","[-0.2830403, -0.2338787, 6.277462]"
31,31,99,0.5536999999999352,-4.030569,-1.573034,-2.842471461651833,-2.2462516347274546,-2.593855,-2.070694,False,0,"[-0.1154285, -0.0449859, 1.638144]","[-0.2843895, -0.226974, 6.277601]"
32,32,99,0.5744999999999436,-4.014111,-1.501395,-2.8495556934273902,-2.178635191255905,-2.595598,-2.070835,False,0,"[-0.1149904, -0.0429492, 1.638639]","[-0.2845886, -0.2269956, 6.27777]"
33,33,99,0.5920999999999594,-4.181931,-1.42405,-3.032794773260281,-2.1141684011879462,-2.617524,-2.053667,False,0,"[-0.1468568, -0.0499298, 2.008481]","[-0.2869899, -0.2251073, 6.277637]"
34,34,99,0.6039999999999281,-4.167961,-1.426509,-3.018799732317402,-2.115820864366605,-2.701702,-2.059616,False,0,"[-0.1463673, -0.050017, 2.008519]","[-0.2962265, -0.2257552, 6.277505]"
35,35,99,0.6203999999999041,-4.172231,-1.264239,-3.0741570194830747,-1.9645732359370056,-2.720094,-2.070259,False,0,"[-0.1173945, -0.0355149, 1.609287]","[-0.2982326, -0.2269125, 6.277219]"
36,36,99,0.6374999999999318,-4.140644,-1.245938,-3.050059341736086,-1.9460405133611118,-2.725427,-2.076372,False,0,"[-0.1164987, -0.0349995, 1.609233]","[-0.298826, -0.227589, 6.277383]"
37,37,99,0.6542999999999211,-4.15009,-1.106027,-3.1032428245881434,-1.815898228497677,-2.784689,-2.170944,False,0,"[-0.1251366, -0.0332955, 1.724603]","[-0.3053002, -0.2379385, 6.276694]"
38,38,99,0.6713999999999487,-4.206989,-1.095651,-3.160357864649539,-1.8088312663440238,-2.820287,-2.228097,False,0,"[-0.1268413, -0.0329787, 1.72437]","[-0.3091991, -0.2442008, 6.276487]"
39,39,99,0.6877999999999247,-4.241162,-0.7824349,-3.2917433617859553,-1.5180832904266826,-2.787334,-2.295176,False,0,"[-0.1081714, -0.0199209, 1.458667]","[-0.3055708, -0.2515523, 6.276286]"
40,40,99,0.7048999999999523,-4.252684,-0.817088,-3.2916857112506355,-1.5509543751751567,-2.77617,-2.305216,False,0,"[-0.108457, -0.0208015, 1.458541]","[-0.3043563, -0.2526634, 6.276518]"
41,41,99,0.720899999999915,-4.555831,-1.324197,-3.418129730916256,-2.0381729027324473,-2.757204,-2.334979,False,0,"[-0.1487266, -0.0431454, 1.866496]","[-0.3022704, -0.2559263, 6.276449]"
42,42,99,0.738399999999956,-4.600774,-1.271411,-3.4773448952844577,-1.990975504888686,-2.76546,-2.402117,False,0,"[-0.15018, -0.0414194, 1.866246]","[-0.3031657, -0.2632837, 6.276216]"
43,43,99,0.7542999999999438,-4.371279,-1.228118,-3.2739047981378717,-1.9400163287637673,-2.754884,-2.482283,False,0,"[-0.1669915, -0.0468326, 2.184563]","[-0.301975, -0.2720546, 6.275604]"
44,44,99,0.7715999999999212,-4.408081,-1.27887,-3.292674010439308,-1.989074891375816,-2.734618,-2.518377,False,0,"[-0.1683832, -0.0487629, 2.184308]","[-0.2997499, -0.2760152, 6.275596]"
