,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-5.581683,8.858858,21.254770294048022,-3.5315183737558,-3.976705,7.768312,False,11,"[-0.0564046, 0.089956, 0.5771583]","[-0.0412321, 0.080912, 0.5931112]"
1,1,99,0.01690000000002101,-5.486748,8.569971,21.145196140878575,-3.5844938979349275,-4.189506,8.196356,False,11,"[-0.055457, 0.0870054, 0.5773429]","[-0.0433893, 0.0853184, 0.5923354]"
2,2,99,0.03350000000000364,-4.808514,8.517335,21.083577493967624,-3.3722757507727934,-3.82184,8.277274,False,11,"[-0.0489611, 0.0871643, 0.5820255]","[-0.0397375, 0.086538, 0.5948482]"
3,3,99,0.04980000000000473,-4.78,8.431374,21.05095597640645,-3.3879500788224144,-3.667348,8.099493,False,11,"[-0.0486466, 0.0862313, 0.5817526]","[-0.038406, 0.0852742, 0.5992054]"
4,4,99,0.066599999999994,-3.932365,8.36542,20.973885578503744,-3.122776963522437,-3.597678,8.389791,False,11,"[-0.0417626, 0.0893388, 0.6075382]","[-0.0376453, 0.0883056, 0.5987422]"
5,5,99,0.08330000000000837,-3.995093,8.486662,21.021314656635717,-3.10822615186939,-3.45957,8.643226,False,11,"[-0.0424143, 0.0906172, 0.6073007]","[-0.0361105, 0.0907968, 0.597318]"
6,6,99,0.0998000000000161,-3.437685,8.63829,21.040557178802462,-2.876577112507105,-3.416503,8.724178,False,11,"[-0.0338374, 0.0855746, 0.5632896]","[-0.0356423, 0.0916153, 0.5970234]"
7,7,99,0.11660000000000537,-3.435852,8.554911,21.010543038496916,-2.900449693290075,-3.57496,8.907557,False,11,"[-0.0337658, 0.0846021, 0.5623986]","[-0.0371284, 0.0931426, 0.5942831]"
8,8,99,0.13349999999999795,-3.160565,8.76053,21.06692602462773,-2.747649295067609,-3.256564,8.853991,False,11,"[-0.0315681, 0.0881001, 0.5716967]","[-0.0340439, 0.0932025, 0.5983218]"
9,9,99,0.14960000000002083,-3.084601,8.492363,20.965977394316795,-2.8009078750692034,-3.524878,8.938101,False,11,"[-0.0308102, 0.085369, 0.5717386]","[-0.0368284, 0.0940327, 0.5978786]"
