,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-10.67453,2.443502,-10.846345361390787,1.8534899504876696,0.01720107,0.06306987,False,0,"[-0.2178457, 0.0493186, 1.155732]","[0.0003, 0.0011, 0.9993]"
1,1,99,0.016799999999989268,-10.72831,2.50175,-10.905475691444915,1.895580559553438,0.0171985,0.06306947,False,0,"[-0.2044237, 0.0471414, 1.078959]","[0.0003, 0.0011, 0.9993]"
2,2,99,0.033299999999997,-10.72648,2.522531,-10.904954079159937,1.9126789862392883,0.01720021,0.06306814,False,0,"[-0.2043266, 0.0475192, 1.078635]","[0.0003, 0.0011, 0.9993001]"
3,3,99,0.04989999999997963,-11.94931,2.426421,-12.15642633816024,1.713309981812404,0.01720875,0.06306943,False,0,"[-0.4371621, 0.0875315, 2.06567]","[0.0003001, 0.0011, 0.9993001]"
4,4,99,0.0665000000000191,-11.92163,2.503222,-12.132984212548186,1.7785731188576215,0.01719722,0.06307113,False,0,"[-0.4361221, 0.090306, 2.065683]","[0.0002999, 0.0011, 0.9992999]"
5,5,99,0.08330000000000837,-5.66518,2.544483,-5.70049437640348,2.431902579006061,0.01720705,0.06306866,False,0,"[-0.2049079, 0.0917935, 2.065614]","[0.0003001, 0.0011, 0.9993001]"
6,6,99,0.10019999999997253,-5.65341,2.518141,-5.686663332849185,2.4116242827460725,0.01719551,0.06306954,False,0,"[-0.2044719, 0.0908386, 2.065538]","[0.0002999, 0.0011, 0.9993002]"
7,7,99,0.11660000000000537,-0.3272254,2.693451,-0.21979286259403397,3.0819302284372916,0.01720278,0.06307034,False,0,"[-0.0056647, 0.0466609, 0.9918503]","[0.0003, 0.0011, 0.9992999]"
8,8,99,0.13330000000001974,-0.350478,2.678081,-0.24270339427042387,3.067114684016214,0.01720192,0.06306852,False,0,"[-0.0060648, 0.0463754, 0.9914491]","[0.0003, 0.0011, 0.9993001]"
9,9,99,0.14979999999997062,-0.3119582,2.895264,-0.21730352108518525,3.24773210990392,0.01720277,0.0630689,False,0,"[-0.0053727, 0.0499058, 0.9867686]","[0.0003, 0.0011, 0.9993001]"
10,10,99,0.16660000000001673,-0.2910441,2.88622,-0.19519975261287392,3.242441347339824,0.01719979,0.06306933,False,0,"[-0.0050112, 0.0497371, 0.9865198]","[0.0003, 0.0011, 0.9992999]"
11,11,99,0.18319999999999936,-0.5322254,2.706561,-0.43150793684557565,3.0722961423549586,0.01719936,0.06306961,False,0,"[-0.00921, 0.0468698, 0.9914591]","[0.0003, 0.0011, 0.9993]"
12,12,99,0.199799999999982,-0.5270458,2.695994,-0.4254884688187639,3.064206953893361,0.01719594,0.06307016,False,0,"[-0.0091206, 0.0466876, 0.9914823]","[0.0002999, 0.0011, 0.9992999]"
13,13,99,0.21649999999999636,-0.4180911,3.10779,-0.3403840282275019,3.410229672259089,0.01719594,0.06306907,False,0,"[-0.0072725, 0.0541108, 0.9966184]","[0.0002999, 0.0011, 0.9993001]"
14,14,99,0.2336999999999989,-0.4344113,3.085798,-0.3557305210628614,3.390710064627244,0.01719893,0.06306912,False,0,"[-0.0075559, 0.0537236, 0.9965528]","[0.0003, 0.0011, 0.9993001]"
15,15,99,0.25,-0.5813388,3.037446,-0.503689690380472,3.336794152642451,0.01719936,0.06307041,False,0,"[-0.0098364, 0.051441, 0.9694301]","[0.0003, 0.0011, 0.9992999]"
16,16,99,0.26670000000001437,-0.537863,3.100283,-0.4630861769020429,3.392254311602925,0.01720278,0.06307004,False,0,"[-0.0090978, 0.0524899, 0.9691103]","[0.0003, 0.0011, 0.9992999]"
17,17,99,0.283299999999997,-0.6249401,3.234913,-0.5614661106394151,3.4932268030339504,0.0171985,0.0630679,False,0,"[-0.0114752, 0.0594605, 1.052026]","[0.0003, 0.0011, 0.9993002]"
18,18,99,0.29980000000000473,-0.6253751,3.219309,-0.5608918413258873,3.4804809914638364,0.01720833,0.06306943,False,0,"[-0.0114816, 0.0591647, 1.051877]","[0.0003001, 0.0011, 0.9993001]"
19,19,99,0.31689999999997553,-0.618055,2.946003,-0.5354674641534778,3.258716335533218,0.01719935,0.06306806,False,0,"[-0.0096759, 0.0461597, 0.8969528]","[0.0003, 0.0011, 0.9993002]"
20,20,99,0.3435000000000059,-1.587942,-2.814362,-1.1558941872689976,-1.5266876677795085,0.01720235,0.06306839,False,0,"[-0.024631, -0.0436782, 0.8885016]","[0.0003, 0.0011, 0.9993001]"
21,21,99,0.35009999999999764,-1.626552,-2.815872,-1.1955083725292757,-1.531741470981696,0.0172032,0.06306803,False,0,"[-0.0252366, -0.0437128, 0.8887277]","[0.0003, 0.0011, 0.9993002]"
22,22,99,0.36950000000001637,-1.609273,-2.903439,-1.1720021365763365,-1.60131539972648,0.01719893,0.06306971,True,0,"[-0.0249916, -0.0451164, 0.8895538]","[0.0003, 0.0011, 0.9992999]"
23,23,99,0.38369999999997617,-1.64708,-2.830091,-1.215691828264884,-1.545350134229099,0.01720064,0.06306937,True,0,"[-0.0255633, -0.0439478, 0.8890082]","[0.0003, 0.0011, 0.9992999]"
24,24,99,0.40030000000001564,-1.611007,-2.845931,-1.17755110390024,-1.5546717220306765,0.01720363,0.06306833,True,0,"[-0.0249947, -0.0441793, 0.8887083]","[0.0003, 0.0011, 0.9992999]"
25,25,99,0.4171000000000049,-1.585583,-2.833033,-1.152245279009248,-1.5416534638643262,0.01720405,0.06306831,True,0,"[-0.024611, -0.0439982, 0.8891032]","[0.0003001, 0.0011, 0.9993001]"
26,26,99,0.43369999999998754,-1.625657,-2.803471,-1.1953997784777082,-1.5215575543982576,0.0172032,0.06306928,True,0,"[-0.0252456, -0.0435596, 0.8895359]","[0.0003, 0.0011, 0.9993]"
27,27,99,0.4504000000000019,-1.558716,-2.781568,-1.1279804649342204,-1.4970960945595508,0.01719551,0.06306912,True,0,"[-0.0241978, -0.0432048, 0.8892502]","[0.0002999, 0.0011, 0.9993]"
28,28,99,0.4671999999999912,-1.541009,-2.820366,-1.107227229777194,-1.5269263291755575,0.01719893,0.06306881,True,0,"[-0.0239126, -0.0437898, 0.8888715]","[0.0003, 0.0011, 0.9993003]"
29,29,99,0.48359999999996717,-3.216669,0.9644027,-3.078573206759427,1.3881494629659503,0.01720876,0.0630704,False,0,"[-0.0853793, 0.0255734, 1.51919]","[0.0003001, 0.0011, 0.9993]"
30,30,99,0.5004000000000133,-3.209213,0.9617721,-3.0707319524191927,1.3867465378903634,0.01720021,0.06306896,False,0,"[-0.0851928, 0.0255072, 1.519402]","[0.0003, 0.0011, 0.9993]"
31,31,99,0.516900000000021,-3.525853,3.16263,-3.5405227847766283,3.147030082607433,0.0171985,0.06306931,False,0,"[-0.1816314, 0.16288, 2.947819]","[0.0003, 0.0011, 0.9993001]"
32,32,99,0.5337999999999852,-3.424363,3.520504,-3.4595656750068944,3.4484171839827265,0.01719808,0.06307,False,0,"[-0.1233709, 0.1268432, 2.06176]","[0.0003, 0.0011, 0.9992999]"
33,33,99,0.5503999999999678,-3.461472,3.555648,-3.5000359573331434,3.473350924475752,0.01719936,0.06306934,False,0,"[-0.1247219, 0.1281238, 2.061938]","[0.0003, 0.0011, 0.9993001]"
34,34,99,0.5668999999999755,-3.460935,3.490409,-3.4952119876748333,3.420295114294122,0.01720064,0.06306883,False,0,"[-0.1246921, 0.1257566, 2.061766]","[0.0003, 0.0011, 0.9992999]"
35,35,99,0.5837000000000216,-2.984308,3.406234,-2.999456665876097,3.398983774463662,0.01719594,0.0630695,False,0,"[-0.066238, 0.0756235, 1.270554]","[0.0002999, 0.0011, 0.9992999]"
36,36,99,0.6003000000000043,-2.962651,3.361153,-2.974229193082674,3.364430020576001,0.01719936,0.06306966,False,0,"[-0.065738, 0.0745994, 1.270198]","[0.0003, 0.0011, 0.9992999]"
37,37,99,0.6173000000000002,-2.947125,3.232051,-2.9498064681965426,3.260870118485139,0.01719935,0.06306744,False,0,"[-0.0610403, 0.0669536, 1.185652]","[0.0003, 0.0011, 0.9993003]"
38,38,99,0.6338000000000079,-2.889818,2.575466,-2.847871301261514,2.7320416821146214,0.01720277,0.06306736,False,0,"[-0.0619873, 0.0552347, 1.227966]","[0.0003, 0.0011, 0.9993002]"
39,39,99,0.6505000000000223,-2.896776,2.568599,-2.8545784575912867,2.7257622418695684,0.01720405,0.0630692,False,0,"[-0.0621648, 0.0551121, 1.22852]","[0.0003001, 0.0011, 0.9993001]"
40,40,99,0.6668999999999983,-2.944797,2.599757,-2.9060114967610247,2.746370204727503,0.01720235,0.0630689,False,0,"[-0.0631734, 0.0557606, 1.228058]","[0.0003, 0.0011, 0.9992999]"
41,41,99,0.6838999999999942,-2.260269,2.432642,-2.190984990500117,2.6781339219901934,0.01719509,0.06306942,False,0,"[-0.0411598, 0.0443023, 1.042821]","[0.0002999, 0.0011, 0.9993001]"
42,42,99,0.7001000000000204,-2.268728,2.400384,-2.1975735127298655,2.6510357895786005,0.0172032,0.063068,False,0,"[-0.0413068, 0.0437066, 1.04264]","[0.0003, 0.0011, 0.9993001]"
43,43,99,0.7169000000000096,-1.634842,1.571779,-1.4913236881082517,2.039285047185996,0.01719808,0.06307023,False,0,"[-0.0222924, 0.0214321, 0.7810636]","[0.0003, 0.0011, 0.9992998]"
44,44,99,0.7335999999999672,-1.583306,1.570378,-1.4382236156113715,2.0432494979901317,0.01720534,0.0630691,False,0,"[-0.0215847, 0.0214083, 0.7808943]","[0.0003001, 0.0011, 0.9993001]"
45,45,99,0.7524999999999977,0.7260029,0.02327803,1.0383591282520142,1.0125557923003616,0.01719807,0.06306904,False,0,"[0.0108044, 0.0003464, 0.8526309]","[0.0003, 0.0011, 0.9993]"
46,46,99,0.7667999999999893,0.7652182,-0.003449605,1.0804448108018843,0.9946821900359942,0.01719637,0.06307072,False,0,"[0.0113843, -5.13e-05, 0.8523487]","[0.0002999, 0.0011, 0.9993]"
47,47,99,0.7835999999999785,0.9465261,-0.284658,1.2853450937152113,0.783719015652641,0.01719936,0.06306871,False,0,"[0.0136813, -0.0041142, 0.8280902]","[0.0003, 0.0011, 0.9993001]"
48,48,99,0.800200000000018,0.9722269,-0.3279409,1.3146141609647006,0.7510296014950727,0.01719936,0.06307049,False,0,"[0.0140459, -0.0047374, 0.827678]","[0.0003, 0.0011, 0.9993]"
49,49,99,0.8168999999999755,0.8508766,-0.3165462,1.1890508996578273,0.7482851657587646,0.01719679,0.0630688,False,0,"[0.0119283, -0.0044373, 0.8031585]","[0.0002999, 0.0011, 0.9993002]"
50,50,99,0.8337999999999965,0.8175865,-0.3436683,1.1565855926978514,0.7229083323450434,0.01720107,0.06306842,False,0,"[0.0114626, -0.004818, 0.8032327]","[0.0003, 0.0011, 0.9992999]"
51,51,99,0.8503000000000043,0.7319409,-0.5130201,1.0795817509701107,0.5765606684020215,0.01720491,0.06306943,False,0,"[0.0105245, -0.0073765, 0.8238071]","[0.0003001, 0.0011, 0.9993002]"
52,52,99,0.8670999999999935,0.7762563,-0.4732769,1.1225609546543027,0.6133040638998292,0.01720449,0.0630693,False,0,"[0.0111577, -0.0068025, 0.8234999]","[0.0003001, 0.0011, 0.9992998]"
53,53,99,0.8836000000000013,0.5779431,-0.4932016,0.9198867165003167,0.5774398439923772,0.0172032,0.0630687,False,0,"[0.0081618, -0.006965, 0.8091092]","[0.0003, 0.0011, 0.9993001]"
54,54,99,0.9001999999999839,0.5853658,-0.4724,0.9261594586593793,0.5951090321173869,0.01719423,0.06306934,False,0,"[0.0082636, -0.0066688, 0.808818]","[0.0002999, 0.0011, 0.9993]"
55,55,99,0.9168999999999983,0.6589519,-0.3886711,0.9963655672351686,0.670559237104667,0.01720363,0.06306801,False,0,"[0.0097244, -0.0057356, 0.8454962]","[0.0003, 0.0011, 0.9993002]"
56,56,99,0.9336000000000126,0.7015853,-0.3603439,1.0383621984930131,0.6978426160852902,0.0172079,0.06306909,False,0,"[0.0103511, -0.0053163, 0.8452911]","[0.0003001, 0.0011, 0.9993001]"
57,57,99,0.9501999999999953,0.8007291,0.08300992,1.1113091511850126,1.0685837255636992,0.01720235,0.06307022,False,0,"[0.0115991, 0.0012024, 0.8299108]","[0.0003, 0.0011, 0.9992998]"
58,58,99,0.9669000000000096,0.8699942,0.08687774,1.1822998445919228,1.0785935331775809,0.01719679,0.06306949,False,0,"[0.0125988, 0.001258, 0.8296611]","[0.0002999, 0.0011, 0.9993002]"
59,59,99,0.9836999999999989,0.7633878,0.1203275,1.0704576136128165,1.0952638979273561,0.01720063,0.06306829,False,0,"[0.0106399, 0.001677, 0.7985235]","[0.0003, 0.0011, 0.9993003]"
60,60,99,1.0002999999999815,0.7940928,0.1267596,1.101618677350959,1.1035415875330903,0.01719636,0.06306819,False,0,"[0.0110665, 0.0017664, 0.798421]","[0.0002999, 0.0011, 0.9993001]"
61,61,99,1.016900000000021,0.8076211,0.1635167,1.1131267393999282,1.1348044403539364,0.01720405,0.06306812,False,0,"[0.010968, 0.0022205, 0.7780595]","[0.0003001, 0.0011, 0.9993002]"
62,62,99,1.0335999999999785,0.7855094,0.1284015,1.092682550865817,1.1040279672928315,0.01720363,0.06306995,False,0,"[0.0106653, 0.0017433, 0.7778884]","[0.0003, 0.0011, 0.9993001]"
63,63,99,1.050299999999993,0.4174304,0.1266893,0.7141999552879196,1.0661736110245446,0.01719722,0.06306897,False,0,"[0.0064295, 0.0019513, 0.8824908]","[0.0002999, 0.0011, 0.9993001]"
64,64,99,1.0670000000000073,0.3848161,0.08014971,0.683701146620813,1.0250565562606766,0.01720619,0.06306828,False,0,"[0.0059252, 0.0012341, 0.8822021]","[0.0003001, 0.0011, 0.9993001]"
65,65,99,1.0837000000000216,0.2197842,0.2162589,0.5050424580785591,1.1195113028495263,0.01720534,0.06306826,False,0,"[0.0032268, 0.003175, 0.8411945]","[0.0003001, 0.0011, 0.9993002]"
66,66,99,1.1001999999999725,0.1731212,0.2430737,0.45529059379308057,1.1367181224893455,0.01719936,0.06307017,False,0,"[0.002541, 0.0035678, 0.8409625]","[0.0003, 0.0011, 0.9992999]"
67,67,99,1.1170000000000186,0.007378807,0.4747482,0.2696438223211676,1.308899182044417,0.01720448,0.06306903,False,0,"[0.0001141, 0.0073393, 0.8857309]","[0.0003001, 0.0011, 0.9993001]"
68,68,99,1.1338999999999828,-0.01462907,0.5042565,0.245075095746345,1.330740937605536,0.01720021,0.06306988,False,0,"[-0.0002261, 0.0077944, 0.8856057]","[0.0003, 0.0011, 0.9993001]"
69,69,99,1.1503000000000156,-0.02881227,0.6975309,0.21783174283585227,1.4866745704562179,0.01719807,0.06306925,False,0,"[-0.0004459, 0.0107962, 0.8867611]","[0.0003, 0.0011, 0.9993002]"
70,70,99,1.1669999999999732,0.02356905,0.6701855,0.2735000365550998,1.4696022412359284,0.01719679,0.06306981,False,0,"[0.0003648, 0.0103726, 0.8867359]","[0.0002999, 0.0011, 0.9992999]"
71,71,99,1.1836000000000126,0.05066407,0.8048916,0.2925490406108279,1.5819461400676844,0.01719807,0.06306902,False,0,"[0.0007637, 0.0121334, 0.8636557]","[0.0003, 0.0011, 0.9993]"
72,72,99,1.200400000000002,0.06067644,0.8179045,0.30199541505210814,1.593531317120314,0.01720277,0.06306862,False,0,"[0.0009143, 0.0123253, 0.8633494]","[0.0003, 0.0011, 0.9993001]"
73,73,99,1.2171000000000163,0.12876,0.6402918,0.3836535406045408,1.455686543185117,0.01720491,0.06306855,False,0,"[0.0020041, 0.0099664, 0.8917963]","[0.0003001, 0.0011, 0.9993001]"
74,74,99,1.233699999999999,0.1114817,0.6612333,0.3645104359824881,1.4710228321754388,0.01720064,0.06306943,False,0,"[0.001735, 0.010291, 0.8916767]","[0.0003, 0.0011, 0.9993001]"
75,75,99,1.2504999999999882,0.2454181,0.7222594,0.4982775036008267,1.533969478449517,0.0172032,0.0630692,False,0,"[0.0037177, 0.0109417, 0.8679408]","[0.0003, 0.0011, 0.9993001]"
76,76,99,1.266900000000021,0.2349077,0.7226551,0.4874409213024141,1.5332504849594277,0.01719636,0.06306992,False,0,"[0.0035578, 0.0109454, 0.8677628]","[0.0002999, 0.0011, 0.9993001]"
77,77,99,1.2837000000000103,0.3102148,0.893026,0.5537441736552835,1.6794036733667457,0.01720405,0.06306957,False,0,"[0.0047836, 0.0137716, 0.8835018]","[0.0003001, 0.0011, 0.9993002]"
78,78,99,1.300200000000018,0.2955601,0.8961438,0.5384666583657003,1.6804901366343916,0.01719978,0.06307008,False,0,"[0.0045573, 0.013819, 0.8834553]","[0.0003, 0.0011, 0.9993001]"
79,79,99,1.3172999999999888,0.1864237,0.9339755,0.4237352328935405,1.7004770877381379,0.01720235,0.06306968,False,0,"[0.0029015, 0.0145378, 0.8917587]","[0.0003, 0.0011, 0.9992999]"
80,80,99,1.338799999999992,-0.3010649,0.3062349,-0.036578181349748884,1.141164579669566,0.01719979,0.06306933,False,0,"[-0.0042925, 0.0043662, 0.8169062]","[0.0003, 0.0011, 0.9992999]"
81,81,99,1.350999999999999,-0.2672567,0.3119505,-0.0021783478363287534,1.149166380533464,0.01720405,0.0630688,False,0,"[-0.0038101, 0.0044473, 0.8168168]","[0.0003001, 0.0011, 0.9993001]"
82,82,99,1.367399999999975,11.60052,10.72688,11.52271646793634,10.803207487913541,0.01720277,0.06307007,False,0,"[0.1704992, 0.1573412, 0.8305689]","[0.0003, 0.0011, 0.9993]"
83,83,99,1.3836999999999762,11.62048,10.74629,11.541975807354165,10.820985715904907,0.01719508,0.0630682,False,0,"[0.1707895, 0.1576224, 0.8305147]","[0.0002999, 0.0011, 0.9993001]"
84,84,99,1.400699999999972,11.59782,10.73395,11.519476411653374,10.808695499210774,0.01719936,0.06306992,True,0,"[0.1704221, 0.1574139, 0.8303924]","[0.0003, 0.0011, 0.9992999]"
85,85,99,1.4169999999999732,11.58858,10.70299,11.511999588287393,10.782576664587944,0.01719978,0.06306881,True,0,"[0.1703678, 0.1570278, 0.8308083]","[0.0003, 0.0011, 0.9993]"
86,86,99,1.4336999999999875,0.9671448,3.961842,1.028506462977482,4.2427025619587235,0.0172079,0.06307026,True,0,"[0.0138685, 0.0568968, 0.8215247]","[0.0003001, 0.0011, 0.9992999]"
87,87,99,1.450400000000002,1.034588,4.013122,1.0945188178179672,4.291128652965348,0.01720363,0.06306946,True,0,"[0.0148353, 0.0576337, 0.8214959]","[0.0003, 0.0011, 0.9993]"
88,88,99,1.4671000000000163,1.019785,3.963906,1.0825154051059518,4.249597137364497,0.01720235,0.06306943,True,0,"[0.0146209, 0.0569164, 0.8213773]","[0.0003, 0.0011, 0.9993001]"
89,89,99,1.483699999999999,-2.163658,-7.884403,-1.4160888491284114,-5.7110756867160895,0.01720192,0.06306942,False,0,"[-0.0304531, -0.1116244, 0.8060451]","[0.0003, 0.0011, 0.9993001]"
90,90,99,1.5032999999999674,-0.1111475,0.1113513,0.17152531344437438,1.0013285108244032,0.01719764,0.0630688,False,0,"[-0.0020666, 0.0020704, 1.0653]","[0.0002999, 0.0011, 0.9993002]"
91,91,99,1.516900000000021,-0.1009747,0.1326818,0.1805920930515477,1.0197006741521781,0.01720021,0.06306896,False,0,"[-0.0018768, 0.0024662, 1.064955]","[0.0003, 0.0011, 0.9993001]"
92,92,99,1.5335999999999785,-0.06512375,0.1300341,0.21764063666238267,1.0210965244659067,0.01719807,0.06306829,False,0,"[-0.0012104, 0.0024168, 1.064887]","[0.0003, 0.0011, 0.9993001]"
93,93,99,1.5504999999999995,-0.4082066,1.072904,-0.19697971614454368,1.7546725585760006,0.01719722,0.06306971,False,0,"[-0.0071539, 0.0188048, 1.004103]","[0.0002999, 0.0011, 0.9993001]"
94,94,99,1.5668999999999755,-0.4798189,1.021137,-0.26724839152834956,1.7054370410759996,0.01720021,0.06306913,False,0,"[-0.0084082, 0.0178956, 1.004013]","[0.0003, 0.0011, 0.9993001]"
95,95,99,1.5837999999999965,-0.5023161,0.7135273,-0.27024707960411876,1.4527932410439077,0.01720406,0.06307004,False,0,"[-0.0094686, 0.0134503, 1.079991]","[0.0003001, 0.0011, 0.9993]"
96,96,99,1.6001999999999725,-0.5058554,0.7288702,-0.27489209535465164,1.4649328203034697,0.01719807,0.06306924,False,0,"[-0.0095343, 0.013738, 1.079874]","[0.0003, 0.0011, 0.9993001]"
97,97,99,1.6170999999999935,-0.2938428,0.5063405,-0.04225198676956404,1.3047796038142854,0.01720235,0.06306843,False,0,"[-0.0049106, 0.008462, 0.9575082]","[0.0003, 0.0011, 0.9993]"
