,frame,PathIDX,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y
0,0,99,0.0,-19.96664,-11.42756,-26.387884075977773,-14.324849197225404,-8.862791,2.495775
1,1,99,0.016799999999989268,-20.02907,-11.48293,-26.43574015813415,-14.376771048150445,-8.940073,2.511243
2,2,99,0.03350000000000364,-19.98891,-11.57615,-26.328659168545414,-14.457628415503567,-8.930652,2.429645
3,3,99,0.05009999999998627,-20.00527,-11.75582,-26.24339479904084,-14.617703502368048,-9.043946,2.509538
4,4,99,0.0666999999999689,-19.99263,-11.93277,-26.12227978151818,-14.774057338998116,-9.168508,2.769552
5,5,99,0.08319999999997663,-20.11711,-11.79227,-26.366281465835723,-14.655076939347826,-9.164872,2.81866
6,6,99,0.0998000000000161,-19.90266,-11.91645,-26.015723498686405,-14.75552299533675,-9.180144,2.870751
7,7,99,0.11660000000000537,-20.09125,-12.00045,-26.209595304911847,-14.838529691744096,-9.297421,3.187349
8,8,99,0.13330000000001974,-19.94847,-12.02308,-26.011754960160587,-14.85215347153926,-9.202232,3.377563
9,11,99,0.18360000000001264,-5.003409,-9.870429,-7.980909099884837,-12.268492081375193,-9.404645,3.754763
10,12,99,0.20019999999999527,-4.996853,-9.895899,-7.957357307211945,-12.290783677823672,-9.374163,4.005641
11,13,99,0.21690000000000964,-7.935059,-10.61878,-11.32477088487581,-13.0644877403493,-9.28598,4.331945
12,14,99,0.23340000000001737,-7.898739,-10.64261,-11.263741971253062,-13.083981374657021,-9.185386,4.478226
13,15,99,0.25020000000000664,-7.315876,-10.9992,-10.299648825942818,-13.37390503268508,-9.092439,4.772986
14,16,99,0.26679999999998927,-7.288887,-10.97048,-10.281792724334748,-13.347217002913336,-8.934283,5.060456
15,17,99,0.28350000000000364,-8.324361,-10.82475,-11.70568811874472,-13.264721228211314,-8.832965,5.166689
16,18,99,0.299699999999973,-8.330382,-10.83541,-11.707153193195701,-13.274446617690426,-8.666119,5.351227
17,19,99,0.316599999999994,-8.337374,-10.83588,-11.715906936722817,-13.275179049880137,-8.487566,5.544749
18,20,99,0.33330000000000837,-8.276662,-10.73585,-11.696717071535776,-13.183728961867132,-8.409265,5.634434
19,21,99,0.349899999999991,-8.323426,-10.73538,-11.757403826274212,-13.18542310337429,-8.481977,5.758434
20,22,99,0.36660000000000537,-8.286775,-10.71098,-11.724508386783402,-13.162130027713914,-8.145652,5.773473
21,23,99,0.38349999999996953,-8.305809,-10.59978,-11.814946874484171,-13.064373834195884,-7.916361,5.721215
22,24,99,0.40039999999999054,-8.29039,-10.55657,-11.820617326558095,-13.02535792627133,-8.236135,5.881399
23,25,99,0.41679999999996653,-8.262379,-10.6216,-11.745923752114912,-13.081763992887979,-8.187826,5.925241
24,26,99,0.43329999999997426,-8.215061,-10.62062,-11.685380022953192,-13.078758941309761,-8.073383,5.82319
25,27,99,0.45019999999999527,-8.290113,-10.58665,-11.802446600777053,-13.052021242276744,-8.201033,5.873168
26,28,99,0.46690000000000964,-8.194178,-10.57185,-11.687284777477444,-13.034565615686628,-8.141824,5.838555
27,29,99,0.48359999999996717,-8.21335,-10.51765,-11.744147022385938,-12.987364911398895,-8.434535,5.520851
28,30,99,0.49989999999996826,-8.19267,-10.5147,-11.71918012021348,-12.983815259578385,-8.27494,5.412251
29,31,99,0.5165000000000077,-8.157391,-10.45737,-11.70755762226411,-12.931380833788094,-8.348602,5.220108
30,32,99,0.533299999999997,-8.182436,-10.47228,-11.731080584733444,-12.945734000245533,-8.300585,4.899665
31,33,99,0.5500999999999863,-8.262009,-10.44444,-11.850357173991432,-12.924636644000813,-8.143423,4.475284
32,34,99,0.5666999999999689,-8.149901,-10.56103,-11.636496421014542,-13.022971437883697,-7.954677,4.319297
33,35,99,0.5835999999999899,-8.151282,-10.48799,-11.681533502350177,-12.9582597780161,-7.728779,4.127297
34,36,99,0.6003000000000043,-8.005516,-10.5063,-11.482394162606026,-12.967917666425581,-7.53337,3.760679
35,37,99,0.6168999999999869,-8.084388,-10.52145,-11.575307214914982,-12.98491345054548,-7.256461,3.623922
36,38,99,0.6333999999999946,-7.992302,-10.2853,-11.596197425716323,-12.771331944102666,-7.02352,3.447086
37,39,99,0.650100000000009,-7.985771,-10.58577,-11.409827234061591,-13.037502677058242,-6.894229,3.1959
38,40,99,0.6668999999999983,-7.982842,-10.66857,-11.357010770443415,-13.110799911614645,-6.525362,3.303818
39,41,99,0.6836000000000126,-7.914246,-10.61302,-11.30129621501402,-13.058440095012728,-6.327734,3.315663
40,42,99,0.7001000000000204,-7.768457,-10.64608,-11.093392445509375,-13.081177674709977,-6.34061,3.412091
41,43,99,0.7167999999999779,-7.756402,-10.52397,-11.150131763119862,-12.972342801922363,-6.129829,3.285382
42,44,99,0.7332000000000107,-7.745954,-10.50469,-11.148052642811997,-12.954773108354921,-6.226939,3.213478
43,45,99,0.75,-7.786583,-10.51761,-11.19288502772784,-12.96806495469938,-6.358902,3.151035
44,46,99,0.7667000000000144,-7.770746,-10.4122,-11.234849384984216,-12.87386940677554,-6.394726,3.055932
45,47,99,0.7837000000000103,-7.794423,-10.42693,-11.256711796471592,-12.88800119176247,-6.310871,2.706129
46,48,99,0.8000999999999863,-7.76895,-10.32082,-11.286643167301342,-12.792749889421177,-6.410483,2.406349
47,49,99,0.8168000000000006,-7.751357,-10.40189,-11.215908637263599,-12.863850969040996,-6.624147,2.214155
48,50,99,0.8333999999999833,-7.77735,-10.27945,-11.321992718626031,-12.75644094908062,-6.878934,1.876517
49,51,99,0.8501999999999725,-7.725589,-10.39311,-11.187821633603479,-12.854901428494358,-7.079573,1.330457
50,52,99,0.8666000000000054,-7.732154,-10.59173,-11.078682463650987,-13.031339775806575,-7.185548,0.9265741
51,53,99,0.8833000000000197,-7.729576,-10.52475,-11.115016782349048,-12.971823589094456,-7.292025,0.7435972
52,54,99,0.9042999999999779,-7.634015,-10.60931,-10.941498645851741,-13.04250018641924,-7.345251,0.3139826
53,55,99,0.9166999999999916,-7.770563,-10.65534,-11.090629290463454,-13.08948477829233,-7.425149,0.409577
54,56,99,0.9331999999999994,-7.754456,-10.69183,-11.048213911532546,-13.121118094553552,-7.459919,0.3790045
55,57,99,0.9499999999999886,-7.831337,-10.6326,-11.182601716842484,-13.072061653957679,-7.761598,0.5634219
56,58,99,0.9665999999999713,-7.811823,-10.61947,-11.16516945745232,-13.05953671554002,-7.612487,0.5683687
57,59,99,0.9834000000000174,-7.87656,-10.65385,-11.228435607005759,-13.092948162412217,-7.441467,0.4277474
58,60,99,1.000099999999975,-7.887768,-10.59917,-11.275294427798915,-13.044962281059874,-7.365771,0.574036
59,61,99,1.016900000000021,-7.844425,-10.60828,-11.213910352549291,-13.051084768862125,-7.404967,0.805931
60,62,99,1.033399999999972,-7.789048,-10.67899,-11.100502537166705,-13.11129270945893,-7.531103,0.9402032
61,63,99,1.0500999999999863,-7.729057,-10.5459,-11.10182165388131,-12.990556597053054,-7.549787,1.136973
62,64,99,1.0668000000000006,-7.669456,-10.58447,-11.001990198026032,-13.02207117618483,-7.594706,1.238078
63,65,99,1.083500000000015,-7.629478,-10.58047,-10.952716472408321,-13.016719232067935,-7.626155,1.311967
64,66,99,1.099999999999966,-7.627838,-10.58294,-10.949135270930125,-13.01883566954442,-7.680188,1.484814
65,67,99,1.1166999999999803,-7.685897,-10.60223,-11.012711028419098,-13.038563416615535,-7.668762,1.725323
66,68,99,1.133199999999988,-7.618012,-10.54455,-10.959176275559058,-12.98434674889651,-7.685192,1.868415
67,69,99,1.150100000000009,-7.63286,-10.63714,-10.923526158974912,-13.067128503529716,-7.675379,2.11942
68,70,99,1.1668999999999983,-7.61471,-10.57755,-10.93536876105932,-13.01346305586468,-7.733015,2.437907
69,71,99,1.1836000000000126,-7.593029,-10.57419,-10.9093515906449,-13.00950461844625,-7.876666,2.694334
70,72,99,1.2001999999999953,-7.598118,-10.38201,-11.029731404911812,-12.839303518265908,-8.069769,2.804682
71,73,99,1.2169999999999845,-7.677115,-10.41983,-11.109381109756974,-12.8764093611005,-8.24535,3.024338
72,74,99,1.2335999999999672,-7.584469,-10.42015,-10.989514097517622,-12.872511057968858,-8.544431,3.553502
73,75,99,1.250099999999975,-7.584412,-10.44379,-10.975441228731878,-12.893473125355616,-8.933573,4.032551
74,76,99,1.2667000000000144,-7.56673,-10.05388,-11.183498711063438,-12.546891408541732,-9.220839,4.138201
75,77,99,1.283299999999997,-7.599259,-10.07432,-11.213414516151584,-12.566486571670936,-9.125985,3.994171
76,78,99,1.3000000000000114,-7.541315,-10.20716,-11.059898308924053,-12.681677329781778,-9.362195,4.421373
77,79,99,1.3168000000000006,-7.466814,-9.960491,-11.10973351827106,-12.45956106383862,-9.596529,4.468546
78,80,99,1.3331999999999766,-7.470024,-9.94491,-11.12310693073757,-12.445888280383684,-9.244672,4.230122
79,81,99,1.349899999999991,-7.43446,-9.815055,-11.154064446955523,-12.329123707619246,-9.12623,4.121244
80,82,99,1.3664999999999736,-7.404023,-10.03512,-10.984427734491888,-12.522909815954616,-9.163197,4.309494
81,83,99,1.3834999999999695,-7.305047,-10.04069,-10.853274837401566,-12.523381626222594,-9.199271,4.680052
82,84,99,1.3999999999999773,-7.322598,-10.07232,-10.857215937984158,-12.552224292522617,-9.181552,4.639889
83,85,99,1.4168999999999983,-7.320868,-10.2875,-10.727554946227949,-12.742974089463132,-9.156836,4.985003
84,86,99,1.4338000000000193,-7.444338,-10.4564,-10.787030106224083,-12.898333027610867,-9.467874,5.577938
85,87,99,1.450400000000002,-7.818888,-10.51241,-11.237695082334387,-12.964911707716247,-9.707479,5.905129
86,88,99,1.466700000000003,-7.819323,-10.476,-11.259818434966373,-12.932641895583245,-9.376687,6.114816
87,89,99,1.4834000000000174,-7.840598,-10.57585,-11.22817127903842,-13.022152147738026,-9.58098,6.350688
88,90,99,1.5,-7.853865,-10.52195,-11.277227954695864,-12.974950937426257,-9.755501,6.705161
89,91,99,1.5167999999999893,-7.822939,-10.65149,-11.160567053007359,-13.088434765962155,-9.809459,6.763701
90,92,99,1.5335000000000036,-7.771532,-10.6872,-11.073014024531659,-13.117782895216997,-10.04451,6.954784
91,93,99,1.5500000000000114,-7.898334,-10.68918,-11.235640778896157,-13.125262724864559,-10.24951,7.324353
92,94,99,1.566699999999969,-7.870018,-10.72936,-11.175268994807428,-13.159617319991682,-10.49761,7.456548
93,95,99,1.583500000000015,-7.896001,-10.57034,-11.303002261577713,-13.019766639417305,-10.71818,7.575236
94,96,99,1.6001999999999725,-7.895472,-10.43806,-11.380653058554646,-12.902433004092387,-10.82948,7.51998
95,97,99,1.6170000000000186,-7.880818,-10.29784,-11.444759518992921,-12.77742033573513,-10.95436,7.46238
96,98,99,1.6334999999999695,-7.802095,-10.36421,-11.303764073386771,-12.832725587413112,-10.96045,7.45451
97,99,99,1.650199999999984,-7.950129,-10.17901,-11.604662796508983,-12.67516716586568,-11.01182,7.526788
98,100,99,1.6667999999999665,-7.927513,-10.2357,-11.541877149659129,-12.724420610717448,-10.97119,7.415924
99,101,99,1.6836000000000126,-7.841925,-10.3001,-11.393180292084903,-12.77766891937156,-10.79275,7.628532
100,102,99,1.6999999999999886,-8.029456,-10.39985,-11.576357208367892,-12.874595370609786,-10.79423,7.671906
101,103,99,1.716799999999978,-8.011613,-10.48546,-11.502611218417883,-12.949711369304751,-10.81576,7.799353
102,104,99,1.7332999999999856,-7.875459,-10.25956,-11.46050572908738,-12.743230608985261,-10.84656,7.511133
103,105,99,1.75,-7.927937,-10.20448,-11.56091285607807,-12.696752945171433,-10.82815,7.143112
104,106,99,1.7665999999999826,-7.888827,-10.15538,-11.539467902297307,-12.651444189713303,-10.78933,6.921411
105,107,99,1.7835000000000036,-7.936171,-10.34345,-11.48925344950929,-12.82036727500181,-10.87614,6.898814
106,108,99,1.8000999999999863,-7.892889,-10.24135,-11.493804992718328,-12.72786824994284,-10.83293,6.76573
107,109,99,1.8199000000000183,-8.066231,-10.47482,-11.579466065558872,-12.942740992291743,-10.84591,6.378223
108,110,99,1.8374000000000024,-7.970499,-10.32774,-11.542900616376054,-12.807984773236043,-10.73204,6.23062
109,111,99,1.8501999999999725,-8.147539,-10.25583,-11.814179915762065,-12.752204568562185,-10.74708,5.998188
110,112,99,1.866800000000012,-8.046274,-10.34683,-11.629479844352794,-12.828334863903759,-10.71405,5.748918
111,113,99,1.8834999999999695,-8.0674,-10.30499,-11.681546813412368,-12.792183572111544,-10.67004,5.623117
112,114,99,1.8999000000000024,-8.070289,-10.2733,-11.704045064571506,-12.764210368256528,-10.77933,5.302035
113,115,99,1.9167999999999665,-8.14143,-10.40231,-11.71954531830713,-12.881831534630923,-10.82771,5.172262
114,116,99,1.933400000000006,-8.019957,-10.38613,-11.572211434808505,-12.861999285301206,-10.72356,4.957211
115,117,99,1.9501999999999953,-8.109041,-10.45894,-11.64417071428284,-12.93059061145103,-10.57485,4.748437
116,118,99,1.966700000000003,-7.987861,-10.27025,-11.599373040351882,-12.757784696805619,-10.65322,4.303794
117,119,99,1.983699999999999,-7.997822,-10.3572,-11.560749953437469,-12.835344133489652,-10.2874,3.832799
118,120,99,2.0002000000000066,-7.93952,-10.33656,-11.497659744198526,-12.814408197960642,-9.998604,3.794043
119,121,99,2.016900000000021,-7.902549,-10.23383,-11.510736736942444,-12.721635352366505,-10.39938,3.60652
120,122,99,2.0335999999999785,-7.868554,-10.32283,-11.41411853994721,-12.799028592128078,-10.44185,3.510717
121,123,99,2.050299999999993,-7.910678,-10.39487,-11.425872185942131,-12.8648172611204,-10.13198,3.288335
122,124,99,2.0668000000000006,-7.907884,-10.50158,-11.359070984000029,-12.959324673905453,-10.23837,3.490604
123,125,99,2.083500000000015,-7.944603,-10.4119,-11.459610653407378,-12.881451353113896,-10.0832,3.610705
124,126,99,2.099999999999966,-7.959941,-10.34018,-11.521895313903022,-12.818540333897321,-10.1416,3.559297
125,127,99,2.116899999999987,-8.055753,-10.39549,-11.612908861659161,-12.871915855854034,-10.23304,3.415875
126,128,99,2.133699999999976,-8.082658,-10.24079,-11.739274905913225,-12.735937896635754,-10.06236,3.363374
127,129,99,2.150199999999984,-8.094015,-10.05471,-11.864139222914025,-12.571429394855421,-10.10315,3.18399
128,130,99,2.1668999999999983,-8.147129,-10.06917,-11.924187417979129,-12.586650537414492,-10.15469,3.108555
129,131,99,2.1838000000000193,-8.16462,-10.22139,-11.856639502773309,-12.722433218861653,-10.0542,3.517622
130,132,99,2.20029999999997,-8.159394,-9.949131,-12.01111621805457,-12.480750105137208,-10.23932,3.612498
131,133,99,2.2169999999999845,-8.236853,-10.33497,-11.882687775940461,-12.826419905360662,-10.49269,3.642828
132,134,99,2.233599999999967,-8.134746,-10.37841,-11.725064319638822,-12.860334599439721,-10.54483,3.899131
133,135,99,2.2502000000000066,-8.209918,-10.19656,-11.929858130191107,-12.702458027006436,-10.63047,3.811431
134,136,99,2.266900000000021,-8.114416,-10.1663,-11.824410814072914,-12.671311568065835,-9.840701,3.815247
135,137,99,2.2835000000000036,-8.308609,-10.20821,-12.050445457926253,-12.717244549136804,-10.39497,3.347539
136,138,99,2.300200000000018,-8.24831,-10.31493,-11.90935498246354,-12.809165024713415,-10.2482,3.667057
137,139,99,2.3168000000000006,-8.362926,-10.24734,-12.097438467117955,-12.754398070129156,-10.28507,3.898661
138,140,99,2.333500000000015,-8.267775,-10.13699,-12.039872606716376,-12.652241311291352,-10.18905,4.118244
139,141,99,2.350399999999979,-8.195625,-10.30037,-11.849920176041373,-12.793874564524657,-10.10416,4.324376
140,142,99,2.366800000000012,-8.103417,-10.22939,-11.772841703345232,-12.72676511668551,-10.40298,4.589069
141,143,99,2.3836000000000013,-8.134056,-10.25004,-11.800191700549554,-12.746461198350488,-9.856524,4.361388
142,144,99,2.4003999999999905,-7.957835,-10.33444,-11.52257398007492,-12.813354868817292,-9.647513,4.371853
143,145,99,2.417100000000005,-8.015471,-10.3362,-11.595984309453545,-12.81751740697598,-9.740832,4.38724
144,146,99,2.4336999999999875,-7.882851,-10.26513,-11.466756041304116,-12.748503925894145,-9.623875,4.128929
145,147,99,2.450400000000002,-7.895413,-10.28187,-11.473070115945145,-12.763916500552337,-9.693213,4.069451
146,148,99,2.466799999999978,-7.827431,-10.35807,-11.34012842186276,-12.828424136785799,-9.646785,4.126371
147,149,99,2.4834999999999923,-7.833901,-10.41049,-11.317443883958283,-12.875203778407897,-9.429079,4.075792
148,150,99,2.5002999999999815,-7.806538,-10.34496,-11.320902965130253,-12.815854686175925,-9.860592,4.336332
149,151,99,2.516900000000021,-7.919123,-10.42101,-11.421301502268879,-12.888380185992926,-9.258419,4.197896
150,152,99,2.533799999999985,-7.802528,-10.37273,-11.299278000113905,-12.840300917359716,-9.239729,4.303924
151,153,99,2.550200000000018,-7.876859,-10.30337,-11.436370614055129,-12.782145789457022,-9.777555,4.408463
152,154,99,2.5668000000000006,-7.844225,-10.30572,-11.392823291811215,-12.782756722217723,-9.533072,4.347208
153,155,99,2.5837000000000216,-7.854622,-10.44508,-11.323727036292109,-12.906814554345779,-9.258179,4.200832
154,156,99,2.600500000000011,-7.856941,-10.43076,-11.335202735411222,-12.894219842209413,-9.420051,4.321018
155,157,99,2.616899999999987,-7.906718,-10.43948,-11.394339425255918,-12.904199951710542,-9.573013,4.571275
156,158,99,2.633899999999983,-7.902672,-10.26757,-11.490915325299488,-12.751562519158323,-9.714747,4.458457
157,159,99,2.6504999999999654,-7.939066,-10.33323,-11.499045253537858,-12.811434563195846,-9.629058,4.519139
158,160,99,2.66719999999998,-7.855273,-10.27472,-11.425452503924012,-12.75576373194356,-9.337389,4.109884
