Name,w1,w2,w3,s4,b5
ajit,"[4.881526707893914, 2.1603318316973463, 3.9195401416839406]","[1.6932796661930773, 0.6381176955577278, 1.4542612281079637]","[2.697212988180084, 0.9187280977311587, 2.4035442093403527]","[4.074125695398741, 1.6230779799163797, 3.4545675385114243]","[3.2490766434532556, 1.615961871414198, 2.484265659803491]"
alejandro,"[2.706213027591326, 1.6684121505010943, 1.9620231820455247]","[1.3994036543832873, 0.7049226326337694, 1.052671929808795]","[1.481689990513029, 0.7279381620264551, 1.1547190746239928]","[2.6294189600269897, 1.6397791832827568, 1.8128801266180519]","[2.625601146382425, 1.3172408419784274, 1.9761543839579374]"
aman,"[1.0924657890634837, 0.7432807795708962, 0.6347883583924078]","[0.9708027789799399, 0.3733362785673247, 0.8110671731544002]","[1.1168235291523538, 0.6047327507306479, 0.8103622757380008]","[1.7162358040685726, 1.102691041531393, 1.0757432263516864]","[2.3909805194343132, 1.420829448853757, 1.6560317581403712]"
brenna,"[1.152356931654579, 0.7640206415870155, 0.7266259260881345]","[1.2438107416928224, 0.6854416327631133, 0.870129984851042]","[8.486614237999294, 7.356269256342174, 3.4619517551130183]","[2.679047836145962, 1.439146557105537, 1.9511684629412258]","[2.8420446132499446, 1.73120442518973, 1.9095735682946264]"
chris,"[5.4954467375425295, 3.4860278415369845, 3.4730805713136164]","[2.330031448131377, 1.0751082181818021, 1.8953496830457668]","[5.078122114734352, 4.121992803169901, 2.2333619478533326]","[8.2382126510187, 5.553869517962087, 5.032420479835872]","[5.757401637704794, 4.672390446394357, 2.5353574937285144]"
deept,"[2.5488068193242963, 1.775709463605502, 1.3936798343508776]","[1.6169315392200878, 0.9953350113597789, 1.0457911780798397]","[13.876811504025165, 11.670041419190417, 5.42716750377716]","[5.949479833704495, 2.468834900830709, 4.847031305376868]","[3.812988108666246, 2.3880030249830884, 2.3649524574516443]"
gab,"[3.7606148536602477, 2.206650066684131, 2.8371514287443964]","[1.5082495153460058, 0.7656399703323166, 1.0731656721321758]","[2.825638893900632, 1.120002517545078, 2.396345399822807]","[2.4166435671043116, 1.1622146468911083, 1.9410328515939628]","[2.5717342295742593, 1.4048049215045473, 1.84850710963318]"
hal,"[13.715074178611975, 10.402629053614419, 6.610301912751319]","[20.935079562829195, 17.604512015450922, 8.632165649014484]","[15.399216813996523, 13.501889114183495, 5.874154483951409]","[18.314059433587026, 13.442287304218418, 10.469577560537418]","[14.917155337371508, 12.529826319423803, 4.953572151714759]"
ishleen,"[5.351891320424599, 3.3654527436995147, 3.3847642733743624]","[2.5568640537766174, 1.0354551213393355, 2.060118449968958]","[3.443717993801552, 1.5676044856891207, 2.8182754823756326]","[3.567262348422442, 1.725755698687121, 2.7495999357509295]","[4.907518205351463, 3.3395058790439673, 2.8468298380580404]"
jenni,"[2.395104282657463, 1.5658802556186342, 1.593155238133964]","[2.3902925758701743, 1.7661188893231625, 1.2158517091322574]","[1.4286959492618048, 0.8968767695049373, 0.9254405087114349]","[2.8527442136486023, 1.9647474305414752, 1.6643911282529675]","[4.077829351762612, 2.8880159281667326, 2.4721904238614427]"
kat,"[2.5863935047618356, 1.3916559586165902, 1.9700330520302787]","[1.841209823965674, 0.9282807955842284, 1.4135099940750335]","[1.7609570775414196, 1.162357191163204, 1.105526981265924]","[4.241591451874234, 2.674178845827225, 2.9632569269432767]","[2.860282714865145, 1.7795780896830158, 1.8577340931201103]"
law,"[3.8339117736809984, 1.5249542714765867, 3.2905849877972835]","[4.349131406323525, 1.2367128132310565, 4.086984049312326]","[3.3445509916245384, 1.6616410084182895, 2.5594711290695247]","[4.482903991954926, 2.1947469922096414, 3.53138922090327]","[4.515100266512777, 2.16231470060006, 3.5865940996170953]"
mansee,"[1.5650098866689133, 0.6124111377550769, 1.286172656312298]","[2.2632797606944317, 1.6206125170108288, 1.3116532972983663]","[1.7837490880673768, 1.027857584893553, 1.2257645768643037]","[3.1756835248926123, 1.9963247038579344, 2.1243816479442765]","[3.7402846289353797, 2.593998648689782, 2.0562642361201577]"
prasad,"[1.9408775836395478, 0.6658889457289767, 1.7843190579317143]","[1.117304357578899, 0.565307822185269, 0.8669558252072025]","[3.0938399817772826, 1.1265115141613262, 2.7439463562896753]","[4.023249872521722, 1.8596921123782075, 3.2499981349121314]","[3.4686852347617863, 1.4132505737548018, 2.9126256142898916]"
ridhim,"[3.256884581651176, 1.9274833913518636, 2.249516412320965]","[3.7752470572320003, 2.4461398258208664, 2.3104482235085064]","[3.347134304334807, 2.1752224480194573, 2.022098966684323]","[8.38494671162228, 5.4175910739498025, 5.534857928251341]","[9.393765798092348, 6.798673880504358, 5.294133919842826]"
tom,"[2.4460771455304475, 1.5098464248405667, 1.7616094423054702]","[1.7704777553071893, 1.021370845330009, 1.245498895154105]","[2.8515382023139164, 2.040396452674207, 1.6611434518016523]","[1.856190778037894, 1.0875953585827292, 1.2855505549584032]","[2.8907617152374208, 2.1302425362981783, 1.5627597670229498]"
vv,"[1.9170065375537244, 0.7554623103345058, 1.6030491367118285]","[2.6971744300824865, 0.7323222026475564, 2.5106128950675024]","[3.141989096069694, 1.9016817846816645, 2.0397044069322376]","[4.1168554643321, 2.470085095493456, 2.7615804279511535]","[5.078953396268431, 3.0890831783796218, 3.2977826066794216]"
you,"[7.283938356645623, 4.910650820496132, 4.586260786324962]","[14.734797767932594, 11.115018851797556, 8.040270908587708]","[10.684371031974859, 6.133772221612196, 7.251307582376749]","[9.740490486821038, 6.44771124752298, 6.2323568254351]","[7.6788071116047565, 5.969826119649126, 3.8332409643535192]"
