,frame,PathIDX,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y
0,0,99,0.0,-6.592258,0.2205292,-8.234893585616414,11.69248183612615,-14.41456,12.94426
1,1,99,0.01659999999998263,-6.481904,-0.2365427,-8.146494234398109,10.834211438582637,-14.41455,12.94427
2,2,99,0.033299999999997,-6.203478,-1.468071,-7.929942227892291,8.522272378986548,-14.41456,12.94426
3,3,99,0.05009999999998627,-5.721802,-2.804615,-7.489599506571959,6.007748802632308,-14.41455,12.94427
4,4,99,0.06629999999995562,-5.566591,-3.131429,-7.339112085501666,5.391759044815795,-14.41455,12.94426
5,5,99,0.08349999999995816,-2.502333,-0.0336699,-3.5777910645912767,11.093087310806954,-14.41455,12.94427
6,6,99,0.0999999999999659,-2.496236,0.3857836,-3.5361045759482925,11.877466058137271,-14.41455,12.94427
7,7,99,0.11669999999998026,6.371804,-10.52298,5.704565519920635,-8.79545752024417,-14.41455,12.94426
8,8,99,0.1338999999999828,6.613429,-10.32674,5.997181286834007,-8.43572349695534,-14.41455,12.94427
9,9,99,0.14979999999997062,6.648383,-7.960317,6.232999902420422,-4.010525392384514,-14.41455,12.94426
10,10,99,0.16679999999996653,6.532775,-7.556532,6.134181067714174,-3.2517658543320245,-14.41455,12.94426
11,11,99,0.18369999999998754,5.882993,-7.322971,5.410275982913658,-2.795214318277841,-14.41455,12.94426
12,12,99,0.20109999999999673,5.986752,-7.335467,5.527923504247403,-2.8217313899526015,-14.41456,12.94427
13,13,99,0.21699999999998454,5.715334,-7.590153,5.196393097198508,-3.2898825084124184,-14.41455,12.94427
14,14,99,0.23349999999999227,5.860929,-7.609797,5.3613019389814305,-3.331037183273498,-14.41456,12.94427
15,15,99,0.25039999999995644,5.297425,-7.615111,4.716314858392957,-3.32390183963539,-14.41455,12.94426
16,16,99,0.26679999999998927,5.240628,-7.733837,4.641523917008791,-3.5442509310003345,-14.41455,12.94426
17,17,99,0.2839999999999918,5.186822,-7.506958,4.5987552951951125,-3.1182565043079045,-14.41455,12.94427
18,18,99,0.30009999999998627,4.966721,-7.602124,4.33912367394276,-3.289589664710311,-14.41456,12.94427
19,19,99,0.31680000000000064,4.468654,-7.693624,3.761852287079317,-3.445643068280857,-14.41456,12.94426
20,20,99,0.33449999999999136,4.287624,-7.800751,3.545921014834322,-3.6405324868520097,-14.41455,12.94427
21,21,99,0.3503000000000043,4.270273,-7.949078,3.5137995256667978,-3.9174437983597965,-14.41455,12.94427
22,22,99,0.36719999999996844,4.144366,-7.983455,3.366939614432411,-3.977928848216724,-14.41455,12.94427
23,23,99,0.3839999999999577,3.142504,-8.847913,2.14944977592833,-5.564489836429033,-14.41456,12.94427
24,24,99,0.4002999999999588,2.867607,-8.966032,1.8252418617159718,-5.777094867774473,-14.41456,12.94427
25,25,99,0.4171000000000049,13.58166,3.530387,15.11435637493921,17.27208443554863,-14.41456,12.94427
26,26,99,0.4339999999999691,13.50968,3.260493,15.009688634805487,16.769444413511003,-14.41455,12.94426
27,27,99,0.4504000000000019,-5.665218,-11.62228,-8.154599042522356,-10.486897784202512,-14.41455,12.94426
28,28,99,0.4674999999999727,-5.746166,-11.58125,-8.243793497482782,-10.407700718771164,-14.41455,12.94427
29,29,99,0.4837999999999738,-4.913358,-11.0551,-7.247668331939829,-9.44880271672422,-14.41456,12.94427
30,30,99,0.5005999999999631,-5.163743,-11.09707,-7.5375370779133535,-9.519718195160358,-14.41456,12.94426
31,31,99,0.5169999999999959,-4.345387,-10.68398,-6.567298883540589,-8.771854465665555,-14.41455,12.94427
32,32,99,0.5340999999999667,-4.433404,-10.71364,-6.670429080145668,-8.824664754233225,-14.41455,12.94426
