,frame,PathIDX,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y
0,0,99,0.0,-6.499371,-2.806733,-14.096361145985632,-6.071729273799783,-13.14328,-2.520718
1,1,99,0.01710000000002765,-6.450776,-2.922335,-13.965129789283438,-6.172054890245171,-13.13231,-2.574938
2,2,99,0.03459999999995489,-6.442427,-2.860849,-13.990755830727148,-6.117150436787629,-13.1239,-2.694396
3,3,99,0.049999999999954525,-6.454956,-2.962401,-13.946802938713386,-6.207775273132354,-13.25092,-2.704769
4,4,99,0.0667999999999438,-6.42749,-2.958534,-13.913613104455532,-6.203106075452254,-13.33478,-2.788526
5,5,99,0.08309999999994488,-6.399294,-3.049797,-13.82314578041276,-6.282767979377436,-13.44457,-2.888441
6,6,99,0.10050000000001091,-6.337957,-3.074652,-13.729193616492717,-6.30204133318909,-13.5959,-2.875813
7,7,99,0.11630000000002383,-6.435209,-3.12828,-13.823063370057959,-6.353990210912219,-13.70512,-2.833193
8,8,99,0.13379999999995107,-6.372326,-3.147274,-13.73058491896229,-6.367996072010526,-13.82245,-2.895862
9,9,99,0.15089999999997872,-6.490268,-3.160447,-13.875138253663941,-6.385002235006672,-13.98056,-2.744117
10,10,99,0.16789999999991778,-6.468197,-3.038606,-13.918779884844486,-6.275953791821944,-14.08429,-2.650608
11,11,99,0.18419999999991887,-6.396638,-2.970837,-13.866473709274752,-6.2126240588475525,-14.29696,-2.924305
12,12,99,0.20100000000002183,-6.501271,-3.317328,-13.796449150199203,-6.524625555299911,-14.39262,-2.478052
13,13,99,0.21679999999992106,-6.43833,-2.936084,-13.940910451881882,-6.183686084926123,-14.47881,-2.23679
14,14,99,0.23500000000001364,-6.461717,-2.706723,-14.106945117017439,-5.981337772438051,-14.69261,-2.493783
15,15,99,0.25090000000000146,-12.81551,-5.30773,-20.774321707912485,-8.574800029922493,-14.68612,-2.27104
16,16,99,0.2678999999999405,-12.7866,-5.223181,-20.78704517167212,-8.498514502275976,-14.87217,-2.231649
17,17,99,0.2839999999999918,-13.15136,-5.786837,-20.924443688359624,-9.014846512148798,-14.98938,-2.363734
18,18,99,0.3005999999999176,-13.17059,-5.805308,-20.938346227932147,-9.032095184989094,-15.02567,-2.275707
19,19,99,0.31749999999999545,-13.61724,-5.965855,-21.42024279450657,-9.194634952172596,-15.11959,-2.307384
20,20,99,0.3342999999999847,-13.63693,-6.036384,-21.40391161689098,-9.25807093997912,-15.07595,-2.174597
21,21,99,0.3509000000000242,-13.59939,-5.978216,-21.389864672815097,-9.204791288674611,-15.00187,-2.098029
22,22,99,0.3711999999999307,-13.21166,-6.1566,-20.78336968509404,-9.34548508128752,-14.93085,-2.059641
23,23,99,0.38900000000001,-13.25854,-6.013707,-20.928546955533626,-9.220879595340065,-14.96445,-2.027089
24,24,99,0.4012000000000171,-13.22807,-6.010718,-20.89095670019078,-9.216853431510604,-14.98204,-1.987317
25,25,99,0.45799999999997,-11.20928,-6.147891,-18.20190850304597,-9.247373215629263,-14.96393,-2.107555
26,26,99,0.469600000000014,-13.14065,-5.993258,-20.78836952623063,-9.1974232109739,-15.25672,-2.243837
27,27,99,0.4861999999999398,-14.30696,-6.179373,-22.18476179639684,-9.415123250431675,-15.32807,-2.53656
28,28,99,0.5037999999999556,-12.90937,-6.23922,-20.343953642298978,-9.405109375930609,-15.28346,-2.179037
29,29,99,0.5325000000000273,-12.82187,-6.420295,-20.123693808789625,-9.561742163487422,-15.10517,-1.919683
30,30,99,0.5489000000000033,-13.1214,-6.261041,-20.604926015380578,-9.434032018233626,-14.91312,-1.862859
31,31,99,0.5657999999999674,-13.23015,-5.951853,-20.928502517180345,-9.164744127640933,-14.71945,-1.770563
32,32,99,0.5819999999999936,-13.35337,-5.826907,-21.161665733504073,-9.059500591069849,-14.37489,-1.724261
33,33,99,0.5983999999999696,-13.29529,-5.962441,-21.00637850066804,-9.177074327719435,-14.06427,-1.640685
34,34,99,0.6155999999999722,-13.52095,-6.004728,-21.272838082091088,-9.224762080055132,-13.74322,-1.463069
35,35,99,0.6323999999999614,-13.4952,-6.0024,-21.24095355697126,-9.221535173519928,-13.31619,-1.427823
36,36,99,0.6490000000000009,-13.43727,-6.01574,-21.158221463088147,-9.230750483760566,-12.93355,-1.387411
37,37,99,0.6657000000000153,-13.38717,-5.867029,-21.18156800870213,-9.096607698537117,-12.60087,-1.390118
38,38,99,0.6820000000000164,-13.33164,-5.939488,-21.06692682178677,-9.15835979676548,-12.27934,-1.382327
39,39,99,0.6992999999999938,-13.18888,-5.93036,-20.887918902721157,-9.143820560178725,-11.98058,-1.411193
40,40,99,0.7152999999999565,-13.25919,-5.959422,-20.96153333421955,-9.172767417898857,-11.80909,-1.525696
41,41,99,0.7324999999999591,-13.32367,-6.019143,-21.00946095501645,-9.228640400387253,-11.6262,-1.576749
42,42,99,0.7493999999999232,-13.08978,-6.068137,-20.678314910962673,-9.261531790487469,-11.43566,-1.541193
43,43,99,0.7663000000000011,-13.17477,-6.111047,-20.762691987410857,-9.303422120668381,-11.36018,-1.503005
44,44,99,0.782100000000014,-13.11336,-6.249326,-20.60147760764055,-9.423279885326671,-11.18938,-1.563559
45,45,99,0.7989000000000033,-13.12554,-6.148145,-20.67712919482298,-9.334099439649897,-11.11491,-1.517883
46,46,99,0.8159999999999172,-13.21187,-6.148492,-20.78844238784665,-9.338304150291556,-11.05,-1.417778
47,47,99,0.8328999999999951,-13.16738,-6.205906,-20.696971777735584,-9.387212255730873,-10.95018,-1.380056
48,48,99,0.8488999999999578,-13.05526,-6.144364,-20.588582504206464,-9.327573863127494,-10.76769,-1.373426
49,49,99,0.8659000000000106,-13.13941,-6.174016,-20.679725672102748,-9.357668694800433,-10.75248,-1.409974
50,50,99,0.8822000000000116,-12.94061,-6.180634,-20.419002312806473,-9.3545637948964,-10.58221,-1.269487
51,51,99,0.8990000000000009,-13.11762,-6.159213,-20.660344063928584,-9.343557351445604,-10.52884,-1.343693
52,52,99,0.915300000000002,-13.12261,-6.286656,-20.591320257710965,-9.456802766168915,-10.40958,-1.24194
53,53,99,0.932399999999916,-13.11574,-6.237685,-20.611445643009905,-9.413063741974337,-10.32383,-1.198378
54,54,99,0.9490999999999303,-13.1978,-6.266783,-20.70021707744773,-9.442572926631751,-10.25756,-1.165913
55,55,99,0.9667999999999211,-13.09426,-6.144414,-20.638932004900145,-9.329378684793664,-10.10121,-1.121985
