,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,1.984298,2.832501,1.6938150719601015,3.894382408309533,-3.698811,8.128413,False,14,"[0.0346522, 0.0494851, 1.000167]","[-0.0623768, 0.137813, 0.9648941]"
1,1,99,0.016899999999964166,2.442853,3.119035,2.1583728294201503,4.180209623884636,-3.813593,8.599378,False,14,"[0.0404197, 0.0516276, 0.9474465]","[-0.0640526, 0.1453134, 0.9609109]"
2,2,99,0.03350000000000364,2.533131,3.15699,2.2496990592222286,4.219073680755115,-4.536285,8.757662,False,14,"[0.0419515, 0.0523021, 0.9482632]","[-0.0763564, 0.1482605, 0.9624077]"
3,3,99,0.05000000000001137,2.983589,3.502684,2.7065185582670157,4.560426114691383,-4.752751,8.463639,False,14,"[0.0541654, 0.0636111, 1.039233]","[-0.0801841, 0.1435086, 0.9644245]"
4,4,99,0.0666999999999689,2.97654,3.691487,2.7007754648115743,4.738267007962441,-5.122247,8.577975,False,14,"[0.0540448, 0.0670586, 1.03938]","[-0.0862739, 0.1451798, 0.9624587]"
5,5,99,0.083500000000015,1.01279,4.33646,0.724866220332026,5.27994635096975,-5.129202,8.684631,False,14,"[0.0177826, 0.0762775, 1.005897]","[-0.0860412, 0.1464164, 0.9585552]"
6,6,99,0.10030000000000427,1.118257,4.346665,0.8313107816361618,5.293152051969914,-5.516058,8.763429,False,14,"[0.0196365, 0.076464, 1.005979]","[-0.0928614, 0.1482317, 0.9615778]"
7,7,99,0.11730000000000018,-1.225015,4.919744,-1.527892732156028,5.754136913910518,-5.739479,8.63705,False,14,"[-0.0208244, 0.0838255, 0.9738383]","[-0.0965721, 0.1459472, 0.9608284]"
8,8,99,0.13339999999999463,-1.206687,5.007765,-1.5087707058592756,5.837781057730082,-5.545455,8.563546,False,14,"[-0.0205081, 0.0853134, 0.9736168]","[-0.0930392, 0.1443026, 0.9582796]"
9,9,99,0.150100000000009,-1.445065,5.15293,-1.748140773386064,5.966609404772056,-5.66415,8.15704,False,14,"[-0.0271831, 0.0971731, 1.07756]","[-0.0952003, 0.1375835, 0.9598607]"
10,10,99,0.16669999999999163,-1.468539,5.146548,-1.7718620986325881,5.959792991833147,-5.966307,7.974506,False,14,"[-0.0276275, 0.0970617, 1.077666]","[-0.100189, 0.1342955, 0.9586569]"
11,11,99,0.1834999999999809,-1.569041,4.553153,-1.8775194763835654,5.396687336411722,-6.202243,8.297297,False,14,"[-0.0250262, 0.0727578, 0.9136381]","[-0.1043485, 0.1400309, 0.9601941]"
12,12,99,0.20019999999999527,-1.510972,4.490403,-1.8194070045212358,5.339472403073092,-6.190534,8.391956,False,14,"[-0.0241257, 0.0718289, 0.9146309]","[-0.1039228, 0.1413424, 0.9580994]"
13,13,99,0.21690000000000964,-1.774084,4.114603,-2.087493066700044,4.976083619981161,-5.80152,8.428897,False,14,"[-0.030778, 0.0714829, 0.9936864]","[-0.0976011, 0.1423458, 0.9606116]"
14,14,99,0.2336999999999989,-1.820458,4.489017,-2.1315549152005806,5.327659020947017,-5.867346,8.831336,False,14,"[-0.0316023, 0.0780608, 0.994293]","[-0.0983255, 0.1486577, 0.956809]"
