Name,w1_euc,w1_vec,w1_index,w2_euc,w2_vec,w2_index,w3_euc,w3_vec,w3_index,s4_euc,s4_vec,s4_index,b5_euc,b5_vec,b5_index,callibrate_euc,callibrate_vec,callibrate_index
ajit,"[[3.300737653795273, 3.7524261526568345], [1.0138238012018286, 1.1630410607099972], [2.932763554155954, 3.4486911353253804]]",2.051961260469951,5,"[[1.69898546143997, 3.9179185436268646], [0.6856107340765537, 0.7922051176174998], [1.4294345323075266, 3.758508390756511]]",2.93899063873139,3,"[[2.8407630314278007, 3.0318054966302084], [0.9093687510743359, 1.0889338007027027], [2.5726244031288177, 2.6631458731228417]]",1.6973600425109028,5,"[[3.0918356553305992, 4.884206964825452], [1.1876069802634235, 1.554810360851408], [2.6427165101436647, 4.363443887876125]]",2.7293633763451064,14,"[[3.22702893826825, 4.943829164096704], [1.559313755760888, 1.803673303290675], [2.4944197084267623, 4.2920669303440855]]",2.7705819898320576,12,"[[4.076724892000021, 6.039938895465023], [1.7567487683652017, 1.8400199645547153], [3.2870365129524637, 5.5026906311321655]]",3.4092659532082057,17
alejandro,"[[1.3723613254158777, 0.9766263126900572], [0.7757465000974955, 0.5696238575022508], [0.9767716847156158, 0.6447749928747908]]",0.5516861385156205,2,"[[1.3829128600336285, 1.2999714799659694], [0.6838773531107546, 0.8229784622938789], [1.0410756666182879, 0.8275807273818733]]",1.0098026198606491,0,"[[1.4402864828106832, 1.199146153617185], [0.696553094895729, 0.7858836666607985], [1.1313281590025601, 0.7543910526300037]]",0.6770772833713401,6,"[[2.2147623233951714, 1.7349133077479475], [1.3452173913174286, 1.0743013670372172], [1.5319086450626238, 1.1500569630878097]]",0.9861120529377052,8,"[[2.4349845011125777, 1.8494329063275674], [1.077649227939957, 0.9943613742694218], [1.9922066454107772, 1.3494369875862964]]",1.043709319276619,11,"[[1.6592484063553958, 1.9216928462055445], [0.8672636052897259, 0.8934122527560983], [1.3086590401926685, 1.5688569372373353]]",1.0787811906052225,16
aman,"[[0.666123120666782, 1.0309072264281154], [0.36519636956741847, 0.3360514250039253], [0.46849698480771396, 0.922129572028657]]",0.5879943987777503,3,"[[0.924956888765374, 0.6860351112039687], [0.3549453691891209, 0.4353474828550973], [0.7713840096543838, 0.44713898845189287]]",0.5396336906453691,5,"[[1.0399706752376008, 1.0210635534787353], [0.601675441138145, 0.6390162231368681], [0.7145489938600228, 0.6696918531481469]]",0.5865595880728577,5,"[[1.4351782873622114, 1.6549044912314685], [0.7981388127392307, 0.854882144170213], [1.0162129647588476, 1.236876796360865]]",0.9415411779352404,5,"[[2.170848154990753, 2.139444491343302], [1.253208268620769, 1.248711119585655], [1.5262872786511428, 1.501078599690424]]",1.222935958923539,11,"[[1.1824340071566832, 1.4045049093409883], [0.9116593047587772, 0.7060129744025974], [0.5154613016029977, 0.9763957554029687]]",0.8078467030660403,0
ajit,"[[3.300737653795273, 3.7524261526568345], [1.013823801201829, 1.1630410607099972], [2.932763554155954, 3.4486911353253804]]",2.051961260469951,5,"[[1.69898546143997, 3.9179185436268646], [0.6856107340765537, 0.7922051176174998], [1.4294345323075266, 3.758508390756511]]",2.93899063873139,3,"[[2.8407630314278007, 3.0318054966302084], [0.9093687510743359, 1.0889338007027027], [2.5726244031288177, 2.6631458731228417]]",1.6973600425109028,5,"[[3.0918356553305992, 4.884206964825452], [1.1876069802634235, 1.554810360851408], [2.6427165101436647, 4.363443887876125]]",2.7293633763451064,14,"[[3.22702893826825, 4.943829164096704], [1.559313755760888, 1.803673303290675], [2.494419708426763, 4.2920669303440855]]",2.7705819898320576,12,"[[4.076724892000021, 6.039938895465023], [1.756748768365202, 1.8400199645547153], [3.2870365129524637, 5.5026906311321655]]",3.4092659532082057,17
bianca,"[[1.1880651232889403, 1.0655841815124492], [0.3978378674151512, 0.7977698364853485], [1.0405434552603114, 0.6026594176301567]]",0.5982023557467049,1,"[[0.7036014983403938, 1.824045702474347], [0.3914619480937812, 0.9879034448344313], [0.5042099077461051, 1.4753211262946384]]",1.3924551819418065,0,"[[1.7294642813477001, 1.4385919850619078], [0.776979254061128, 0.9538000105747464], [1.4116615570972695, 0.8830715248185754]]",0.7901779583001252,5,"[[1.5177784563365082, 1.877027215879639], [0.8668455975005838, 1.2026606687577108], [1.04541758140302, 1.2190832365756927]]",1.0613953135635386,8,"[[2.8685331514859493, 2.852443113514641], [1.9075164204663204, 1.9200426755181494], [1.768504276380636, 1.7082357586319121]]",1.618539867732784,13,"[[0.604176447943341, 1.3875544718659565], [0.2667497337657769, 0.6348057113257027], [0.48172575220287583, 1.1703609297377213]]",0.7764061062994042,0
brenna,"[[0.7278581216984652, 0.803183433886442], [0.4070224189714895, 0.40879042862845427], [0.5291920463125246, 0.5996000877510288]]",0.43320208347380035,2,"[[1.265762464845757, 1.2364202830819753], [0.7269118852743993, 0.8690158692746991], [0.8503986484522368, 0.6675186347009522]]",0.9271040254585147,1,"[[1.8215192990828484, 1.723521400656726], [1.2725419020011732, 1.2867205121585688], [1.0319872152163645, 0.8866074015154283]]",0.6700841274497217,5,"[[2.494041393538673, 2.183648460934471], [1.2106018596718124, 1.1180210777864623], [1.909761735867931, 1.6195901961175072]]",1.1653275765968756,8,"[[2.733835414640428, 2.9719205180296253], [1.5813802193778392, 1.5704299699463722], [1.8612239678822815, 2.1951778738656853]]",1.642374187644327,12,"[[1.1363721758533798, 1.2568818544500633], [0.7537694231139244, 0.7112130864879801], [0.6397433180886585, 0.827151817195912]]",0.6861790368912357,0
chinmay,"[[3.3255362587288007, 1.1750144354052783], [1.9771111173183984, 0.5357466946470084], [2.4441242451756366, 0.9406011980761015]]",0.6656472982172895,3,"[[2.3852129338129755, 0.9782222987053368], [0.9783278413954827, 0.4505341556958429], [2.039017535286963, 0.7625907833692771]]",0.7631218620612403,5,"[[2.4690946347740566, 1.5388635999097193], [1.6932541869990623, 1.122336367728744], [1.5359512246467737, 0.8426264834495468]]",0.8715886140419417,5,"[[3.826716867076672, 1.876715965062228], [2.488430998216289, 1.0573941945822212], [2.5640075284005506, 1.344294785281496]]",1.0705542735715863,6,"[[3.0719902205757603, 2.531388889034196], [1.6672430360295034, 1.5127975400327007], [2.2557257504020254, 1.6911352669202946]]",1.4525347553236296,12,"[[5.109946861179143, 4.2475159399102465], [3.875091861657046, 2.920505887028288], [2.481413457303308, 2.420254294376229]]",2.4457611476507255,0
chris,"[[5.107988300153387, 5.727772671559998], [3.428717657166184, 3.657449872913807], [2.987029591323262, 3.7038927642772155]]",3.090306956801466,8,"[[2.3742940475018988, 2.5747174133570487], [1.1032280188882546, 1.284986905629096], [1.9416512006180038, 1.9596391350350846]]",1.9760714983199998,10,"[[5.029950157179863, 4.960156506177127], [4.046193527370272, 3.527823298904461], [2.2263498123878014, 2.9319309707144234]]",2.4981279438182167,6,"[[6.1406093235790715, 6.799198752972725], [3.94324131277147, 3.844645332437393], [3.811661923456809, 4.77406649158318]]",3.7801619276024683,19,"[[5.777189564929383, 5.617622458068058], [4.683742020134098, 4.685898131867339], [2.532757025855253, 2.3352032756492878]]",3.134226868612079,13,"[[2.7597296341507596, 5.227562197246518], [1.8548456244518978, 1.9434854690387857], [1.8746227056603046, 4.6670728454581205]]",2.4723287952845387,0
deept,"[[2.320709519452852, 2.6337696893626257], [1.4543003545668012, 1.3178838777362376], [1.4500645745924374, 1.8833355106201846]]",1.4977874672276792,0,"[[1.50269823743558, 2.3778230284617123], [0.8869566551007506, 0.8439804078574304], [1.0043051379319712, 2.0069923925102393]]",1.837733846178794,4,"[[14.894470700324717, 14.006232452635256], [12.95322584486968, 12.810877092139883], [5.298402291747122, 4.104023366524193]]",8.432744435008404,6,"[[6.190099576165212, 6.401311973448423], [2.5260744342342796, 2.8742902091315017], [5.121630795763154, 5.196795246183015]]",4.142269689946244,8,"[[3.3619593757011095, 3.627317044137996], [1.8841161750126059, 1.8779967121253973], [2.3577007969552914, 2.6889293200228996]]",2.032769302817174,15,"[[2.4629400049881824, 3.455720311733], [1.3605883953383806, 1.5434859157148366], [1.6835657558455823, 2.732109371745664]]",2.105130979783428,0
gab,"[[1.6870008030877812, 1.8301549869358857], [0.8136166402061293, 0.7105598815588803], [1.3419237396233386, 1.5424564330519637]]",1.031306072897442,2,"[[1.3807778071217047, 1.4660566224908558], [0.6472993567730569, 0.6443078083412183], [0.9850838425703512, 1.0712490715171776]]",1.1744126201033063,3,"[[2.4139249939321257, 2.6672355544276902], [0.6413294890604105, 0.6031492495944796], [2.24005058616509, 2.5210523500284627]]",1.5032498356461022,6,"[[1.668267756196419, 1.7503385052919218], [0.6653476730536819, 0.7439619147792393], [1.4082166874744029, 1.4660442845501398]]",0.9890502073004033,3,"[[2.5146241521002524, 2.5430422783861664], [1.354181360135861, 1.3512263427600562], [1.8234813026420986, 1.8598788446930445]]",1.4433148841728143,12,"[[0.7260495048109895, 0.8395804113520123], [0.2732264129739233, 0.36604274189882374], [0.6187127125405892, 0.688039655089454]]",0.475978094425831,0
