,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-7.999691,12.35662,-8.856591200779786,9.467416184100323,-13.73427,11.17797,False,10,"[-0.1155196, 0.1800754, 0.8219969]","[-0.2210965, 0.1787585, 0.9046222]"
1,1,99,0.016900000000077853,-8.005613,12.28971,-8.864329572437024,9.403070529620239,-13.73427,11.17797,False,10,"[-0.115613, 0.1790801, 0.8220451]","[-0.2210965, 0.1787585, 0.9046221]"
2,2,99,0.03360000000009222,-7.767531,12.00088,-8.631801666351876,9.145372896442087,-13.73427,11.17797,False,10,"[-0.1312946, 0.2046077, 0.9625306]","[-0.2210965, 0.1787585, 0.9046221]"
3,3,99,0.051000000000044565,-7.796716,11.99663,-8.66135190130225,9.13909348568283,-13.73427,11.17797,False,10,"[-0.1316928, 0.204376, 0.9617911]","[-0.2210963, 0.1787586, 0.9046219]"
4,4,99,0.06700000000000728,-12.24622,12.03937,-13.148319519071732,8.84130959354152,-13.73427,11.17797,False,10,"[-0.2735881, 0.2688268, 1.260472]","[-0.2210965, 0.1787585, 0.9046223]"
5,5,99,0.0845000000000482,-12.18945,11.99532,-13.092219135213465,8.803564587155346,-13.73427,11.17797,False,10,"[-0.2724025, 0.2679337, 1.261036]","[-0.2210964, 0.1787585, 0.9046221]"
6,6,99,0.1006000000000995,-12.53706,11.161,-13.464852405945914,7.9803870569514075,-13.73427,11.17797,False,10,"[-0.2625034, 0.232903, 1.180463]","[-0.2210965, 0.1787585, 0.9046222]"
7,7,99,0.11740000000008877,-12.49751,11.17657,-13.424548665492566,7.998265137917384,-13.73427,11.17797,False,10,"[-0.2616817, 0.233266, 1.180613]","[-0.2210963, 0.1787585, 0.9046216]"
8,8,99,0.13360000000000127,-12.58943,10.98924,-13.522207449756845,7.812381398623742,-13.73427,11.17797,False,10,"[-0.2512448, 0.2184547, 1.124979]","[-0.2210963, 0.1787585, 0.9046221]"
9,9,99,0.15050000000007913,-12.58068,11.06408,-13.511407366181412,7.88451492833747,-13.73428,11.17797,False,10,"[-0.2508616, 0.2198022, 1.124071]","[-0.2210965, 0.1787585, 0.9046221]"
10,10,99,0.1673000000000684,-12.72821,11.40915,-13.651114357500585,8.202809178537562,-13.73427,11.17797,False,10,"[-0.2405789, 0.2149362, 1.065087]","[-0.2210965, 0.1787585, 0.9046222]"
11,11,99,0.18410000000005766,-12.71618,11.23255,-13.643638526524933,8.035082319137764,-13.73426,11.17797,False,10,"[-0.2404564, 0.2116208, 1.065586]","[-0.2210963, 0.1787585, 0.9046223]"
12,12,99,0.20060000000000855,-13.22093,11.04596,-14.157688311602035,7.8184897300856555,-13.73428,11.17797,False,10,"[-0.2708646, 0.2250693, 1.152942]","[-0.2210966, 0.1787586, 0.904622]"
13,13,99,0.21739999999999782,-13.21344,10.8633,-14.154951712446644,7.644630452693317,-13.73427,11.17796,False,10,"[-0.2707537, 0.2212953, 1.153147]","[-0.2210965, 0.1787585, 0.9046224]"
14,14,99,0.23460000000000036,-13.48268,10.97947,-14.423462429246884,7.735077171099231,-13.73427,11.17797,False,10,"[-0.2508978, 0.2030216, 1.046458]","[-0.2210964, 0.1787585, 0.9046221]"
15,15,99,0.25120000000003984,-13.51578,10.81948,-14.461069862998373,7.579777557749917,-13.73428,11.17797,False,10,"[-0.2516418, 0.2000744, 1.046893]","[-0.2210964, 0.1787585, 0.9046218]"
16,16,99,0.2680000000000291,-13.97309,11.20717,-14.91211934422138,7.915197715680279,-13.73427,11.17797,False,10,"[-0.292564, 0.2329601, 1.175763]","[-0.2210965, 0.1787585, 0.9046221]"
17,17,99,0.2842000000000553,-13.94626,11.22225,-14.884658851404316,7.931639910723133,-13.73427,11.17797,False,10,"[-0.2919573, 0.2332641, 1.175674]","[-0.2210964, 0.1787585, 0.9046219]"
18,18,99,0.30119999999999436,-13.84514,11.94582,-14.763574874932411,8.63030051352968,-13.73428,11.17796,False,10,"[-0.2743419, 0.235504, 1.113134]","[-0.2210967, 0.1787585, 0.9046224]"
19,19,99,0.31760000000008404,-13.99999,11.9513,-14.919623350304262,8.623749818874542,-13.73427,11.17797,False,10,"[-0.277127, 0.2352686, 1.111496]","[-0.2210963, 0.1787585, 0.904622]"
20,20,99,0.3349000000000615,-11.17553,12.78752,-12.048607960230905,9.637224871390393,-13.73426,11.17797,False,10,"[-0.2122985, 0.2438957, 1.074594]","[-0.2210964, 0.1787586, 0.9046224]"
21,21,99,0.3568000000000211,-10.34518,13.33718,-11.196556837131299,10.22530483148678,-13.73427,11.17797,False,10,"[-0.1884576, 0.2447536, 1.032387]","[-0.2210965, 0.1787585, 0.9046222]"
22,22,99,0.36820000000000164,-10.79939,13.49603,-11.650515969891748,10.342432535594922,-13.73427,11.17797,False,10,"[-0.1962376, 0.2469112, 1.028773]","[-0.2210963, 0.1787586, 0.904622]"
23,23,99,0.3847000000000662,-10.78162,13.65041,-11.628519480361197,10.491208357156399,-13.73427,11.17797,False,10,"[-0.1957427, 0.2496351, 1.02791]","[-0.2210965, 0.1787585, 0.9046222]"
24,24,99,0.4050000000000864,-10.1355,13.88603,-10.970580221846767,10.765379593548664,-13.73427,11.17797,False,10,"[-0.1716983, 0.2374416, 0.9604611]","[-0.2210965, 0.1787585, 0.9046222]"
25,25,99,0.4216000000000122,-10.0651,13.66777,-10.905327084558335,10.562311789865303,-13.73427,11.17797,False,10,"[-0.1767259, 0.2421189, 0.9956458]","[-0.2210966, 0.1787585, 0.9046224]"
26,26,99,0.43450000000007094,-10.34774,13.83973,-11.18588234450403,10.70501487136227,-13.73427,11.17797,False,10,"[-0.1808451, 0.2440025, 0.9904346]","[-0.2210964, 0.1787585, 0.9046218]"
27,27,99,0.4517000000000735,-10.50663,13.92165,-11.343989459238465,10.77115231721831,-13.73427,11.17797,False,10,"[-0.1834064, 0.2451329, 0.9889334]","[-0.2210965, 0.1787585, 0.9046221]"
28,28,99,0.4682999999999993,-10.17249,13.02962,-11.030482159276936,9.944744986000952,-13.73427,11.17797,False,10,"[-0.1906394, 0.245866, 1.062456]","[-0.2210964, 0.1787585, 0.904622]"
29,29,99,0.4854000000000269,-10.26836,12.84612,-11.132024171305348,9.762218078238595,-13.73427,11.17797,False,10,"[-0.1922518, 0.2420028, 1.061225]","[-0.2210964, 0.1787586, 0.9046221]"
30,30,99,0.5018000000000029,-9.865654,12.31699,-10.739783302610043,9.287576025154994,-13.73428,11.17797,False,10,"[-0.1724076, 0.2164593, 0.9913594]","[-0.2210965, 0.1787585, 0.9046221]"
31,31,99,0.5185000000000173,-9.946415,12.25012,-10.823008706203842,9.217573475896785,-13.73428,11.17797,False,10,"[-0.1737174, 0.2150862, 0.990617]","[-0.2210965, 0.1787585, 0.9046218]"
32,32,99,0.5351000000000568,-11.85779,10.76477,-12.790143116058958,7.653702410298839,-13.73427,11.17797,False,10,"[-0.2588427, 0.2343832, 1.232797]","[-0.2210964, 0.1787585, 0.9046221]"
33,33,99,0.551900000000046,-11.71563,10.66233,-12.649452396697214,7.566696487476348,-13.73428,11.17797,False,10,"[-0.2556577, 0.2321064, 1.232831]","[-0.2210965, 0.1787585, 0.904622]"
34,34,99,0.5682000000000471,-11.42785,9.756742,-12.383064826822258,6.723814186739903,-13.73427,11.17797,False,10,"[-0.2381583, 0.2025908, 1.178178]","[-0.2210965, 0.1787586, 0.9046222]"
35,35,99,0.5848000000000866,-11.34395,9.863888,-12.295610763385726,6.832516751063263,-13.73427,11.17797,False,10,"[-0.2361878, 0.2047079, 1.177304]","[-0.2210964, 0.1787585, 0.9046218]"
36,36,99,0.6018000000000256,-10.75978,9.214264,-11.72351053122986,6.256619249963267,-13.73428,11.17796,False,10,"[-0.2190583, 0.1869975, 1.152739]","[-0.2210966, 0.1787585, 0.9046225]"
37,37,99,0.6182000000000016,-10.66295,9.10317,-11.628771246721934,6.157899761836122,-13.73427,11.17797,False,10,"[-0.2169714, 0.1846456, 1.152373]","[-0.2210964, 0.1787585, 0.9046222]"
38,38,99,0.6349999999999909,-10.63254,9.139214,-11.597146697752287,6.19463373931797,-13.73427,11.17797,False,10,"[-0.1842402, 0.157883, 0.9813954]","[-0.2210964, 0.1787585, 0.904622]"
39,39,99,0.6520000000000437,-10.5063,9.025403,-11.472814008357103,6.095557720418997,-13.73427,11.17797,False,10,"[-0.1819089, 0.1558036, 0.9808905]","[-0.2210964, 0.1787585, 0.9046218]"
40,40,99,0.668700000000058,-10.33358,9.020894,-11.298714930586527,6.104395531197888,-13.73427,11.17797,False,10,"[-0.2123085, 0.1848549, 1.164379]","[-0.2210964, 0.1787585, 0.9046221]"
41,41,99,0.6858000000000857,-10.35442,8.97058,-11.32106290419018,6.054762824024101,-13.73427,11.17797,False,10,"[-0.2126159, 0.1836942, 1.163666]","[-0.2210965, 0.1787585, 0.9046223]"
