,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-6.109622,-7.75287,-10.663869410670733,-10.440514124972292,-10.70461,5.237603,False,11,"[-0.0393661, -0.0500706, 0.3677737]","[-0.2131251, 0.1033508, 1.127435]"
1,1,99,0.016799999999989268,-6.050488,-7.754551,-10.586486300451494,-10.439335545319175,-10.72313,5.169745,True,11,"[-0.0389925, -0.0500947, 0.3678704]","[-0.213499, 0.1020027, 1.127417]"
2,2,99,0.03339999999991505,-6.109691,-7.783658,-10.64572637150648,-10.467820934613954,-10.76847,5.207845,True,11,"[-0.0393657, -0.0502708, 0.3677655]","[-0.2144049, 0.1027498, 1.12732]"
3,3,99,0.05009999999992942,-6.092339,-7.843972,-10.587594536677212,-10.520525867884377,-10.76385,5.288213,True,11,"[-0.0392534, -0.0506657, 0.367769]","[-0.2142665, 0.1043229, 1.127087]"
4,4,99,0.06639999999993051,-6.089639,-7.79249,-10.614593586296204,-10.474748251730468,-10.73403,5.293821,True,11,"[-0.0392356, -0.0503285, 0.3677657]","[-0.2137136, 0.104461, 1.127377]"
5,5,99,0.08339999999998327,-6.103972,-7.77705,-10.64225188127181,-10.461702609165494,-10.70488,5.273183,True,11,"[-0.0393321, -0.0502321, 0.3677984]","[-0.2131238, 0.1040535, 1.127399]"
6,6,99,0.09979999999995925,-6.133599,-7.774495,-10.682036242753945,-10.46077413889694,-10.74351,5.243307,True,11,"[-0.0395216, -0.0502117, 0.3677716]","[-0.2139001, 0.1034553, 1.127341]"
7,7,99,0.11659999999994852,-6.123421,-7.784443,-10.662997537032844,-10.469136874788152,-10.70906,5.28116,True,11,"[-0.0394594, -0.0502816, 0.3678076]","[-0.2131968, 0.1042058, 1.127334]"
8,8,99,0.133199999999988,-6.110693,-7.746573,-10.668981883319216,-10.43497810749879,-10.7317,5.26322,True,11,"[-0.0393801, -0.0500383, 0.3678392]","[-0.2136515, 0.1038466, 1.127299]"
9,9,99,0.15009999999995216,-6.13704,-7.694469,-10.733871374304233,-10.389960080264682,-10.71977,5.27383,False,11,"[-0.039592, -0.049749, 0.368219]","[-0.2133956, 0.1040509, 1.127233]"
10,10,99,0.16669999999999163,-6.081211,-7.728454,-10.641627647813033,-10.417578817916041,-10.72383,5.252807,False,11,"[-0.0391945, -0.0499272, 0.3678935]","[-0.2134591, 0.1036245, 1.127131]"
11,11,99,0.18880000000001473,-6.085108,-7.669908,-10.681331707811406,-10.36583443285723,-10.74479,5.267756,False,11,"[-0.0392381, -0.0495675, 0.3680652]","[-0.213842, 0.1038995, 1.126898]"
12,12,99,0.20459999999991396,-6.125216,-7.736247,-10.693857184273403,-10.426476285751844,-10.74598,5.205467,False,11,"[-0.0394936, -0.049995, 0.3680177]","[-0.2138753, 0.1026684, 1.126945]"
13,13,99,0.22249999999996817,-6.110745,-7.694802,-10.699707030891062,-10.389068424435317,-10.71139,5.2253,True,11,"[-0.0394108, -0.0497382, 0.3681231]","[-0.2131617, 0.1030575, 1.126898]"
14,14,99,0.2357999999999265,-6.122917,-7.793088,-10.657227050307672,-10.476780761709191,-10.68265,5.254213,True,11,"[-0.0394659, -0.0503506, 0.3678986]","[-0.2125697, 0.1036277, 1.126863]"
15,15,99,0.252399999999966,-6.150442,-7.774905,-10.70355076379602,-10.461898040584336,-10.67089,5.255628,True,11,"[-0.0396537, -0.0502432, 0.3679831]","[-0.2122959, 0.1036391, 1.126682]"
16,16,99,0.26900000000000546,-6.124534,-7.751344,-10.68403598876692,-10.439833959142744,-10.64234,5.246201,True,11,"[-0.0394788, -0.0500807, 0.3679213]","[-0.2117132, 0.1034515, 1.126674]"
17,17,99,0.2859999999999445,-6.062211,-7.680741,-10.645338870258989,-10.374407870268517,-10.65067,5.257143,True,11,"[-0.0391064, -0.0496601, 0.3682262]","[-0.2118233, 0.1036393, 1.126357]"
18,18,99,0.3025000000000091,-6.127025,-7.710736,-10.711301214587643,-10.403934047269509,-10.66876,5.240955,True,11,"[-0.0395186, -0.0498449, 0.3681415]","[-0.2121406, 0.1032936, 1.126087]"
19,19,99,0.31929999999999836,-6.050128,-7.748443,-10.58963832445776,-10.43390254246779,-10.66367,5.269124,True,11,"[-0.0389785, -0.0500398, 0.3677606]","[-0.2119878, 0.1038279, 1.125826]"
20,20,99,0.33589999999992415,-6.113277,-7.746297,-10.67248326517143,-10.434849985760728,-10.69757,5.266967,True,11,"[-0.0394286, -0.0500768, 0.3681353]","[-0.2126826, 0.1037875, 1.125852]"
21,21,99,0.35789999999997235,-6.051298,-7.779644,-10.572672954187352,-10.46162531224655,-10.71343,5.270874,True,11,"[-0.0389848, -0.0502421, 0.3677482]","[-0.2129337, 0.10383, 1.125474]"
22,22,99,0.3688999999999396,-6.080162,-7.733003,-10.637578732374571,-10.421565651179222,-10.72403,5.305861,True,11,"[-0.039203, -0.0499765, 0.3680374]","[-0.2131936, 0.1045448, 1.125707]"
23,23,99,0.38649999999995543,-6.048846,-7.769154,-10.575717542841552,-10.452211790227324,-10.73369,5.298971,True,11,"[-0.0389576, -0.050159, 0.3676414]","[-0.2133352, 0.1043814, 1.125417]"
24,24,99,0.40260000000000673,-6.101021,-7.71139,-10.677322685667843,-10.403340199478453,-10.72786,5.273184,True,11,"[-0.0393451, -0.0498435, 0.3680991]","[-0.2132897, 0.1039062, 1.125803]"
25,25,99,0.4216999999999871,-6.076813,-7.722831,-10.639276286880955,-10.412393649775316,-10.71677,5.273135,True,11,"[-0.0391435, -0.0498619, 0.367683]","[-0.2130263, 0.1038869, 1.125604]"
26,26,99,0.4356999999999971,-6.148935,-7.737304,-10.72387078665687,-10.428484352083075,-10.70227,5.265029,True,11,"[-0.0396428, -0.0499958, 0.3679725]","[-0.2127871, 0.1037535, 1.1259]"
27,27,99,0.45249999999998636,-6.055103,-7.719261,-10.613346013788348,-10.408247669166663,-10.65136,5.272753,True,11,"[-0.0389941, -0.0498278, 0.3676033]","[-0.2117253, 0.1038939, 1.125762]"
28,28,99,0.4692000000000007,-6.125904,-7.728369,-10.699411151667414,-10.41952090262118,-10.64396,5.268953,True,11,"[-0.0394876, -0.0499303, 0.3679205]","[-0.2116263, 0.1038438, 1.126036]"
29,29,99,0.4864000000000033,-6.041609,-7.752194,-10.576412434916026,-10.436844486422203,-10.61685,5.30153,True,11,"[-0.0388706, -0.0499966, 0.3672628]","[-0.2110491, 0.1044769, 1.125899]"
30,30,99,0.5024999999999409,-6.09414,-7.74159,-10.65055003515456,-10.429811826996012,-10.6315,5.273876,True,11,"[-0.0392656, -0.0499968, 0.3677732]","[-0.2114621, 0.1039853, 1.126512]"
31,31,99,0.5191999999999553,-6.081832,-7.717577,-10.648871027313056,-10.40796080983984,-10.64006,5.289582,True,11,"[-0.0392012, -0.0498595, 0.3679186]","[-0.2116047, 0.1042812, 1.126344]"
32,32,99,0.5358999999999696,-6.103255,-7.703919,-10.684632713623532,-10.396815543040773,-10.66332,5.27804,True,11,"[-0.0393377, -0.0497668, 0.3678938]","[-0.2120713, 0.1040489, 1.126307]"
33,33,99,0.5554999999999382,-6.04366,-7.687871,-10.617152932639584,-10.37989356014066,-10.65561,5.239641,True,11,"[-0.0389806, -0.0497001, 0.3681766]","[-0.2119211, 0.103291, 1.126343]"
34,34,99,0.5693999999999733,-6.095809,-7.74382,-10.651385431627883,-10.431864795458456,-10.69413,5.252324,True,11,"[-0.0392936, -0.0500333, 0.3679344]","[-0.2126519, 0.1035165, 1.126061]"
35,35,99,0.5858999999999241,-6.070841,-7.702907,-10.643360504978826,-10.394454887214112,-10.68892,5.262115,False,11,"[-0.039151, -0.0497905, 0.3681177]","[-0.2125217, 0.1036988, 1.125933]"
36,36,99,0.6025999999999385,-6.084108,-7.725942,-10.646857478499058,-10.415481875247908,-10.68997,5.270406,False,11,"[-0.0392255, -0.0499264, 0.3680085]","[-0.2125048, 0.1038444, 1.12573]"
37,37,99,0.6195000000000164,-6.132658,-7.729342,-10.707559584724246,-10.420688666414907,-10.71347,5.272288,True,11,"[-0.0395654, -0.0499796, 0.3682364]","[-0.2129375, 0.1038595, 1.125489]"
38,38,99,0.6360999999999422,-6.113221,-7.741415,-10.675301969880714,-10.430517958127972,-10.69438,5.286872,True,11,"[-0.0394126, -0.050025, 0.3679895]","[-0.2125597, 0.1041536, 1.125546]"
39,39,99,0.6527999999999565,-6.063018,-7.680925,-10.646272368384109,-10.374607475224789,-10.68788,5.26291,True,11,"[-0.0390777, -0.0496181, 0.3679061]","[-0.2124002, 0.1036655, 1.125401]"
40,40,99,0.6691999999999325,-6.10797,-7.754142,-10.660982144766322,-10.441567599476823,-10.67361,5.265222,True,11,"[-0.039368, -0.050095, 0.3678917]","[-0.2121321, 0.1037222, 1.125519]"
41,41,99,0.6894999999999527,-6.058212,-7.733706,-10.608808030308758,-10.421198257675869,-10.67413,5.270721,False,11,"[-0.0390147, -0.0499226, 0.3676067]","[-0.2121128, 0.1038165, 1.12536]"
42,42,99,0.7036999999999125,-6.071022,-7.691617,-10.650280076909388,-10.384450756883348,-10.70031,5.21737,False,11,"[-0.0391422, -0.049704, 0.368024]","[-0.2126907, 0.1027817, 1.1256]"
43,43,99,0.7205000000000155,-6.03454,-7.682345,-10.60864438221127,-10.374581260897585,-10.73916,5.204033,True,11,"[-0.0388951, -0.0496304, 0.3679281]","[-0.2134253, 0.1024907, 1.125306]"
44,44,99,0.7373999999999796,-6.083235,-7.768514,-10.620519289811394,-10.453196556871244,-10.76954,5.245597,True,11,"[-0.0392181, -0.0502026, 0.367992]","[-0.2140164, 0.1033007, 1.125162]"
45,45,99,0.7542999999999438,-6.076705,-7.767961,-10.612411496271065,-10.452411372783988,-10.78,5.307903,True,11,"[-0.039156, -0.0501738, 0.3678069]","[-0.2141841, 0.1045127, 1.124925]"
46,46,99,0.7703999999999951,-6.114722,-7.76423,-10.663730234027149,-10.45081872041812,-10.74634,5.332689,True,11,"[-0.0394135, -0.050163, 0.3679069]","[-0.2135263, 0.1050168, 1.125067]"
47,47,99,0.7875999999999976,-6.081293,-7.730922,-10.640272062171878,-10.419771213706642,-10.75661,5.31239,False,11,"[-0.0391674, -0.0499082, 0.3676346]","[-0.2137092, 0.104602, 1.12493]"
48,48,99,0.8044999999999618,-6.117871,-7.735955,-10.684542036400615,-10.42588577454256,-10.75504,5.313715,False,11,"[-0.0394277, -0.0499701, 0.3678482]","[-0.2137115, 0.104645, 1.125111]"
49,49,99,0.820699999999988,-6.117846,-7.724055,-10.691556735736004,-10.415331379501861,-10.72102,5.308723,True,11,"[-0.0394403, -0.0499084, 0.3679672]","[-0.2130563, 0.1045642, 1.125305]"
50,50,99,0.8375999999999522,-6.087163,-7.738821,-10.643177100004024,-10.427041251767243,-10.72082,5.309577,True,11,"[-0.039229, -0.0499898, 0.3678553]","[-0.213042, 0.1045762, 1.125252]"
51,51,99,0.8546000000000049,-6.048966,-7.718378,-10.605941307495215,-10.40718757169347,-10.69245,5.296832,True,11,"[-0.0389544, -0.0498221, 0.367604]","[-0.2124128, 0.1042981, 1.124975]"
52,52,99,0.8702999999999292,-6.101444,-7.72749,-10.668334937383264,-10.417637242749315,-10.74455,5.272633,True,11,"[-0.039328, -0.0499237, 0.3679138]","[-0.213504, 0.1038342, 1.125142]"
53,53,99,0.8873999999999569,-6.084231,-7.75152,-10.631869475432742,-10.438170742762463,-10.74662,5.301754,True,11,"[-0.0392152, -0.0500795, 0.3679042]","[-0.2135572, 0.1044164, 1.125201]"
54,54,99,0.9039000000000215,-6.084639,-7.757441,-10.628890194956261,-10.443440075313287,-10.74012,5.31394,True,11,"[-0.0392109, -0.0501094, 0.3678392]","[-0.2134225, 0.1046565, 1.125187]"
55,55,99,0.9207000000000107,-6.095856,-7.752585,-10.646255649181,-10.439639974299425,-10.7521,5.315557,True,11,"[-0.0392699, -0.05006, 0.3677095]","[-0.2136527, 0.104682, 1.125116]"
56,56,99,0.9385999999999513,-6.099722,-7.733458,-10.66257634977849,-10.422852106964992,-10.71568,5.313241,True,11,"[-0.0393101, -0.0499541, 0.3678507]","[-0.2129594, 0.1046595, 1.125367]"
57,57,99,0.9551999999999907,-6.065802,-7.764572,-10.600334218346505,-10.448913741826342,-10.71184,5.297512,True,11,"[-0.0390442, -0.0500991, 0.3674215]","[-0.2128257, 0.1043206, 1.125074]"
58,58,99,0.9705999999999904,-6.110166,-7.716519,-10.686098627580048,-10.408301556073852,-10.68496,5.290046,True,11,"[-0.0393726, -0.0498367, 0.3678012]","[-0.212389, 0.1042267, 1.125656]"
59,59,99,0.9874999999999545,-6.036537,-7.733572,-10.580888223848333,-10.420101001841601,-10.70025,5.289807,False,11,"[-0.0388682, -0.0499142, 0.3675512]","[-0.2126232, 0.1041843, 1.125249]"
60,60,99,1.0038999999999305,-6.101854,-7.765361,-10.646437950813086,-10.451240855964496,-10.68119,5.30478,False,11,"[-0.0393204, -0.0501582, 0.3678173]","[-0.2123107, 0.104518, 1.125649]"
61,61,99,1.0206999999999198,-5.997925,-7.803099,-10.48983752094037,-10.480016604377255,-10.67491,5.307728,False,11,"[-0.0385881, -0.0503298, 0.3672688]","[-0.2121253, 0.1045479, 1.125342]"
62,62,99,1.0369999999999209,-6.083539,-7.747793,-10.633182640207082,-10.434834293393703,-10.72616,5.290117,False,11,"[-0.0391988, -0.0500399, 0.3677923]","[-0.21325, 0.1042393, 1.125776]"
63,63,99,1.0538999999999987,-6.031371,-7.756581,-10.56058935998234,-10.44027285714612,-10.7374,5.309417,True,11,"[-0.0388469, -0.0500802, 0.3676666]","[-0.2134683, 0.1046165, 1.12572]"
64,64,99,1.0716999999999643,-6.100616,-7.732969,-10.664020772132162,-10.4224588031486,-10.75023,5.321433,True,11,"[-0.0393179, -0.0499535, 0.3678695]","[-0.2137539, 0.1048667, 1.125849]"
65,65,99,1.087699999999927,-6.081665,-7.729893,-10.64136195905915,-10.418875458814957,-10.74773,5.30801,True,11,"[-0.0391606, -0.0498898, 0.3675484]","[-0.2137136, 0.1046059, 1.125906]"
66,66,99,1.1079999999999472,-6.076886,-7.749785,-10.623408849561436,-10.43630053713305,-10.72877,5.306848,True,11,"[-0.0391545, -0.0500515, 0.3677818]","[-0.2133705, 0.1046039, 1.126132]"
67,67,99,1.1213000000000193,-6.0794,-7.718197,-10.6453622833996,-10.408400862153943,-10.74352,5.290493,True,11,"[-0.0391392, -0.0498048, 0.367485]","[-0.2135962, 0.1042432, 1.125739]"
68,68,99,1.1376999999999953,-6.110495,-7.746085,-10.66901509841105,-10.434536397065633,-10.73244,5.295021,True,11,"[-0.0393776, -0.0500336, 0.3678281]","[-0.2134674, 0.1043802, 1.126248]"
69,69,99,1.1541999999999462,-6.039882,-7.717837,-10.594527221929695,-10.406297740672146,-10.7214,5.282488,False,11,"[-0.0389006, -0.0498251, 0.3676522]","[-0.2131779, 0.1041002, 1.125907]"
