,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-5.131129,21.30285,-0.8568346404799387,6.83179094088099,-0.5100251,8.735562,False,8,"[-0.086924, 0.3774724, 0.9680246]","[-0.0554704, 0.9574857, 6.231327]"
1,1,99,0.017099999999913962,-5.22156,21.36368,-0.9222107243452198,6.878204756153607,-0.6020201,8.733218,False,8,"[-0.0862547, 0.3691986, 0.9438446]","[-0.0654711, 0.9571463, 6.230817]"
2,2,99,0.03350000000000364,-5.310654,21.34595,-0.9944723441111198,6.877861239183358,-0.6270233,8.777451,False,8,"[-0.087739, 0.3688794, 0.9438895]","[-0.0681857, 0.9620038, 6.230385]"
3,3,99,0.050399999999967804,-5.591801,22.01897,-1.1487981637060167,7.309228233970054,-0.6853695,8.758432,False,8,"[-0.087222, 0.3602785, 0.8908712]","[-0.0745279, 0.9598444, 6.230111]"
4,4,99,0.06700000000000728,-5.609208,22.0154,-1.1629272006818432,7.309098265212552,-0.6785446,8.721243,False,8,"[-0.0875039, 0.3602494, 0.8909591]","[-0.0737953, 0.9558305, 6.230928]"
5,5,99,0.08389999999997144,-5.685936,21.57512,-1.268131068320965,7.056670534071839,-0.6912579,8.767862,False,8,"[-0.1000414, 0.3973162, 1.004781]","[-0.0751656, 0.960861, 6.229895]"
6,6,99,0.10009999999999764,-5.733778,21.60146,-1.3033085574293362,7.077759950784489,-0.6576768,8.700264,False,8,"[-0.1008712, 0.3977813, 1.004606]","[-0.0715288, 0.9535375, 6.231203]"
7,7,99,0.12449999999989814,-5.981401,21.90971,-1.4679996715551245,7.288903676438992,-0.6730031,8.686142,False,8,"[-0.0926768, 0.3557499, 0.8845226]","[-0.0731976, 0.9519889, 6.231355]"
8,8,99,0.13369999999997617,-5.940449,21.94067,-1.4324783508245835,7.302593541876047,-0.6022063,8.740762,False,8,"[-0.0920455, 0.3563358, 0.8845981]","[-0.0654905, 0.9579738, 6.230738]"
9,9,99,0.15039999999999054,-5.823817,21.72913,-1.3616165360199666,7.163780916111109,-0.5751472,8.689049,False,8,"[-0.0942595, 0.3683068, 0.9241462]","[-0.0625551, 0.9523322, 6.231485]"
10,10,99,0.16699999999991633,-5.847163,21.74326,-1.3786534202343226,7.174829466164764,-0.6022909,8.715331,False,8,"[-0.0946209, 0.3684965, 0.9239595]","[-0.0655047, 0.955216, 6.231213]"
11,11,99,0.18389999999999418,-5.914861,21.73785,-1.43274620582466,7.179351190803286,-0.6263231,8.694358,False,8,"[-0.0901592, 0.3469784, 0.8702446]","[-0.0681183, 0.9528778, 6.231188]"
12,12,99,0.1999999999999318,-5.894374,21.76501,-1.4137959046407056,7.193123867701964,-0.6026409,8.689596,False,8,"[-0.0898444, 0.3474556, 0.8702417]","[-0.0655448, 0.9523823, 6.231413]"
13,13,99,0.21729999999990923,-5.721991,21.60737,-1.2933880718239867,7.079919898357752,-0.6323789,8.702559,False,8,"[-0.090123, 0.3562405, 0.8994227]","[-0.0687723, 0.9537255, 6.230763]"
14,14,99,0.23339999999996053,-5.703885,21.5654,-1.2833106142977238,7.052954058431884,-0.653405,8.760303,False,8,"[-0.0898766, 0.3556394, 0.89983]","[-0.0710489, 0.9600142, 6.229862]"
15,15,99,0.2502999999999247,-5.764103,21.77534,-1.3097134995293345,7.184375009256862,-0.6807293,8.715759,False,8,"[-0.0892236, 0.3530925, 0.8838972]","[-0.0740252, 0.9551196, 6.230273]"
16,16,99,0.26679999999998927,-5.77267,21.79137,-1.3148688158524517,7.194862941828634,-0.7118067,8.701129,False,8,"[-0.0893656, 0.3534128, 0.8839812]","[-0.0774055, 0.9534974, 6.230312]"
17,17,99,0.2842999999999165,-5.796172,21.66808,-1.3459233370453785,7.124406770083879,-0.7953008,8.701293,False,8,"[-0.085595, 0.3350168, 0.843227]","[-0.0864826, 0.9534772, 6.230061]"
18,18,99,0.3002999999999929,-5.79582,21.63825,-1.3486609712196664,7.106670331721818,-0.7643148,8.715322,False,8,"[-0.0856284, 0.3346596, 0.8436078]","[-0.0831084, 0.9549887, 6.229736]"
19,19,99,0.3170000000000073,-5.900111,21.66616,-1.4283281064186213,7.1351376232955745,-0.7716359,8.743501,False,8,"[-0.0871018, 0.3348347, 0.8428509]","[-0.083894, 0.9580039, 6.228951]"
20,20,99,0.33389999999997144,-5.895476,21.66334,-1.4249471734479655,7.132935378353765,-0.7618051,8.778143,False,8,"[-0.087057, 0.3348793, 0.8430843]","[-0.0828152, 0.9617447, 6.228208]"
21,21,99,0.3511999999999489,-6.035731,21.87049,-1.5149374843033414,7.271841450751052,-0.8152912,8.793496,False,8,"[-0.0887746, 0.3370135, 0.839597]","[-0.0886219, 0.9633612, 6.227611]"
22,22,99,0.3727999999999838,-6.065259,21.90927,-1.5343717168601134,7.298219262816235,-0.820243,8.771324,False,8,"[-0.0892124, 0.3376744, 0.839599]","[-0.0891618, 0.9609106, 6.22772]"
23,23,99,0.38429999999993925,-6.108542,21.9369,-1.565812831764075,7.319553315144968,-0.8094919,8.767621,False,8,"[-0.0857072, 0.3225397, 0.8008521]","[-0.0879934, 0.9605033, 6.227751]"
24,24,99,0.401299999999992,-6.156199,21.90903,-1.6063250546254617,7.308462263120629,-0.7938089,8.791102,False,8,"[-0.0864057, 0.3221794, 0.8010815]","[-0.0862817, 0.9630413, 6.227265]"
25,25,99,0.41879999999991924,-6.105377,21.9487,-1.5621163989611955,7.3261920598785855,-0.7968543,8.791332,False,8,"[-0.08534, 0.3215165, 0.7978375]","[-0.0866106, 0.9630429, 6.22711]"
26,26,99,0.43459999999993215,-6.076059,21.94979,-1.5388170938160781,7.323490562525689,-0.7838082,8.782588,False,8,"[-0.084949, 0.3216172, 0.7980436]","[-0.0851933, 0.9620799, 6.227175]"
27,27,99,0.4511999999999716,-6.408577,22.4053,-1.7557668313642127,7.631689306852365,-0.8516709,8.781436,False,8,"[-0.0853424, 0.3132564, 0.7598175]","[-0.0925683, 0.9619295, 6.227031]"
28,28,99,0.467899999999986,-6.400618,22.3696,-1.7530812057081386,7.609601849380579,-0.8062043,8.743542,False,8,"[-0.0852776, 0.3128572, 0.7601929]","[-0.0876341, 0.9578034, 6.227617]"
29,29,99,0.48479999999995016,-6.433097,22.31908,-1.7838784704104216,7.583340661941967,-0.8042986,8.769991,False,8,"[-0.0858795, 0.3126762, 0.7616608]","[-0.0874198, 0.9606678, 6.227108]"
30,30,99,0.5011999999999261,-6.416996,22.34256,-1.7687693568296752,7.595431111730568,-0.7991217,8.795912,False,8,"[-0.0856692, 0.3130646, 0.7617181]","[-0.0868493, 0.9634672, 6.226558]"
31,31,99,0.518100000000004,-6.41053,22.36404,-1.761483270669786,7.607435408925864,-0.8321668,8.729531,False,8,"[-0.0829705, 0.3038349, 0.7384738]","[-0.0904516, 0.9561918, 6.227274]"
32,32,99,0.5341999999999416,-6.371557,22.38077,-1.7289660072286985,7.61290952375862,-0.8340691,8.724252,False,8,"[-0.0824785, 0.304148, 0.7386218]","[-0.0906577, 0.9555973, 6.227226]"
33,33,99,0.5517999999999574,-6.331244,22.30853,-1.7043844401522954,7.565450373508351,-0.8772387,8.751042,False,8,"[-0.0829878, 0.3068884, 0.747954]","[-0.095341, 0.9584803, 6.226593]"
34,34,99,0.5675999999999704,-6.428848,22.35664,-1.7767201071712522,7.6051373814990635,-0.8788745,8.734022,False,8,"[-0.0842421, 0.3074921, 0.747637]","[-0.0955198, 0.9565969, 6.226658]"
35,35,99,0.5847999999999729,-6.581612,22.71038,-1.8617830142703384,7.832434499921731,-0.9020279,8.754203,False,8,"[-0.0806853, 0.2926759, 0.6993084]","[-0.098027, 0.9587481, 6.226048]"
36,36,99,0.6014999999999873,-6.591648,22.69037,-1.8717441664023358,7.821709955277146,-0.915732,8.790692,False,8,"[-0.0808354, 0.2924827, 0.6995326]","[-0.099504, 0.9626863, 6.225264]"
37,37,99,0.6183999999999514,-6.50885,22.2209,-1.8537221458115931,7.533747735425959,-0.9542432,8.774742,False,8,"[-0.0863141, 0.309056, 0.7565297]","[-0.1036868, 0.9608879, 6.225108]"
38,38,99,0.6348999999999023,-6.492629,22.15656,-1.8473974145599958,7.493726466305259,-0.9741874,8.781957,False,8,"[-0.086166, 0.3083118, 0.7571355]","[-0.1058497, 0.9616486, 6.224838]"
39,39,99,0.651299999999992,-6.632099,22.12484,-1.9609184748397734,7.490836528297415,-0.9926463,8.804771,False,8,"[-0.0861233, 0.301144, 0.740707]","[-0.1078495, 0.9641302, 6.224474]"
40,40,99,0.6677999999999429,-6.616109,22.10757,-1.9500173040343232,7.4787652737020744,-0.9882867,8.818101,False,8,"[-0.0859276, 0.3009324, 0.7408262]","[-0.1073667, 0.965532, 6.22395]"
41,41,99,0.6852000000000089,-6.669937,22.52736,-1.9501485188435412,7.733947129223197,-1.006055,8.836303,False,8,"[-0.0798568, 0.2832405, 0.6828806]","[-0.1092886, 0.9674786, 6.223447]"
42,42,99,0.7013999999999214,-6.669001,22.55711,-1.946400228584834,7.7514890186674394,-0.9971561,8.804587,False,8,"[-0.0798369, 0.2836258, 0.6828073]","[-0.1083288, 0.9640144, 6.223858]"
43,43,99,0.7180999999999358,-6.837217,22.61858,-2.073235716598246,7.807165577019982,-1.005419,8.849594,False,8,"[-0.0812889, 0.2824669, 0.6779635]","[-0.1092098, 0.9688714, 6.222895]"
44,44,99,0.734299999999962,-6.848135,22.61393,-2.0823414699365568,7.80565386715048,-0.9935825,8.858154,False,8,"[-0.0814355, 0.2824562, 0.6780927]","[-0.1079202, 0.9697909, 6.222685]"
45,45,99,0.7518000000000029,-6.932725,22.61424,-2.1492166603457745,7.815497975412012,-1.024704,8.884147,False,8,"[-0.0828149, 0.2837065, 0.6810837]","[-0.1112937, 0.9726164, 6.222262]"
46,46,99,0.7676999999999907,-6.942984,22.66084,-2.1526193968051954,7.844314369660844,-1.013698,8.918471,False,8,"[-0.0829182, 0.2842864, 0.6809152]","[-0.1100863, 0.976332, 6.221602]"
47,47,99,0.7844000000000051,-6.969072,22.67993,-2.1713235730765392,7.8586185092073615,-1.008436,8.894961,False,8,"[-0.080075, 0.2737568, 0.6550814]","[-0.1095189, 0.973753, 6.221836]"
48,48,99,0.801499999999919,-7.011432,22.68651,-2.2041629617820844,7.8673595298062216,-0.993452,8.925152,False,8,"[-0.0805493, 0.2737866, 0.6549412]","[-0.1078837, 0.9770433, 6.221399]"
49,49,99,0.8183999999999969,-6.979603,22.63403,-2.1842939296119877,7.832591605027862,-1.017189,8.91981,False,8,"[-0.081343, 0.2770431, 0.6644409]","[-0.1104615, 0.976445, 6.221373]"
50,50,99,0.8343999999999596,-7.002977,22.6507,-2.201096146365675,7.845150172979371,-1.018421,8.929757,False,8,"[-0.081602, 0.2772155, 0.6643099]","[-0.1105932, 0.9775332, 6.221256]"
51,51,99,0.8512999999999238,-6.976349,22.58489,-2.1866886180625915,7.8030683637258536,-0.991161,8.907773,False,8,"[-0.0828444, 0.2816081, 0.6770233]","[-0.1076378, 0.9751361, 6.221567]"
52,52,99,0.868099999999913,-6.9647,22.54405,-2.1816040783507207,7.7775102723184775,-0.9741569,8.946544,False,8,"[-0.0827296, 0.2811271, 0.6772278]","[-0.1057801, 0.9793512, 6.220939]"
53,53,99,0.8847999999999274,-6.965939,22.5832,-2.1786256918981453,7.800876968998547,-0.9838525,8.992194,False,8,"[-0.0811457, 0.2762272, 0.6641421]","[-0.1068196, 0.9843068, 6.220153]"
54,54,99,0.931699999999978,-6.952608,22.433,-2.18326793358749,7.710250467144291,-1.10266,8.955878,False,8,"[-0.0825745, 0.2795555, 0.6771454]","[-0.1197248, 0.9802886, 6.220297]"
55,55,99,0.9481999999999289,-6.7378,22.17938,-2.039008347185863,7.535262725901407,-1.080428,9.037826,False,8,"[-0.0811706, 0.2800957, 0.6870602]","[-0.1172791, 0.9891459, 6.218647]"
56,56,99,0.9649999999999181,-6.764696,22.14794,-2.0634605943219446,7.5196829073377875,-1.093308,9.134633,False,8,"[-0.0815011, 0.2796678, 0.6870892]","[-0.1186471, 0.9996651, 6.217052]"
57,57,99,0.9823999999999842,-5.701215,22.43003,-1.1937778454542316,7.565579075234402,-1.096831,9.231669,False,8,"[-0.0722457, 0.298712, 0.7236528]","[-0.1189952, 1.010178, 6.21526]"
58,58,99,0.9991999999999734,-5.708493,22.34185,-1.208450081145968,7.514098645205945,-1.123647,9.409428,False,8,"[-0.0723819, 0.2975876, 0.7240865]","[-0.1218468, 1.029486, 6.212279]"
59,59,99,1.016300000000001,-3.867906,24.12993,0.4281528299226609,8.364657046848315,-1.209318,9.638813,False,8,"[-0.0491586, 0.3256975, 0.7270865]","[-0.1310388, 1.054248, 6.20751]"
60,60,99,1.0323999999999387,-3.899055,24.15369,0.4059178252400162,8.38230956789091,-1.27772,9.796056,False,8,"[-0.0495557, 0.3260591, 0.7270858]","[-0.1383902, 1.071297, 6.204694]"
61,61,99,1.0495999999999412,-4.799925,23.8968,-0.33259969288557323,8.332792727517308,-1.419314,9.990034,False,8,"[-0.0611398, 0.3226035, 0.7281058]","[-0.1536186, 1.092134, 6.200106]"
62,62,99,1.0657999999999674,-4.770188,23.79577,-0.31929411883698866,8.269462085780368,-1.537968,10.30017,False,8,"[-0.0608028, 0.3212989, 0.7286276]","[-0.1662996, 1.125636, 6.193871]"
63,63,99,1.0860999999999876,-5.308117,24.30606,-0.6931751738067493,8.633616318254902,-1.688446,10.55641,True,8,"[-0.0067167, 0.0326504, 0.0722922]","[-0.1824107, 1.153207, 6.188138]"
64,64,99,1.099299999999971,-5.563259,24.20937,-0.9047560835506052,8.605393594931055,-1.829551,10.86333,True,8,"[-0.00705, 0.032543, 0.0723798]","[-0.1974506, 1.186253, 6.181432]"
65,65,99,1.1163999999999987,-7.383131,23.37061,-2.4289906886933803,8.31564065047682,-2.007254,11.22601,False,8,"[-0.0703515, 0.2346153, 0.5429279]","[-0.2163515, 1.225217, 6.173089]"
66,66,99,1.1328999999999496,-7.569386,23.70718,-2.542279354058583,8.536576583930028,-2.137557,11.45486,False,8,"[-0.0719548, 0.2377752, 0.5414828]","[-0.2302042, 1.249754, 6.167606]"
67,67,99,1.1496999999999389,-8.171032,24.38026,-2.950098069181238,9.004580260987922,-2.2864,11.67934,False,8,"[-0.0955519, 0.3015929, 0.6654674]","[-0.2460375, 1.273828, 6.162274]"
68,68,99,1.16599999999994,-8.278653,24.50654,-3.0224530859111995,9.091784497821486,-2.381899,11.81562,False,8,"[-0.0967192, 0.3030219, 0.6647199]","[-0.2561728, 1.288351, 6.158601]"
69,69,99,1.1831999999999425,-8.871319,25.42787,-3.398069024218789,9.706033575982858,-2.453934,11.93797,False,8,"[-0.0813792, 0.2478821, 0.5213838]","[-0.2637835, 1.301363, 6.155191]"
70,70,99,1.199899999999957,-8.938498,25.52906,-3.440973203373689,9.773735023883344,-2.535482,12.02669,False,8,"[-0.0819319, 0.2487886, 0.520916]","[-0.2724537, 1.310809, 6.152777]"
71,71,99,1.2166999999999462,-9.112686,25.44073,-3.5876782145039554,9.741226783676105,-2.599629,12.09395,False,8,"[-0.1008694, 0.2991515, 0.6288574]","[-0.2792624, 1.317919, 6.150715]"
72,72,99,1.2328999999999724,-9.114143,25.47112,-3.585757960609798,9.759421625738,-2.58119,12.05455,False,8,"[-0.1008586, 0.2994798, 0.6286876]","[-0.2773185, 1.313684, 6.151591]"
73,73,99,1.2498999999999114,-9.614062,31.39565,-3.382152496224209,13.33115899425621,-2.543869,12.0211,False,8,"[-0.1078432, 0.3885508, 0.6366571]","[-0.273344, 1.310124, 6.152507]"
74,74,99,1.266399999999976,-9.593709,31.39416,-3.3662049240052214,13.327950753022321,-2.53866,11.99564,False,8,"[-0.1076065, 0.3885134, 0.636633]","[-0.2728027, 1.307358, 6.152936]"
75,75,99,1.2835999999999785,-9.666236,31.76349,-3.3862280340915927,13.555333334886832,-2.471613,11.9786,False,8,"[-0.1085717, 0.3946625, 0.637432]","[-0.2656151, 1.305575, 6.153546]"
