,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,1.031568,11.06843,1.1913704739555753,11.754684466140585,-0.182684,9.775308,False,12,"[0.016171, 0.1756825, 0.8980798]","[-0.0026111, 0.1410879, 0.8189161]"
1,1,99,0.013000000000147338,0.6929949,10.93104,0.8693254626168048,11.616642869966547,-0.2589526,9.759806,False,12,"[0.0102967, 0.1644084, 0.8512769]","[-0.0036979, 0.140734, 0.8181847]"
2,2,99,0.029999999999972715,0.6631269,10.92023,0.8409336429173669,11.60576986893667,-0.1950863,9.777641,False,12,"[0.0098514, 0.1642167, 0.8511466]","[-0.0027854, 0.1409729, 0.818049]"
3,3,99,0.047000000000025466,0.6251219,11.09947,0.8074757321571162,11.78411673063268,-0.2894391,9.529777,False,12,"[0.0089156, 0.1603068, 0.8171304]","[-0.0041532, 0.1380187, 0.8221421]"
4,4,99,0.06400000000007822,0.7040878,10.99934,0.8807590537549778,11.684695472883496,-0.3330975,9.539588,False,12,"[0.0100455, 0.1588807, 0.8174204]","[-0.0047789, 0.1381392, 0.8219982]"
5,5,99,0.08000000000015461,0.5849315,11.1553,0.7702448454773002,11.839565504172311,-0.2943104,9.651348,False,12,"[0.0088825, 0.1715671, 0.8700393]","[-0.004219, 0.1396763, 0.8213388]"
6,6,99,0.09600000000000364,0.5659807,11.18777,0.7527745013950118,11.871829862049648,-0.5382531,9.896278,False,12,"[0.0085954, 0.172093, 0.8701083]","[-0.0077019, 0.1430276, 0.8198255]"
7,7,99,0.11300000000005639,0.2746073,11.07322,0.4756760281098878,11.756703573202216,-0.4782526,10.24351,False,12,"[0.0041372, 0.168937, 0.8632146]","[-0.0068299, 0.1478615, 0.8182139]"
8,8,99,0.13000000000010914,0.21205,11.04334,0.4161104270866762,11.726722113331082,-0.7572587,10.59013,False,12,"[0.0031943, 0.1684477, 0.8631024]","[-0.010811, 0.1529263, 0.8179331]"
9,9,99,0.1470000000001619,0.3164814,10.33437,0.5050541189076434,11.021118077438683,-0.9852982,11.25347,False,12,"[0.0083172, 0.2745697, 1.505725]","[-0.0139928, 0.1618884, 0.8136102]"
10,10,99,0.16300000000001091,0.358741,10.49137,0.5471846129657293,11.177610296211265,-1.144864,11.45823,False,12,"[0.0094242, 0.2787275, 1.505144]","[-0.0162168, 0.1644805, 0.8114756]"
11,11,99,0.18000000000006366,1.841514,10.5161,1.9495948978036035,11.207624364338946,-1.098281,11.63799,True,12,"[0.0233989, 0.1350957, 0.7277699]","[-0.0155109, 0.1666403, 0.809084]"
12,12,99,0.19700000000011642,1.970548,10.55211,2.0721037570183913,11.243951571474765,-1.111178,11.93957,True,12,"[0.0250333, 0.1355341, 0.7275826]","[-0.0156802, 0.170944, 0.8084198]"
13,13,99,0.21299999999996544,1.16073,10.91147,1.3113319617899937,11.598855006920994,-1.36872,12.19775,False,12,"[0.0164802, 0.156801, 0.813379]","[-0.0192548, 0.1742022, 0.8058705]"
14,14,99,0.2300000000000182,1.279186,10.86669,1.4227213920627542,11.554694095216878,-1.461239,12.45097,False,12,"[0.0181671, 0.1561806, 0.8135813]","[-0.0204912, 0.1773654, 0.803296]"
15,15,99,0.24700000000007094,0.9239584,10.78068,1.0856388421279004,11.467755544784213,-1.732357,12.75134,False,12,"[0.0130432, 0.1539958, 0.808756]","[-0.0242295, 0.1812943, 0.8011186]"
16,16,99,0.2640000000001237,0.9572789,10.70504,1.1160998109212346,11.392555254567423,-2.068198,13.08221,False,12,"[0.0135132, 0.1528836, 0.8087239]","[-0.0289423, 0.1862404, 0.8014476]"
17,17,99,0.2799999999999727,0.6940813,10.60309,0.8658178130192707,11.290078277261637,-2.187093,13.51433,False,12,"[0.0092648, 0.1431643, 0.7647631]","[-0.0305141, 0.1920333, 0.7989956]"
18,18,99,0.2980000000000018,0.6113804,10.67833,0.7886585998866621,11.364700809266438,-2.428732,13.81833,False,12,"[0.0081581, 0.1441573, 0.7645153]","[-0.0337765, 0.1958693, 0.7963371]"
19,19,99,0.3140000000000782,0.3223926,10.80663,0.5171740318506308,11.491410205986458,-2.374692,13.98701,False,12,"[0.0042419, 0.1438972, 0.7538618]","[-0.0328833, 0.1975117, 0.7929419]"
20,20,99,0.3320000000001073,0.2606018,10.71657,0.4575010377571791,11.401505034250961,-2.521545,14.28105,False,12,"[0.0034297, 0.1427038, 0.7540429]","[-0.0348986, 0.2017191, 0.7924706]"
21,21,99,0.35400000000004184,-0.1632662,10.81414,0.05805262098249531,11.497123737841864,-2.539491,14.47999,False,12,"[-0.0021438, 0.1437094, 0.7523423]","[-0.0350659, 0.2041778, 0.7906361]"
22,22,99,0.3650000000000091,-0.1237471,10.66831,0.09340421813444676,11.352051641651336,-2.556679,14.7752,False,12,"[-0.0016205, 0.1413414, 0.7503027]","[-0.0351897, 0.2078561, 0.7880852]"
23,23,99,0.38200000000006185,-0.08184376,10.77813,0.13454543397997587,11.461561307254861,-2.723871,15.00495,False,12,"[-0.0010819, 0.1441756, 0.7573655]","[-0.0373733, 0.2105583, 0.7855427]"
