,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-9.679573,0.5837952,-11.736164417149816,12.465499353375321,-14.41455,12.94426,False,19,"[-0.063897, 0.0038172, 0.3746169]","[-0.2222, 0.1987, 0.8645001]"
1,1,99,0.01639999999997599,-9.699669,0.6470078,-11.753919359262614,12.584343796797024,-14.41455,12.94427,False,19,"[-0.064249, 0.0042448, 0.3758854]","[-0.2222, 0.1987, 0.8645]"
2,2,99,0.03289999999998372,-9.135801,1.159706,-11.066526451170828,13.52623020250193,-14.41454,12.94427,False,19,"[-0.0562633, 0.0070824, 0.3498634]","[-0.2221998, 0.1987, 0.8645]"
3,3,99,0.04959999999999809,-9.108907,1.288316,-11.025121200144605,13.765972841932067,-14.41456,12.94426,False,19,"[-0.0560128, 0.0078566, 0.3493516]","[-0.2222001, 0.1987, 0.8645002]"
4,4,99,0.0665000000000191,-8.579824,0.100809,-10.518219569585442,11.52877785675527,-14.41455,12.94426,False,19,"[-0.0509148, 0.0005937, 0.3374619]","[-0.2222, 0.1987, 0.8645004]"
5,5,99,0.08279999999996335,-8.736539,-0.3449869,-10.734365995220912,10.699691087908574,-14.41455,12.94427,False,19,"[-0.0521805, -0.0020445, 0.3395527]","[-0.2221999, 0.1987, 0.8644999]"
6,6,99,0.0999999999999659,-8.660893,-0.3803567,-10.65076765559828,10.63124175617198,-14.41455,12.94426,False,19,"[-0.0506777, -0.0022086, 0.3326989]","[-0.2222, 0.1987, 0.8645003]"
7,7,99,0.11700000000001864,-8.346661,-0.05140933,-10.264120095443703,11.23699715148516,-14.41454,12.94426,False,19,"[-0.0490877, -0.0003002, 0.3345761]","[-0.2221999, 0.1987, 0.8645004]"
8,8,99,0.1342999999999961,-8.216424,0.2541501,-10.089865260681409,11.804582036381923,-14.41455,12.94427,False,19,"[-0.0486209, 0.0014936, 0.3367218]","[-0.2221999, 0.1987, 0.8645]"
9,9,99,0.14979999999997062,-8.176332,-0.06120661,-10.070105119771396,11.21351072545444,-14.41455,12.94426,False,19,"[-0.0485739, -0.0003611, 0.3380689]","[-0.2221999, 0.1987, 0.8645002]"
10,10,99,0.16699999999997317,-8.716233,0.1315335,-10.671704291768584,11.590379618291895,-14.41457,12.94426,False,19,"[-0.0495844, 0.0007425, 0.3234226]","[-0.2222002, 0.1987, 0.8645003]"
11,11,99,0.18369999999998754,-8.699592,0.02769821,-10.661263051335679,11.395657475246301,-14.41455,12.94427,False,19,"[-0.0495542, 0.0001566, 0.3238539]","[-0.2222, 0.1987, 0.8645]"
12,12,99,0.20069999999998345,-8.376111,0.4149581,-10.259210541545169,12.1102028079046,-14.41456,12.94427,False,19,"[-0.0511299, 0.002515, 0.3472531]","[-0.2222, 0.1987, 0.8644999]"
13,13,99,0.21710000000001628,-8.33887,0.1907392,-10.235169161625969,11.689685884429498,-14.41456,12.94426,False,19,"[-0.0510982, 0.0011605, 0.3486099]","[-0.2222001, 0.1987, 0.8645]"
14,14,99,0.23390000000000555,-8.25691,0.5574398,-10.11107469354367,12.373094642226697,-14.41455,12.94426,False,19,"[-0.0498094, 0.0033395, 0.3432382]","[-0.2222, 0.1987, 0.8645005]"
15,15,99,0.25020000000000664,-8.386941,0.6444914,-10.252602681099669,12.539859722789345,-14.41456,12.94427,False,19,"[-0.0507771, 0.0038742, 0.3444046]","[-0.2222001, 0.1987, 0.8645]"
